INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 Loss: 45.637168884277344 acc:  20.000/ 25.050 f1:  9.428/ 12.262
DEBUG:root:Epoch: 1 Loss: 44.9907112121582 acc:  20.000/ 24.850 f1:  9.428/ 12.586
DEBUG:root:Epoch: 2 Loss: 44.27423095703125 acc:  21.429/ 25.251 f1:  10.293/ 13.157
DEBUG:root:Epoch: 3 Loss: 43.66695022583008 acc:  21.429/ 25.050 f1:  10.632/ 13.440
DEBUG:root:Epoch: 4 Loss: 43.019351959228516 acc:  21.429/ 24.449 f1:  11.113/ 13.862
DEBUG:root:Epoch: 5 Loss: 42.495906829833984 acc:  21.429/ 24.449 f1:  13.612/ 14.467
DEBUG:root:Epoch: 6 Loss: 41.874412536621094 acc:  22.857/ 22.846 f1:  15.866/ 14.093
DEBUG:root:Epoch: 7 Loss: 41.28533172607422 acc:  22.857/ 21.844 f1:  17.239/ 14.178
DEBUG:root:Epoch: 8 Loss: 40.612178802490234 acc:  22.857/ 20.441 f1:  17.345/ 13.897
DEBUG:root:Epoch: 9 Loss: 40.033729553222656 acc:  21.429/ 19.639 f1:  17.006/ 14.013
DEBUG:root:Epoch: 10 Loss: 39.35995101928711 acc:  17.143/ 18.236 f1:  14.960/ 13.684
DEBUG:root:Epoch: 11 Loss: 38.689815521240234 acc:  15.714/ 18.437 f1:  14.013/ 14.351
DEBUG:root:Epoch: 12 Loss: 37.93938446044922 acc:  17.143/ 16.834 f1:  16.089/ 13.333
DEBUG:root:Epoch: 13 Loss: 37.31494140625 acc:  15.714/ 16.232 f1:  15.980/ 12.769
DEBUG:root:Epoch: 14 Loss: 36.592594146728516 acc:  11.429/ 16.433 f1:  11.513/ 13.120
DEBUG:root:Epoch: 15 Loss: 35.87079620361328 acc:  11.429/ 16.834 f1:  11.870/ 13.348
DEBUG:root:Epoch: 16 Loss: 35.06462478637695 acc:  11.429/ 17.034 f1:  12.224/ 13.601
DEBUG:root:Epoch: 17 Loss: 34.35694122314453 acc:  12.857/ 17.034 f1:  13.671/ 13.447
DEBUG:root:Epoch: 18 Loss: 33.53045654296875 acc:  12.857/ 16.834 f1:  12.710/ 13.136
DEBUG:root:Epoch: 19 Loss: 32.84894561767578 acc:  12.857/ 17.034 f1:  12.710/ 13.450
DEBUG:root:Epoch: 20 Loss: 32.14346694946289 acc:  15.714/ 16.834 f1:  15.088/ 13.317
DEBUG:root:Epoch: 21 Loss: 31.404401779174805 acc:  20.000/ 16.633 f1:  19.723/ 12.841
DEBUG:root:Epoch: 22 Loss: 30.74539566040039 acc:  20.000/ 15.832 f1:  19.723/ 11.972
DEBUG:root:Epoch: 23 Loss: 30.065258026123047 acc:  20.000/ 15.631 f1:  19.848/ 11.717
DEBUG:root:Epoch: 24 Loss: 29.41030502319336 acc:  22.857/ 15.030 f1:  21.894/ 10.860
DEBUG:root:Epoch: 25 Loss: 28.872827529907227 acc:  22.857/ 15.030 f1:  21.894/ 11.050
DEBUG:root:Epoch: 26 Loss: 28.309814453125 acc:  22.857/ 15.230 f1:  21.894/ 11.230
DEBUG:root:Epoch: 27 Loss: 27.84815216064453 acc:  22.857/ 15.030 f1:  21.894/ 10.958
DEBUG:root:Epoch: 28 Loss: 27.350200653076172 acc:  22.857/ 15.030 f1:  21.894/ 10.870
DEBUG:root:Epoch: 29 Loss: 26.943220138549805 acc:  22.857/ 15.230 f1:  21.894/ 11.253
DEBUG:root:Epoch: 30 Loss: 26.565622329711914 acc:  25.714/ 15.431 f1:  24.574/ 11.387
DEBUG:root:Epoch: 31 Loss: 26.331790924072266 acc:  30.000/ 15.431 f1:  28.718/ 11.395
DEBUG:root:Epoch: 32 Loss: 26.041635513305664 acc:  30.000/ 15.631 f1:  28.718/ 11.841
DEBUG:root:Epoch: 33 Loss: 25.805171966552734 acc:  30.000/ 16.433 f1:  28.718/ 12.512
DEBUG:root:Epoch: 34 Loss: 25.6232967376709 acc:  31.429/ 16.633 f1:  31.842/ 12.769
DEBUG:root:Epoch: 35 Loss: 25.42804718017578 acc:  31.429/ 16.633 f1:  31.842/ 12.718
DEBUG:root:Epoch: 36 Loss: 25.24909210205078 acc:  32.857/ 16.633 f1:  33.725/ 12.891
DEBUG:root:Epoch: 37 Loss: 25.145132064819336 acc:  32.857/ 16.633 f1:  33.725/ 12.957
DEBUG:root:Epoch: 38 Loss: 25.010494232177734 acc:  34.286/ 16.032 f1:  34.724/ 12.435
DEBUG:root:Epoch: 39 Loss: 24.953380584716797 acc:  38.571/ 16.433 f1:  38.977/ 12.849
DEBUG:root:Epoch: 40 Loss: 24.88918685913086 acc:  40.000/ 16.633 f1:  39.852/ 13.150
DEBUG:root:Epoch: 41 Loss: 24.802265167236328 acc:  41.429/ 16.834 f1:  41.500/ 13.223
DEBUG:root:Epoch: 42 Loss: 24.692546844482422 acc:  41.429/ 16.433 f1:  41.500/ 13.020
DEBUG:root:Epoch: 43 Loss: 24.637990951538086 acc:  41.429/ 16.633 f1:  41.500/ 13.342
DEBUG:root:Epoch: 44 Loss: 24.572479248046875 acc:  42.857/ 16.232 f1:  42.514/ 13.098
DEBUG:root:Epoch: 45 Loss: 24.498733520507812 acc:  42.857/ 16.232 f1:  42.514/ 13.124
DEBUG:root:Epoch: 46 Loss: 24.483882904052734 acc:  48.571/ 16.633 f1:  48.467/ 13.836
DEBUG:root:Epoch: 47 Loss: 24.45806121826172 acc:  50.000/ 16.834 f1:  50.728/ 14.169
DEBUG:root:Epoch: 48 Loss: 24.369882583618164 acc:  50.000/ 17.034 f1:  50.728/ 14.283
DEBUG:root:Epoch: 49 Loss: 24.3353271484375 acc:  51.429/ 17.234 f1:  51.983/ 14.822
DEBUG:root:Epoch: 50 Loss: 24.305194854736328 acc:  55.714/ 17.836 f1:  55.359/ 15.604
DEBUG:root:Epoch: 51 Loss: 24.258384704589844 acc:  55.714/ 18.036 f1:  55.359/ 15.792
DEBUG:root:Epoch: 52 Loss: 24.19564437866211 acc:  58.571/ 18.437 f1:  58.999/ 16.525
DEBUG:root:Epoch: 53 Loss: 24.140920639038086 acc:  62.857/ 18.637 f1:  62.865/ 16.817
