INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 	 Loss: 1.7886823415756226 	 train acc: tensor([16.6667], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
INFO:root:Start SimCLR fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 	 Loss: 1.7886823415756226 	 train acc: tensor([16.6667], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 1 	 Loss: 1.7868531942367554 	 train acc: tensor([17.4603], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 2 	 Loss: 1.7860056161880493 	 train acc: tensor([17.4603], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 3 	 Loss: 1.7863507270812988 	 train acc: tensor([16.6667], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 4 	 Loss: 1.7840797901153564 	 train acc: tensor([18.2540], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 5 	 Loss: 1.783879280090332 	 train acc: tensor([18.2540], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 6 	 Loss: 1.782478928565979 	 train acc: tensor([19.8413], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 7 	 Loss: 1.7817890644073486 	 train acc: tensor([19.0476], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 8 	 Loss: 1.7808926105499268 	 train acc: tensor([19.0476], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 9 	 Loss: 1.7790859937667847 	 train acc: tensor([21.4286], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 10 	 Loss: 1.7801921367645264 	 train acc: tensor([20.6349], device='cuda:0') 	 val acc: tensor([21.4005], device='cuda:0')
DEBUG:root:Epoch: 11 	 Loss: 1.7769272327423096 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([21.4005], device='cuda:0')
DEBUG:root:Epoch: 12 	 Loss: 1.777350664138794 	 train acc: tensor([23.8095], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
DEBUG:root:Epoch: 13 	 Loss: 1.7763621807098389 	 train acc: tensor([25.3968], device='cuda:0') 	 val acc: tensor([21.3648], device='cuda:0')
