INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 Loss: 7.354886531829834 accuracy: tensor([10.7003], device='cuda:0')
DEBUG:root:Epoch: 1 Loss: 7.324726104736328 accuracy: tensor([35.1283], device='cuda:0')
DEBUG:root:Epoch: 2 Loss: 7.251486778259277 accuracy: tensor([39.7182], device='cuda:0')
DEBUG:root:Epoch: 3 Loss: 7.1917405128479 accuracy: tensor([38.9648], device='cuda:0')
DEBUG:root:Epoch: 4 Loss: 7.073297023773193 accuracy: tensor([42.4316], device='cuda:0')
DEBUG:root:Epoch: 5 Loss: 6.953969955444336 accuracy: tensor([42.3131], device='cuda:0')
DEBUG:root:Epoch: 6 Loss: 6.86160945892334 accuracy: tensor([42.6479], device='cuda:0')
DEBUG:root:Epoch: 7 Loss: 6.647010326385498 accuracy: tensor([42.4665], device='cuda:0')
DEBUG:root:Epoch: 8 Loss: 6.555489540100098 accuracy: tensor([38.5463], device='cuda:0')
DEBUG:root:Epoch: 9 Loss: 6.374963283538818 accuracy: tensor([36.4397], device='cuda:0')
DEBUG:root:Epoch: 10 Loss: 6.224894046783447 accuracy: tensor([46.8331], device='cuda:0')
DEBUG:root:Epoch: 11 Loss: 6.395140171051025 accuracy: tensor([37.7720], device='cuda:0')
DEBUG:root:Epoch: 12 Loss: 6.3413920402526855 accuracy: tensor([34.9819], device='cuda:0')
DEBUG:root:Epoch: 13 Loss: 6.224701404571533 accuracy: tensor([40.5134], device='cuda:0')
DEBUG:root:Epoch: 14 Loss: 6.267442226409912 accuracy: tensor([47.7609], device='cuda:0')
DEBUG:root:Epoch: 15 Loss: 6.248021125793457 accuracy: tensor([46.5960], device='cuda:0')
DEBUG:root:Epoch: 16 Loss: 6.201470851898193 accuracy: tensor([48.1097], device='cuda:0')
DEBUG:root:Epoch: 17 Loss: 6.257940292358398 accuracy: tensor([46.3937], device='cuda:0')
DEBUG:root:Epoch: 18 Loss: 6.2029242515563965 accuracy: tensor([50.8022], device='cuda:0')
DEBUG:root:Epoch: 19 Loss: 6.158197402954102 accuracy: tensor([56.2500], device='cuda:0')
DEBUG:root:Epoch: 20 Loss: 6.235606670379639 accuracy: tensor([49.4141], device='cuda:0')
DEBUG:root:Epoch: 21 Loss: 6.183534622192383 accuracy: tensor([52.2600], device='cuda:0')
DEBUG:root:Epoch: 22 Loss: 6.205208778381348 accuracy: tensor([50.9487], device='cuda:0')
DEBUG:root:Epoch: 23 Loss: 6.09354305267334 accuracy: tensor([59.7935], device='cuda:0')
DEBUG:root:Epoch: 24 Loss: 6.147402286529541 accuracy: tensor([53.5645], device='cuda:0')
DEBUG:root:Epoch: 25 Loss: 6.210072040557861 accuracy: tensor([54.3666], device='cuda:0')
DEBUG:root:Epoch: 26 Loss: 6.210093975067139 accuracy: tensor([49.0862], device='cuda:0')
DEBUG:root:Epoch: 27 Loss: 6.205977439880371 accuracy: tensor([53.2366], device='cuda:0')
DEBUG:root:Epoch: 28 Loss: 6.223526477813721 accuracy: tensor([52.2252], device='cuda:0')
DEBUG:root:Epoch: 29 Loss: 6.235914707183838 accuracy: tensor([52.4065], device='cuda:0')
DEBUG:root:Epoch: 30 Loss: 6.241201400756836 accuracy: tensor([54.7224], device='cuda:0')
DEBUG:root:Epoch: 31 Loss: 6.217493534088135 accuracy: tensor([52.3368], device='cuda:0')
DEBUG:root:Epoch: 32 Loss: 6.19822883605957 accuracy: tensor([55.6013], device='cuda:0')
DEBUG:root:Epoch: 33 Loss: 6.219034194946289 accuracy: tensor([57.0592], device='cuda:0')
DEBUG:root:Epoch: 34 Loss: 6.226686000823975 accuracy: tensor([57.4637], device='cuda:0')
DEBUG:root:Epoch: 35 Loss: 6.202290058135986 accuracy: tensor([60.9096], device='cuda:0')
DEBUG:root:Epoch: 36 Loss: 6.225796699523926 accuracy: tensor([59.0472], device='cuda:0')
DEBUG:root:Epoch: 37 Loss: 6.18682336807251 accuracy: tensor([58.1683], device='cuda:0')
DEBUG:root:Epoch: 38 Loss: 6.220305919647217 accuracy: tensor([59.9470], device='cuda:0')
DEBUG:root:Epoch: 39 Loss: 6.209513187408447 accuracy: tensor([58.2799], device='cuda:0')
DEBUG:root:Epoch: 40 Loss: 6.243307590484619 accuracy: tensor([56.4035], device='cuda:0')
DEBUG:root:Epoch: 41 Loss: 6.1835808753967285 accuracy: tensor([61.3630], device='cuda:0')
DEBUG:root:Epoch: 42 Loss: 6.2373948097229 accuracy: tensor([58.6844], device='cuda:0')
DEBUG:root:Epoch: 43 Loss: 6.238687992095947 accuracy: tensor([61.6281], device='cuda:0')
DEBUG:root:Epoch: 44 Loss: 6.221250057220459 accuracy: tensor([59.6401], device='cuda:0')
DEBUG:root:Epoch: 45 Loss: 6.213210105895996 accuracy: tensor([57.9729], device='cuda:0')
DEBUG:root:Epoch: 46 Loss: 6.216170310974121 accuracy: tensor([57.9799], device='cuda:0')
DEBUG:root:Epoch: 47 Loss: 6.267218589782715 accuracy: tensor([57.5823], device='cuda:0')
DEBUG:root:Epoch: 48 Loss: 6.2683796882629395 accuracy: tensor([59.6540], device='cuda:0')
DEBUG:root:Epoch: 49 Loss: 6.219967842102051 accuracy: tensor([58.9983], device='cuda:0')
DEBUG:root:Epoch: 50 Loss: 6.215811729431152 accuracy: tensor([56.9266], device='cuda:0')
DEBUG:root:Epoch: 51 Loss: 6.218149662017822 accuracy: tensor([61.8304], device='cuda:0')
DEBUG:root:Epoch: 52 Loss: 6.195126056671143 accuracy: tensor([61.3212], device='cuda:0')
DEBUG:root:Epoch: 53 Loss: 6.232144355773926 accuracy: tensor([59.8703], device='cuda:0')
DEBUG:root:Epoch: 54 Loss: 6.214487075805664 accuracy: tensor([59.0053], device='cuda:0')
DEBUG:root:Epoch: 55 Loss: 6.212782859802246 accuracy: tensor([59.8075], device='cuda:0')
DEBUG:root:Epoch: 56 Loss: 6.223418235778809 accuracy: tensor([58.1473], device='cuda:0')
DEBUG:root:Epoch: 57 Loss: 6.189020156860352 accuracy: tensor([62.4233], device='cuda:0')
DEBUG:root:Epoch: 58 Loss: 6.21107816696167 accuracy: tensor([58.2380], device='cuda:0')
DEBUG:root:Epoch: 59 Loss: 6.20279598236084 accuracy: tensor([58.8658], device='cuda:0')
DEBUG:root:Epoch: 60 Loss: 6.203568935394287 accuracy: tensor([64.9763], device='cuda:0')
DEBUG:root:Epoch: 61 Loss: 6.247679233551025 accuracy: tensor([58.1543], device='cuda:0')
DEBUG:root:Epoch: 62 Loss: 6.216264247894287 accuracy: tensor([57.4289], device='cuda:0')
DEBUG:root:Epoch: 63 Loss: 6.208570957183838 accuracy: tensor([60.0586], device='cuda:0')
DEBUG:root:Epoch: 64 Loss: 6.223514080047607 accuracy: tensor([62.5209], device='cuda:0')
DEBUG:root:Epoch: 65 Loss: 6.24562406539917 accuracy: tensor([57.7497], device='cuda:0')
