INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0 Loss: 7.215775966644287 accuracy: tensor([31.3721], device='cuda:3')
DEBUG:root:Epoch: 1 Loss: 6.568850517272949 accuracy: tensor([50.4964], device='cuda:3')
DEBUG:root:Epoch: 2 Loss: 6.202004909515381 accuracy: tensor([43.8639], device='cuda:3')
DEBUG:root:Epoch: 3 Loss: 6.046628475189209 accuracy: tensor([54.2074], device='cuda:3')
DEBUG:root:Epoch: 4 Loss: 6.218032360076904 accuracy: tensor([46.3623], device='cuda:3')
DEBUG:root:Epoch: 5 Loss: 6.271602153778076 accuracy: tensor([48.2178], device='cuda:3')
DEBUG:root:Epoch: 6 Loss: 6.214698791503906 accuracy: tensor([47.2656], device='cuda:3')
DEBUG:root:Epoch: 7 Loss: 6.183221340179443 accuracy: tensor([48.7305], device='cuda:3')
DEBUG:root:Epoch: 8 Loss: 6.242431163787842 accuracy: tensor([49.4303], device='cuda:3')
DEBUG:root:Epoch: 9 Loss: 6.182406425476074 accuracy: tensor([56.4941], device='cuda:3')
DEBUG:root:Epoch: 10 Loss: 6.166026592254639 accuracy: tensor([55.8838], device='cuda:3')
DEBUG:root:Epoch: 11 Loss: 6.231197357177734 accuracy: tensor([57.0557], device='cuda:3')
DEBUG:root:Epoch: 12 Loss: 6.239219665527344 accuracy: tensor([63.4277], device='cuda:3')
DEBUG:root:Epoch: 13 Loss: 6.215766906738281 accuracy: tensor([59.4727], device='cuda:3')
DEBUG:root:Epoch: 14 Loss: 6.208827495574951 accuracy: tensor([64.0462], device='cuda:3')
DEBUG:root:Epoch: 15 Loss: 6.241613388061523 accuracy: tensor([59.4645], device='cuda:3')
DEBUG:root:Epoch: 16 Loss: 6.220912933349609 accuracy: tensor([63.9404], device='cuda:3')
DEBUG:root:Epoch: 17 Loss: 6.21025276184082 accuracy: tensor([64.8193], device='cuda:3')
DEBUG:root:Epoch: 18 Loss: 6.238574028015137 accuracy: tensor([66.1377], device='cuda:3')
DEBUG:root:Epoch: 19 Loss: 6.213903427124023 accuracy: tensor([65.3239], device='cuda:3')
DEBUG:root:Epoch: 20 Loss: 6.137819290161133 accuracy: tensor([67.2770], device='cuda:3')
DEBUG:root:Epoch: 21 Loss: 6.174241542816162 accuracy: tensor([69.9788], device='cuda:3')
DEBUG:root:Epoch: 22 Loss: 6.150472164154053 accuracy: tensor([69.9870], device='cuda:3')
DEBUG:root:Epoch: 23 Loss: 6.144171714782715 accuracy: tensor([69.7510], device='cuda:3')
DEBUG:root:Epoch: 24 Loss: 6.195457458496094 accuracy: tensor([66.7725], device='cuda:3')
DEBUG:root:Epoch: 25 Loss: 6.173194408416748 accuracy: tensor([67.6025], device='cuda:3')
DEBUG:root:Epoch: 26 Loss: 6.123746395111084 accuracy: tensor([70.8740], device='cuda:3')
DEBUG:root:Epoch: 27 Loss: 6.158181667327881 accuracy: tensor([69.1813], device='cuda:3')
DEBUG:root:Epoch: 28 Loss: 6.110795974731445 accuracy: tensor([71.7448], device='cuda:3')
DEBUG:root:Epoch: 29 Loss: 6.10955810546875 accuracy: tensor([66.1621], device='cuda:3')
DEBUG:root:Epoch: 30 Loss: 6.166610240936279 accuracy: tensor([70.9798], device='cuda:3')
DEBUG:root:Epoch: 31 Loss: 6.179434776306152 accuracy: tensor([72.5911], device='cuda:3')
DEBUG:root:Epoch: 32 Loss: 6.121603965759277 accuracy: tensor([71.5495], device='cuda:3')
DEBUG:root:Epoch: 33 Loss: 6.0721282958984375 accuracy: tensor([77.3682], device='cuda:3')
DEBUG:root:Epoch: 34 Loss: 6.117170333862305 accuracy: tensor([73.1201], device='cuda:3')
DEBUG:root:Epoch: 35 Loss: 6.1442389488220215 accuracy: tensor([70.8740], device='cuda:3')
DEBUG:root:Epoch: 36 Loss: 6.1207075119018555 accuracy: tensor([66.7236], device='cuda:3')
DEBUG:root:Epoch: 37 Loss: 6.127310752868652 accuracy: tensor([72.1354], device='cuda:3')
DEBUG:root:Epoch: 38 Loss: 6.172077178955078 accuracy: tensor([71.1507], device='cuda:3')
DEBUG:root:Epoch: 39 Loss: 6.15718936920166 accuracy: tensor([72.0540], device='cuda:3')
DEBUG:root:Epoch: 40 Loss: 6.171923637390137 accuracy: tensor([66.6829], device='cuda:3')
DEBUG:root:Epoch: 41 Loss: 6.195249080657959 accuracy: tensor([64.7624], device='cuda:3')
DEBUG:root:Epoch: 42 Loss: 6.194736003875732 accuracy: tensor([66.8538], device='cuda:3')
DEBUG:root:Epoch: 43 Loss: 6.192075252532959 accuracy: tensor([68.2373], device='cuda:3')
DEBUG:root:Epoch: 44 Loss: 6.2493743896484375 accuracy: tensor([65.9017], device='cuda:3')
DEBUG:root:Epoch: 45 Loss: 6.2553534507751465 accuracy: tensor([70.1742], device='cuda:3')
DEBUG:root:Epoch: 46 Loss: 6.258124351501465 accuracy: tensor([67.8955], device='cuda:3')
DEBUG:root:Epoch: 47 Loss: 6.271827220916748 accuracy: tensor([69.0023], device='cuda:3')
DEBUG:root:Epoch: 48 Loss: 6.213303565979004 accuracy: tensor([71.4681], device='cuda:3')
DEBUG:root:Epoch: 49 Loss: 6.2246856689453125 accuracy: tensor([69.1569], device='cuda:3')
DEBUG:root:Epoch: 50 Loss: 6.253939628601074 accuracy: tensor([66.0726], device='cuda:3')
DEBUG:root:Epoch: 51 Loss: 6.213271617889404 accuracy: tensor([70.0439], device='cuda:3')
DEBUG:root:Epoch: 52 Loss: 6.197980880737305 accuracy: tensor([68.9697], device='cuda:3')
DEBUG:root:Epoch: 53 Loss: 6.206847667694092 accuracy: tensor([73.9502], device='cuda:3')
DEBUG:root:Epoch: 54 Loss: 6.268939971923828 accuracy: tensor([69.6370], device='cuda:3')
DEBUG:root:Epoch: 55 Loss: 6.225574493408203 accuracy: tensor([70.1986], device='cuda:3')
DEBUG:root:Epoch: 56 Loss: 6.211949348449707 accuracy: tensor([75.5046], device='cuda:3')
DEBUG:root:Epoch: 57 Loss: 6.200652122497559 accuracy: tensor([71.8018], device='cuda:3')
DEBUG:root:Epoch: 58 Loss: 6.243541240692139 accuracy: tensor([69.6126], device='cuda:3')
DEBUG:root:Epoch: 59 Loss: 6.250099182128906 accuracy: tensor([69.3441], device='cuda:3')
DEBUG:root:Epoch: 60 Loss: 6.230775833129883 accuracy: tensor([67.7083], device='cuda:3')
DEBUG:root:Epoch: 61 Loss: 6.186650276184082 accuracy: tensor([73.6979], device='cuda:3')
DEBUG:root:Epoch: 62 Loss: 6.2291765213012695 accuracy: tensor([69.4417], device='cuda:3')
DEBUG:root:Epoch: 63 Loss: 6.1996307373046875 accuracy: tensor([70.6055], device='cuda:3')
DEBUG:root:Epoch: 64 Loss: 6.196589469909668 accuracy: tensor([65.9994], device='cuda:3')
DEBUG:root:Epoch: 65 Loss: 6.196043968200684 accuracy: tensor([73.5677], device='cuda:3')
DEBUG:root:Epoch: 66 Loss: 6.193202495574951 accuracy: tensor([75.8301], device='cuda:3')
DEBUG:root:Epoch: 67 Loss: 6.196473598480225 accuracy: tensor([71.0693], device='cuda:3')
DEBUG:root:Epoch: 68 Loss: 6.148147106170654 accuracy: tensor([72.5586], device='cuda:3')
DEBUG:root:Epoch: 69 Loss: 6.1442484855651855 accuracy: tensor([76.2695], device='cuda:3')
