INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8475285768508911 	 train acc: 0.16666666666666666 	 eval acc: 0.1015625test acc: 0.12020033388981637 	 train f1: 0.04938271604938272 	 eval f1: 0.06613756613756615 	 test f1: 0.0725741437160808
DEBUG:root:Epoch: 1 	 Loss: 1.7622367143630981 	 train acc: 0.25 	 eval acc: 0.08984375test acc: 0.12186978297161936 	 train f1: 0.14857142857142858 	 eval f1: 0.06104197776671644 	 test f1: 0.07678482886584463
DEBUG:root:Epoch: 2 	 Loss: 1.7156596183776855 	 train acc: 0.3333333333333333 	 eval acc: 0.13671875test acc: 0.1318864774624374 	 train f1: 0.17273954116059378 	 eval f1: 0.09002615906940503 	 test f1: 0.08690970741390112
DEBUG:root:Epoch: 3 	 Loss: 1.7218159437179565 	 train acc: 0.3333333333333333 	 eval acc: 0.16796875test acc: 0.15108514190317196 	 train f1: 0.17777777777777778 	 eval f1: 0.11051693404634581 	 test f1: 0.09862202836802235
DEBUG:root:Epoch: 4 	 Loss: 1.7128113508224487 	 train acc: 0.3333333333333333 	 eval acc: 0.1875test acc: 0.15692821368948248 	 train f1: 0.17777777777777778 	 eval f1: 0.11655474155474155 	 test f1: 0.10190919166874884
DEBUG:root:Epoch: 5 	 Loss: 1.686159610748291 	 train acc: 0.3333333333333333 	 eval acc: 0.203125test acc: 0.169449081803005 	 train f1: 0.17777777777777778 	 eval f1: 0.12644990290243008 	 test f1: 0.1148710949347892
DEBUG:root:Epoch: 6 	 Loss: 1.6866703033447266 	 train acc: 0.4166666666666667 	 eval acc: 0.23828125test acc: 0.18280467445742904 	 train f1: 0.2962962962962963 	 eval f1: 0.15964090554254493 	 test f1: 0.1399305982786812
DEBUG:root:Epoch: 7 	 Loss: 1.6216157674789429 	 train acc: 0.4583333333333333 	 eval acc: 0.296875test acc: 0.20701168614357263 	 train f1: 0.33814333814333813 	 eval f1: 0.22853024168813643 	 test f1: 0.19355732734816747
DEBUG:root:Epoch: 8 	 Loss: 1.6084092855453491 	 train acc: 0.5 	 eval acc: 0.3125test acc: 0.21869782971619364 	 train f1: 0.36631016042780745 	 eval f1: 0.24666192544753263 	 test f1: 0.20771894876036823
DEBUG:root:Epoch: 9 	 Loss: 1.5127285718917847 	 train acc: 0.5 	 eval acc: 0.32421875test acc: 0.2287145242070117 	 train f1: 0.36631016042780745 	 eval f1: 0.2609450355458427 	 test f1: 0.21525232752140314
DEBUG:root:Epoch: 10 	 Loss: 1.5602041482925415 	 train acc: 0.4583333333333333 	 eval acc: 0.32421875test acc: 0.2270450751252087 	 train f1: 0.34250063661828367 	 eval f1: 0.2502329586425022 	 test f1: 0.20740261916732505
DEBUG:root:Epoch: 11 	 Loss: 1.5095962285995483 	 train acc: 0.5 	 eval acc: 0.34765625test acc: 0.2345575959933222 	 train f1: 0.36631016042780745 	 eval f1: 0.28377933056393123 	 test f1: 0.20974404240069935
DEBUG:root:Epoch: 12 	 Loss: 1.4810274839401245 	 train acc: 0.6666666666666666 	 eval acc: 0.5625test acc: 0.4599332220367279 	 train f1: 0.5471380471380471 	 eval f1: 0.44491926905486223 	 test f1: 0.36702613700833103
DEBUG:root:Epoch: 13 	 Loss: 1.5560647249221802 	 train acc: 0.6666666666666666 	 eval acc: 0.58203125test acc: 0.4607679465776294 	 train f1: 0.5471380471380471 	 eval f1: 0.46409975950583005 	 test f1: 0.37063892235499657
DEBUG:root:Epoch: 14 	 Loss: 1.4710310697555542 	 train acc: 0.6666666666666666 	 eval acc: 0.5703125test acc: 0.46410684474123537 	 train f1: 0.5471380471380471 	 eval f1: 0.45629970233026734 	 test f1: 0.3759381584541099
DEBUG:root:Epoch: 15 	 Loss: 1.4550379514694214 	 train acc: 0.7083333333333334 	 eval acc: 0.57421875test acc: 0.46327212020033387 	 train f1: 0.6323232323232323 	 eval f1: 0.4486242843715287 	 test f1: 0.3751690055690687
DEBUG:root:Epoch: 16 	 Loss: 1.4270402193069458 	 train acc: 0.625 	 eval acc: 0.4140625test acc: 0.3096828046744574 	 train f1: 0.5608946608946609 	 eval f1: 0.34603564332425923 	 test f1: 0.2709360775513103
DEBUG:root:Epoch: 17 	 Loss: 1.3451809883117676 	 train acc: 0.5833333333333334 	 eval acc: 0.40234375test acc: 0.25208681135225375 	 train f1: 0.49444444444444446 	 eval f1: 0.30278444028444035 	 test f1: 0.2147788028514348
DEBUG:root:Epoch: 18 	 Loss: 1.482372760772705 	 train acc: 0.5833333333333334 	 eval acc: 0.41015625test acc: 0.24791318864774625 	 train f1: 0.49444444444444446 	 eval f1: 0.313294342444638 	 test f1: 0.20796384789643965
DEBUG:root:Epoch: 19 	 Loss: 1.2564221620559692 	 train acc: 0.5833333333333334 	 eval acc: 0.375test acc: 0.25542570951585974 	 train f1: 0.49444444444444446 	 eval f1: 0.30203433803730434 	 test f1: 0.21389910142867005
DEBUG:root:Epoch: 20 	 Loss: 1.4174370765686035 	 train acc: 0.5 	 eval acc: 0.421875test acc: 0.2604340567612688 	 train f1: 0.3611111111111111 	 eval f1: 0.33302267803789876 	 test f1: 0.21851585913769941
DEBUG:root:Epoch: 21 	 Loss: 1.4070262908935547 	 train acc: 0.5 	 eval acc: 0.390625test acc: 0.2637729549248748 	 train f1: 0.3611111111111111 	 eval f1: 0.3033147554020419 	 test f1: 0.22561203254593434
DEBUG:root:Epoch: 22 	 Loss: 1.3295091390609741 	 train acc: 0.5 	 eval acc: 0.39453125test acc: 0.2696160267111853 	 train f1: 0.3611111111111111 	 eval f1: 0.29753764994621906 	 test f1: 0.23392316906457755
DEBUG:root:Epoch: 23 	 Loss: 1.3563753366470337 	 train acc: 0.5833333333333334 	 eval acc: 0.43359375test acc: 0.2621035058430718 	 train f1: 0.49444444444444446 	 eval f1: 0.3138243098568056 	 test f1: 0.22423403094957614
DEBUG:root:Epoch: 24 	 Loss: 1.3030630350112915 	 train acc: 0.5833333333333334 	 eval acc: 0.41015625test acc: 0.2646076794657763 	 train f1: 0.49444444444444446 	 eval f1: 0.2970156668786806 	 test f1: 0.23236373885940842
DEBUG:root:Epoch: 25 	 Loss: 1.3174946308135986 	 train acc: 0.625 	 eval acc: 0.390625test acc: 0.2687813021702838 	 train f1: 0.541005291005291 	 eval f1: 0.3124707338283497 	 test f1: 0.24410085256098135
DEBUG:root:Epoch: 26 	 Loss: 1.2525644302368164 	 train acc: 0.6666666666666666 	 eval acc: 0.38671875test acc: 0.2654424040066778 	 train f1: 0.5833333333333334 	 eval f1: 0.32372257796549553 	 test f1: 0.2457743839328658
DEBUG:root:Epoch: 27 	 Loss: 1.3285011053085327 	 train acc: 0.6666666666666666 	 eval acc: 0.40234375test acc: 0.2671118530884808 	 train f1: 0.5833333333333334 	 eval f1: 0.3276043423102246 	 test f1: 0.250818336597807
DEBUG:root:Epoch: 28 	 Loss: 1.238688588142395 	 train acc: 0.6666666666666666 	 eval acc: 0.41015625test acc: 0.2654424040066778 	 train f1: 0.5833333333333334 	 eval f1: 0.35051250340463636 	 test f1: 0.24808229576381494
DEBUG:root:Epoch: 29 	 Loss: 1.2552587985992432 	 train acc: 0.6666666666666666 	 eval acc: 0.4140625test acc: 0.2662771285475793 	 train f1: 0.5833333333333334 	 eval f1: 0.3413037831125303 	 test f1: 0.25293370224096007
DEBUG:root:Epoch: 30 	 Loss: 1.2467182874679565 	 train acc: 0.6666666666666666 	 eval acc: 0.42578125test acc: 0.2671118530884808 	 train f1: 0.5833333333333334 	 eval f1: 0.37769106095156935 	 test f1: 0.2547723375409853
DEBUG:root:Epoch: 31 	 Loss: 1.2803065776824951 	 train acc: 0.6666666666666666 	 eval acc: 0.40234375test acc: 0.2696160267111853 	 train f1: 0.5833333333333334 	 eval f1: 0.36244864457444886 	 test f1: 0.2577287059647859
DEBUG:root:Epoch: 32 	 Loss: 1.26129150390625 	 train acc: 0.6666666666666666 	 eval acc: 0.40625test acc: 0.2704507512520868 	 train f1: 0.5833333333333334 	 eval f1: 0.32932470755978355 	 test f1: 0.26121785532287184
DEBUG:root:Epoch: 33 	 Loss: 1.2978928089141846 	 train acc: 0.6666666666666666 	 eval acc: 0.4296875test acc: 0.27629382303839733 	 train f1: 0.5833333333333334 	 eval f1: 0.3565634986959056 	 test f1: 0.26695396402220595
DEBUG:root:Epoch: 34 	 Loss: 1.283807635307312 	 train acc: 0.6666666666666666 	 eval acc: 0.4296875test acc: 0.27378964941569284 	 train f1: 0.5833333333333334 	 eval f1: 0.3552365390600685 	 test f1: 0.2662259780967458
DEBUG:root:Epoch: 35 	 Loss: 1.2111787796020508 	 train acc: 0.6666666666666666 	 eval acc: 0.41015625test acc: 0.27128547579298834 	 train f1: 0.5833333333333334 	 eval f1: 0.3520201733851637 	 test f1: 0.2661822673234458
DEBUG:root:Epoch: 36 	 Loss: 1.1728129386901855 	 train acc: 0.6666666666666666 	 eval acc: 0.41015625test acc: 0.27378964941569284 	 train f1: 0.5833333333333334 	 eval f1: 0.33423679147363355 	 test f1: 0.2711001265439795
DEBUG:root:Epoch: 37 	 Loss: 1.194656252861023 	 train acc: 0.6666666666666666 	 eval acc: 0.40234375test acc: 0.27378964941569284 	 train f1: 0.5833333333333334 	 eval f1: 0.3426508331359078 	 test f1: 0.27295432455995966
DEBUG:root:Epoch: 38 	 Loss: 1.2823694944381714 	 train acc: 0.6666666666666666 	 eval acc: 0.421875test acc: 0.27545909849749584 	 train f1: 0.5833333333333334 	 eval f1: 0.3593809400949488 	 test f1: 0.2785298774020064
DEBUG:root:Epoch: 39 	 Loss: 1.1266218423843384 	 train acc: 0.6666666666666666 	 eval acc: 0.3984375test acc: 0.27796327212020033 	 train f1: 0.5833333333333334 	 eval f1: 0.34811522633744857 	 test f1: 0.2852326204544076
DEBUG:root:Epoch: 40 	 Loss: 1.1793227195739746 	 train acc: 0.7083333333333334 	 eval acc: 0.4296875test acc: 0.32136894824707846 	 train f1: 0.6555555555555556 	 eval f1: 0.3939105495108306 	 test f1: 0.3373552432380891
DEBUG:root:Epoch: 41 	 Loss: 1.1981470584869385 	 train acc: 0.8333333333333334 	 eval acc: 0.63671875test acc: 0.49081803005008345 	 train f1: 0.7777777777777778 	 eval f1: 0.5655698962200509 	 test f1: 0.46210872948754234
DEBUG:root:Epoch: 42 	 Loss: 1.1123791933059692 	 train acc: 0.8333333333333334 	 eval acc: 0.6484375test acc: 0.49248747913188645 	 train f1: 0.7777777777777778 	 eval f1: 0.5743555163329646 	 test f1: 0.4658809403323165
DEBUG:root:Epoch: 43 	 Loss: 1.121882438659668 	 train acc: 0.8333333333333334 	 eval acc: 0.62109375test acc: 0.4941569282136895 	 train f1: 0.7777777777777778 	 eval f1: 0.5495284646758795 	 test f1: 0.4690514483437401
DEBUG:root:Epoch: 44 	 Loss: 1.0873980522155762 	 train acc: 0.8333333333333334 	 eval acc: 0.62109375test acc: 0.493322203672788 	 train f1: 0.7777777777777778 	 eval f1: 0.5836205281292184 	 test f1: 0.4678757386039323
DEBUG:root:Epoch: 45 	 Loss: 1.153753399848938 	 train acc: 0.8333333333333334 	 eval acc: 0.62109375test acc: 0.49248747913188645 	 train f1: 0.7777777777777778 	 eval f1: 0.5785458006046241 	 test f1: 0.46822197856441544
DEBUG:root:Epoch: 46 	 Loss: 1.1434378623962402 	 train acc: 0.8333333333333334 	 eval acc: 0.61328125test acc: 0.49165275459098495 	 train f1: 0.7777777777777778 	 eval f1: 0.5713550409648164 	 test f1: 0.4676541957464844
DEBUG:root:Epoch: 47 	 Loss: 1.1222896575927734 	 train acc: 0.8333333333333334 	 eval acc: 0.640625test acc: 0.48998330550918195 	 train f1: 0.7777777777777778 	 eval f1: 0.5682596156280367 	 test f1: 0.4650761765073415
DEBUG:root:Epoch: 48 	 Loss: 1.1669450998306274 	 train acc: 0.8333333333333334 	 eval acc: 0.6171875test acc: 0.48998330550918195 	 train f1: 0.7777777777777778 	 eval f1: 0.5823429017342295 	 test f1: 0.4649437137440687
DEBUG:root:Epoch: 49 	 Loss: 1.2001981735229492 	 train acc: 0.8333333333333334 	 eval acc: 0.62890625test acc: 0.49165275459098495 	 train f1: 0.7777777777777778 	 eval f1: 0.5978113695090439 	 test f1: 0.46630697919299885
DEBUG:root:Epoch: 50 	 Loss: 1.1153899431228638 	 train acc: 0.8333333333333334 	 eval acc: 0.62890625test acc: 0.49165275459098495 	 train f1: 0.7777777777777778 	 eval f1: 0.5947498753343307 	 test f1: 0.46661714499505874
DEBUG:root:Epoch: 51 	 Loss: 1.0841118097305298 	 train acc: 0.8333333333333334 	 eval acc: 0.64453125test acc: 0.49248747913188645 	 train f1: 0.7777777777777778 	 eval f1: 0.5941221659627088 	 test f1: 0.467528045827446
DEBUG:root:Epoch: 52 	 Loss: 1.006421446800232 	 train acc: 0.8333333333333334 	 eval acc: 0.65234375test acc: 0.494991652754591 	 train f1: 0.7777777777777778 	 eval f1: 0.5900347110693576 	 test f1: 0.47203021998812233
DEBUG:root:Epoch: 53 	 Loss: 1.203424334526062 	 train acc: 0.8333333333333334 	 eval acc: 0.6328125test acc: 0.4958263772954925 	 train f1: 0.7777777777777778 	 eval f1: 0.5830525032227676 	 test f1: 0.47328811740595467
