INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7968257665634155 	 train acc: 0.16666666666666666 	 eval acc: 0.078125test acc: 0.09515859766277128 	 train f1: 0.047619047619047616 	 eval f1: 0.024154589371980676 	 test f1: 0.030001620112264246
DEBUG:root:Epoch: 1 	 Loss: 1.7505649328231812 	 train acc: 0.20833333333333334 	 eval acc: 0.078125test acc: 0.1001669449081803 	 train f1: 0.1160493827160494 	 eval f1: 0.04190804881055096 	 test f1: 0.037414699995345156
DEBUG:root:Epoch: 2 	 Loss: 1.7134019136428833 	 train acc: 0.3333333333333333 	 eval acc: 0.15234375test acc: 0.11101836393989983 	 train f1: 0.22222222222222224 	 eval f1: 0.10494956603330986 	 test f1: 0.05166772548488666
DEBUG:root:Epoch: 3 	 Loss: 1.7306928634643555 	 train acc: 0.3333333333333333 	 eval acc: 0.18359375test acc: 0.12103505843071787 	 train f1: 0.2061191626409018 	 eval f1: 0.12636127412338327 	 test f1: 0.06306095005785407
DEBUG:root:Epoch: 4 	 Loss: 1.7386246919631958 	 train acc: 0.3333333333333333 	 eval acc: 0.1875test acc: 0.14273789649415694 	 train f1: 0.2061191626409018 	 eval f1: 0.12302885845486743 	 test f1: 0.08532257335322574
DEBUG:root:Epoch: 5 	 Loss: 1.7007280588150024 	 train acc: 0.3333333333333333 	 eval acc: 0.23828125test acc: 0.16110183639398998 	 train f1: 0.2061191626409018 	 eval f1: 0.1500489534545262 	 test f1: 0.09999312896924722
DEBUG:root:Epoch: 6 	 Loss: 1.6862316131591797 	 train acc: 0.3333333333333333 	 eval acc: 0.25390625test acc: 0.18530884808013356 	 train f1: 0.1847041847041847 	 eval f1: 0.15016151827175447 	 test f1: 0.11741896547186742
DEBUG:root:Epoch: 7 	 Loss: 1.6812587976455688 	 train acc: 0.375 	 eval acc: 0.3515625test acc: 0.24457429048414023 	 train f1: 0.246943115364168 	 eval f1: 0.2288253599426928 	 test f1: 0.1854501426002612
DEBUG:root:Epoch: 8 	 Loss: 1.6391854286193848 	 train acc: 0.5 	 eval acc: 0.4609375test acc: 0.4332220367278798 	 train f1: 0.33968253968253975 	 eval f1: 0.29849254031475675 	 test f1: 0.3084141188910743
DEBUG:root:Epoch: 9 	 Loss: 1.573946475982666 	 train acc: 0.5833333333333334 	 eval acc: 0.48828125test acc: 0.44240400667779634 	 train f1: 0.47301587301587306 	 eval f1: 0.34025176177386257 	 test f1: 0.33487522149987653
DEBUG:root:Epoch: 10 	 Loss: 1.626700520515442 	 train acc: 0.5833333333333334 	 eval acc: 0.5078125test acc: 0.4332220367278798 	 train f1: 0.47301587301587306 	 eval f1: 0.35466528640441686 	 test f1: 0.3147845969551247
DEBUG:root:Epoch: 11 	 Loss: 1.5589332580566406 	 train acc: 0.5833333333333334 	 eval acc: 0.5test acc: 0.4307178631051753 	 train f1: 0.47301587301587306 	 eval f1: 0.3867337818000967 	 test f1: 0.3179569141779594
DEBUG:root:Epoch: 12 	 Loss: 1.507959246635437 	 train acc: 0.5 	 eval acc: 0.359375test acc: 0.27212020033388984 	 train f1: 0.43888888888888894 	 eval f1: 0.29540671517257083 	 test f1: 0.2390700108432907
DEBUG:root:Epoch: 13 	 Loss: 1.5813302993774414 	 train acc: 0.5 	 eval acc: 0.34765625test acc: 0.2328881469115192 	 train f1: 0.4519763460939932 	 eval f1: 0.26723352888950597 	 test f1: 0.2094751174671525
DEBUG:root:Epoch: 14 	 Loss: 1.497214436531067 	 train acc: 0.5416666666666666 	 eval acc: 0.2890625test acc: 0.2362270450751252 	 train f1: 0.5149393090569561 	 eval f1: 0.23897207145492752 	 test f1: 0.21533805309007517
DEBUG:root:Epoch: 15 	 Loss: 1.488338589668274 	 train acc: 0.5833333333333334 	 eval acc: 0.30859375test acc: 0.24457429048414023 	 train f1: 0.5515873015873015 	 eval f1: 0.2327000202327599 	 test f1: 0.22635552605979492
DEBUG:root:Epoch: 16 	 Loss: 1.4852439165115356 	 train acc: 0.5416666666666666 	 eval acc: 0.32421875test acc: 0.2570951585976628 	 train f1: 0.5013227513227513 	 eval f1: 0.25323258171507407 	 test f1: 0.24967653849787422
DEBUG:root:Epoch: 17 	 Loss: 1.4076170921325684 	 train acc: 0.625 	 eval acc: 0.33984375test acc: 0.2679465776293823 	 train f1: 0.5809523809523809 	 eval f1: 0.25018779962176185 	 test f1: 0.2656293648207712
DEBUG:root:Epoch: 18 	 Loss: 1.5121928453445435 	 train acc: 0.625 	 eval acc: 0.36328125test acc: 0.27712854757929883 	 train f1: 0.5809523809523809 	 eval f1: 0.30418764996264025 	 test f1: 0.27988619542204346
DEBUG:root:Epoch: 19 	 Loss: 1.2992998361587524 	 train acc: 0.625 	 eval acc: 0.3515625test acc: 0.29465776293823037 	 train f1: 0.5809523809523809 	 eval f1: 0.3268276033248192 	 test f1: 0.29977383646973726
DEBUG:root:Epoch: 20 	 Loss: 1.4410566091537476 	 train acc: 0.625 	 eval acc: 0.421875test acc: 0.3105175292153589 	 train f1: 0.5809523809523809 	 eval f1: 0.37099790313811726 	 test f1: 0.3164106974292526
DEBUG:root:Epoch: 21 	 Loss: 1.418752670288086 	 train acc: 0.625 	 eval acc: 0.3828125test acc: 0.32303839732888145 	 train f1: 0.5809523809523809 	 eval f1: 0.3390538747060486 	 test f1: 0.3294764286817295
DEBUG:root:Epoch: 22 	 Loss: 1.369817852973938 	 train acc: 0.7083333333333334 	 eval acc: 0.41796875test acc: 0.34974958263772954 	 train f1: 0.6555555555555556 	 eval f1: 0.3842957783346439 	 test f1: 0.35694384441873755
DEBUG:root:Epoch: 23 	 Loss: 1.3598531484603882 	 train acc: 0.75 	 eval acc: 0.4921875test acc: 0.38647746243739567 	 train f1: 0.7063492063492064 	 eval f1: 0.42361279420211084 	 test f1: 0.3907247850200159
DEBUG:root:Epoch: 24 	 Loss: 1.3346143960952759 	 train acc: 0.7916666666666666 	 eval acc: 0.5078125test acc: 0.43906510851419034 	 train f1: 0.7454212454212454 	 eval f1: 0.4346685704112034 	 test f1: 0.42935883672260333
DEBUG:root:Epoch: 25 	 Loss: 1.344714641571045 	 train acc: 0.8333333333333334 	 eval acc: 0.5078125test acc: 0.48163606010016696 	 train f1: 0.7777777777777777 	 eval f1: 0.45232099218877414 	 test f1: 0.45285415465741025
DEBUG:root:Epoch: 26 	 Loss: 1.2575191259384155 	 train acc: 0.8333333333333334 	 eval acc: 0.55859375test acc: 0.5166944908180301 	 train f1: 0.7693602693602695 	 eval f1: 0.47825942179976844 	 test f1: 0.46746581405611604
DEBUG:root:Epoch: 27 	 Loss: 1.3363360166549683 	 train acc: 0.8333333333333334 	 eval acc: 0.58984375test acc: 0.5425709515859767 	 train f1: 0.7777777777777778 	 eval f1: 0.5021780157819947 	 test f1: 0.5168438206721157
DEBUG:root:Epoch: 28 	 Loss: 1.263501763343811 	 train acc: 0.8333333333333334 	 eval acc: 0.4921875test acc: 0.48497495826377296 	 train f1: 0.7777777777777777 	 eval f1: 0.4409310363443491 	 test f1: 0.4607862581626998
DEBUG:root:Epoch: 29 	 Loss: 1.2949234247207642 	 train acc: 0.75 	 eval acc: 0.4765625test acc: 0.41235392320534225 	 train f1: 0.7063492063492064 	 eval f1: 0.4270892045418724 	 test f1: 0.4195326529284203
DEBUG:root:Epoch: 30 	 Loss: 1.2567055225372314 	 train acc: 0.75 	 eval acc: 0.43359375test acc: 0.39315525876460766 	 train f1: 0.7063492063492064 	 eval f1: 0.4086435998712629 	 test f1: 0.41080180575932884
DEBUG:root:Epoch: 31 	 Loss: 1.2721554040908813 	 train acc: 0.7083333333333334 	 eval acc: 0.4375test acc: 0.3639398998330551 	 train f1: 0.6555555555555556 	 eval f1: 0.4365754881323383 	 test f1: 0.3841865190315616
DEBUG:root:Epoch: 32 	 Loss: 1.2613716125488281 	 train acc: 0.7083333333333334 	 eval acc: 0.4453125test acc: 0.34891485809682804 	 train f1: 0.6555555555555556 	 eval f1: 0.42836696428245724 	 test f1: 0.37168152219748146
DEBUG:root:Epoch: 33 	 Loss: 1.297313928604126 	 train acc: 0.7083333333333334 	 eval acc: 0.4296875test acc: 0.335559265442404 	 train f1: 0.6555555555555556 	 eval f1: 0.4010321778839299 	 test f1: 0.35939158222706014
