INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7946492433547974 	 train acc: 0.125 	 eval acc: 0.06640625test acc: 0.11769616026711185 	 train f1: 0.03703703703703703 	 eval f1: 0.03197090593280139 	 test f1: 0.062273086029992104
DEBUG:root:Epoch: 1 	 Loss: 1.753649353981018 	 train acc: 0.20833333333333334 	 eval acc: 0.14453125test acc: 0.12103505843071787 	 train f1: 0.1400966183574879 	 eval f1: 0.10727625877782758 	 test f1: 0.07264162495599331
DEBUG:root:Epoch: 2 	 Loss: 1.70066499710083 	 train acc: 0.20833333333333334 	 eval acc: 0.1875test acc: 0.15025041736227046 	 train f1: 0.11375661375661378 	 eval f1: 0.10713408945843766 	 test f1: 0.09778440408421434
DEBUG:root:Epoch: 3 	 Loss: 1.7026166915893555 	 train acc: 0.20833333333333334 	 eval acc: 0.1953125test acc: 0.14023372287145242 	 train f1: 0.12010796221322535 	 eval f1: 0.11487625849327977 	 test f1: 0.09167722383684825
DEBUG:root:Epoch: 4 	 Loss: 1.6878963708877563 	 train acc: 0.20833333333333334 	 eval acc: 0.19140625test acc: 0.14023372287145242 	 train f1: 0.12010796221322535 	 eval f1: 0.11187590768742602 	 test f1: 0.09189685514120834
DEBUG:root:Epoch: 5 	 Loss: 1.7046555280685425 	 train acc: 0.2916666666666667 	 eval acc: 0.19140625test acc: 0.14941569282136896 	 train f1: 0.2128654970760234 	 eval f1: 0.10927496315624169 	 test f1: 0.10894662221778434
DEBUG:root:Epoch: 6 	 Loss: 1.6861540079116821 	 train acc: 0.3333333333333333 	 eval acc: 0.19921875test acc: 0.13606010016694492 	 train f1: 0.25925925925925924 	 eval f1: 0.12386127624222863 	 test f1: 0.11071802573465099
DEBUG:root:Epoch: 7 	 Loss: 1.627745509147644 	 train acc: 0.4166666666666667 	 eval acc: 0.27734375test acc: 0.12437395659432388 	 train f1: 0.375 	 eval f1: 0.201006373511292 	 test f1: 0.11721940696059328
DEBUG:root:Epoch: 8 	 Loss: 1.6088961362838745 	 train acc: 0.625 	 eval acc: 0.453125test acc: 0.34307178631051755 	 train f1: 0.5787545787545787 	 eval f1: 0.3122827017769214 	 test f1: 0.23772020419334308
DEBUG:root:Epoch: 9 	 Loss: 1.5160564184188843 	 train acc: 0.625 	 eval acc: 0.44921875test acc: 0.34223706176961605 	 train f1: 0.5666666666666667 	 eval f1: 0.3642487689695682 	 test f1: 0.2492056622707585
DEBUG:root:Epoch: 10 	 Loss: 1.562308669090271 	 train acc: 0.6666666666666666 	 eval acc: 0.47265625test acc: 0.3597662771285476 	 train f1: 0.6132275132275132 	 eval f1: 0.3918087902683538 	 test f1: 0.295597715287814
DEBUG:root:Epoch: 11 	 Loss: 1.521704077720642 	 train acc: 0.6666666666666666 	 eval acc: 0.45703125test acc: 0.37061769616026713 	 train f1: 0.6132275132275132 	 eval f1: 0.39424649124741756 	 test f1: 0.32002223262098
DEBUG:root:Epoch: 12 	 Loss: 1.4749784469604492 	 train acc: 0.7083333333333334 	 eval acc: 0.453125test acc: 0.3823038397328882 	 train f1: 0.6555555555555556 	 eval f1: 0.36950302165616916 	 test f1: 0.34449381230348575
DEBUG:root:Epoch: 13 	 Loss: 1.5472196340560913 	 train acc: 0.7083333333333334 	 eval acc: 0.45703125test acc: 0.38981636060100167 	 train f1: 0.6555555555555556 	 eval f1: 0.4106210534420158 	 test f1: 0.35766913510164894
