INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7692967653274536 	 train acc: 0.16666666666666666 	 eval acc: 0.078125test acc: 0.09432387312186978 	 train f1: 0.047619047619047616 	 eval f1: 0.024154589371980676 	 test f1: 0.028731248410882274
DEBUG:root:Epoch: 1 	 Loss: 1.7736997604370117 	 train acc: 0.20833333333333334 	 eval acc: 0.0703125test acc: 0.09432387312186978 	 train f1: 0.1160493827160494 	 eval f1: 0.03144899285250163 	 test f1: 0.028731248410882274
DEBUG:root:Epoch: 2 	 Loss: 1.7364782094955444 	 train acc: 0.20833333333333334 	 eval acc: 0.08984375test acc: 0.09432387312186978 	 train f1: 0.10683760683760683 	 eval f1: 0.04522815719960479 	 test f1: 0.028907649015093368
DEBUG:root:Epoch: 3 	 Loss: 1.7416561841964722 	 train acc: 0.20833333333333334 	 eval acc: 0.08203125test acc: 0.09432387312186978 	 train f1: 0.10683760683760683 	 eval f1: 0.042308299770986345 	 test f1: 0.028996664100590194
DEBUG:root:Epoch: 4 	 Loss: 1.7714825868606567 	 train acc: 0.20833333333333334 	 eval acc: 0.07421875test acc: 0.0993322203672788 	 train f1: 0.10683760683760683 	 eval f1: 0.038404835618457915 	 test f1: 0.03617347290756656
DEBUG:root:Epoch: 5 	 Loss: 1.7614985704421997 	 train acc: 0.2916666666666667 	 eval acc: 0.16015625test acc: 0.14858096828046743 	 train f1: 0.1606060606060606 	 eval f1: 0.10384313725490196 	 test f1: 0.08937218506081901
DEBUG:root:Epoch: 6 	 Loss: 1.7729922533035278 	 train acc: 0.3333333333333333 	 eval acc: 0.28125test acc: 0.27128547579298834 	 train f1: 0.17777777777777778 	 eval f1: 0.15944112659441126 	 test f1: 0.1577296646811737
DEBUG:root:Epoch: 7 	 Loss: 1.7598587274551392 	 train acc: 0.3333333333333333 	 eval acc: 0.32421875test acc: 0.3071786310517529 	 train f1: 0.16931216931216933 	 eval f1: 0.15891053391053392 	 test f1: 0.16434317400812246
DEBUG:root:Epoch: 8 	 Loss: 1.69303560256958 	 train acc: 0.3333333333333333 	 eval acc: 0.3046875test acc: 0.3071786310517529 	 train f1: 0.16931216931216933 	 eval f1: 0.14899921530046964 	 test f1: 0.16264304711709734
DEBUG:root:Epoch: 9 	 Loss: 1.6080344915390015 	 train acc: 0.375 	 eval acc: 0.32421875test acc: 0.31719532554257096 	 train f1: 0.24033613445378155 	 eval f1: 0.19872408293460922 	 test f1: 0.20718169497608416
DEBUG:root:Epoch: 10 	 Loss: 1.687315821647644 	 train acc: 0.5416666666666666 	 eval acc: 0.37890625test acc: 0.3639398998330551 	 train f1: 0.4539682539682539 	 eval f1: 0.2938247863247863 	 test f1: 0.322769515997237
