INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.0123908519744873 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9821219444274902 	 train acc: 0.14285714285714285 	 eval acc: 0.15494791666666666test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.038331454340473504 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 2 	 Loss: 1.896242618560791 	 train acc: 0.18571428571428572 	 eval acc: 0.19140625test acc: 0.16476190476190475 	 train f1: 0.09881847475832438 	 eval f1: 0.10662441685346338 	 test f1: 0.0695026296905937
DEBUG:root:Epoch: 3 	 Loss: 1.8991897106170654 	 train acc: 0.21428571428571427 	 eval acc: 0.21354166666666666test acc: 0.21428571428571427 	 train f1: 0.10695187165775401 	 eval f1: 0.10396094900738863 	 test f1: 0.10051687753906795
DEBUG:root:Epoch: 4 	 Loss: 1.8897467851638794 	 train acc: 0.22857142857142856 	 eval acc: 0.20182291666666666test acc: 0.16333333333333333 	 train f1: 0.14885597494293146 	 eval f1: 0.10194486135082494 	 test f1: 0.06446400742018968
DEBUG:root:Epoch: 5 	 Loss: 1.8218098878860474 	 train acc: 0.18571428571428572 	 eval acc: 0.17838541666666666test acc: 0.1757142857142857 	 train f1: 0.08775670519582537 	 eval f1: 0.08627502727231248 	 test f1: 0.07907546678376272
DEBUG:root:Epoch: 6 	 Loss: 1.8423022031784058 	 train acc: 0.2 	 eval acc: 0.16796875test acc: 0.17333333333333334 	 train f1: 0.11504285188495714 	 eval f1: 0.0857427827001752 	 test f1: 0.0758362235167872
DEBUG:root:Epoch: 7 	 Loss: 1.8400728702545166 	 train acc: 0.2857142857142857 	 eval acc: 0.19921875test acc: 0.1880952380952381 	 train f1: 0.20464031023037235 	 eval f1: 0.120391456205556 	 test f1: 0.10434181044453637
DEBUG:root:Epoch: 8 	 Loss: 1.789693832397461 	 train acc: 0.3142857142857143 	 eval acc: 0.22005208333333334test acc: 0.2480952380952381 	 train f1: 0.23570888672929488 	 eval f1: 0.14131214730520023 	 test f1: 0.1766727901163398
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.0123908519744873 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9821219444274902 	 train acc: 0.14285714285714285 	 eval acc: 0.15494791666666666test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.038331454340473504 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 2 	 Loss: 1.896242618560791 	 train acc: 0.18571428571428572 	 eval acc: 0.19140625test acc: 0.16476190476190475 	 train f1: 0.09881847475832438 	 eval f1: 0.10662441685346338 	 test f1: 0.0695026296905937
DEBUG:root:Epoch: 3 	 Loss: 1.8991897106170654 	 train acc: 0.21428571428571427 	 eval acc: 0.21354166666666666test acc: 0.21428571428571427 	 train f1: 0.10695187165775401 	 eval f1: 0.10396094900738863 	 test f1: 0.10051687753906795
DEBUG:root:Epoch: 4 	 Loss: 1.8897467851638794 	 train acc: 0.22857142857142856 	 eval acc: 0.20182291666666666test acc: 0.16333333333333333 	 train f1: 0.14885597494293146 	 eval f1: 0.10194486135082494 	 test f1: 0.06446400742018968
DEBUG:root:Epoch: 5 	 Loss: 1.8218098878860474 	 train acc: 0.18571428571428572 	 eval acc: 0.17838541666666666test acc: 0.1757142857142857 	 train f1: 0.08775670519582537 	 eval f1: 0.08627502727231248 	 test f1: 0.07907546678376272
DEBUG:root:Epoch: 6 	 Loss: 1.8423022031784058 	 train acc: 0.2 	 eval acc: 0.16796875test acc: 0.17333333333333334 	 train f1: 0.11504285188495714 	 eval f1: 0.0857427827001752 	 test f1: 0.0758362235167872
DEBUG:root:Epoch: 7 	 Loss: 1.8400728702545166 	 train acc: 0.2857142857142857 	 eval acc: 0.19921875test acc: 0.1880952380952381 	 train f1: 0.20464031023037235 	 eval f1: 0.120391456205556 	 test f1: 0.10434181044453637
DEBUG:root:Epoch: 8 	 Loss: 1.789693832397461 	 train acc: 0.3142857142857143 	 eval acc: 0.22005208333333334test acc: 0.2480952380952381 	 train f1: 0.23570888672929488 	 eval f1: 0.14131214730520023 	 test f1: 0.1766727901163398
DEBUG:root:Epoch: 9 	 Loss: 1.8003238439559937 	 train acc: 0.37142857142857144 	 eval acc: 0.2630208333333333test acc: 0.2995238095238095 	 train f1: 0.2926227633910707 	 eval f1: 0.19225783426901716 	 test f1: 0.22382972601822612
DEBUG:root:Epoch: 10 	 Loss: 1.7883367538452148 	 train acc: 0.5142857142857142 	 eval acc: 0.3815104166666667test acc: 0.4042857142857143 	 train f1: 0.4464980324113451 	 eval f1: 0.29868384534535375 	 test f1: 0.3367841409664668
DEBUG:root:Epoch: 11 	 Loss: 1.7662855386734009 	 train acc: 0.5 	 eval acc: 0.3893229166666667test acc: 0.40095238095238095 	 train f1: 0.42929671868747504 	 eval f1: 0.31833593452148673 	 test f1: 0.34299784823849444
