INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.013742685317993 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9887961149215698 	 train acc: 0.14285714285714285 	 eval acc: 0.15494791666666666test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.038331454340473504 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 2 	 Loss: 1.9161053895950317 	 train acc: 0.14285714285714285 	 eval acc: 0.15234375test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03777239709443099 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 3 	 Loss: 1.9081796407699585 	 train acc: 0.15714285714285714 	 eval acc: 0.17057291666666666test acc: 0.14714285714285713 	 train f1: 0.06214039125431531 	 eval f1: 0.07119867737549035 	 test f1: 0.04410216916955462
DEBUG:root:Epoch: 4 	 Loss: 1.859123706817627 	 train acc: 0.21428571428571427 	 eval acc: 0.234375test acc: 0.19380952380952382 	 train f1: 0.1278957528957529 	 eval f1: 0.13427497160373875 	 test f1: 0.11022670067194117
DEBUG:root:Epoch: 5 	 Loss: 1.8373903036117554 	 train acc: 0.2857142857142857 	 eval acc: 0.2708333333333333test acc: 0.25 	 train f1: 0.17188693659281892 	 eval f1: 0.14990659680771104 	 test f1: 0.15449339683559446
DEBUG:root:Epoch: 6 	 Loss: 1.8540633916854858 	 train acc: 0.2714285714285714 	 eval acc: 0.2734375test acc: 0.2719047619047619 	 train f1: 0.158008658008658 	 eval f1: 0.14643285605222567 	 test f1: 0.1558524857724643
DEBUG:root:Epoch: 7 	 Loss: 1.8147755861282349 	 train acc: 0.2857142857142857 	 eval acc: 0.26953125test acc: 0.2633333333333333 	 train f1: 0.1623376623376623 	 eval f1: 0.1443754313319531 	 test f1: 0.1501288873086017
DEBUG:root:Epoch: 8 	 Loss: 1.778067946434021 	 train acc: 0.2857142857142857 	 eval acc: 0.2669270833333333test acc: 0.26095238095238094 	 train f1: 0.14812376563528637 	 eval f1: 0.14047948101942984 	 test f1: 0.14411572535008288
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.013742685317993 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9887961149215698 	 train acc: 0.14285714285714285 	 eval acc: 0.15494791666666666test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.038331454340473504 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 2 	 Loss: 1.9161053895950317 	 train acc: 0.14285714285714285 	 eval acc: 0.15234375test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03777239709443099 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 3 	 Loss: 1.9081796407699585 	 train acc: 0.15714285714285714 	 eval acc: 0.17057291666666666test acc: 0.14714285714285713 	 train f1: 0.06214039125431531 	 eval f1: 0.07119867737549035 	 test f1: 0.04410216916955462
DEBUG:root:Epoch: 4 	 Loss: 1.859123706817627 	 train acc: 0.21428571428571427 	 eval acc: 0.234375test acc: 0.19380952380952382 	 train f1: 0.1278957528957529 	 eval f1: 0.13427497160373875 	 test f1: 0.11022670067194117
DEBUG:root:Epoch: 5 	 Loss: 1.8373903036117554 	 train acc: 0.2857142857142857 	 eval acc: 0.2708333333333333test acc: 0.25 	 train f1: 0.17188693659281892 	 eval f1: 0.14990659680771104 	 test f1: 0.15449339683559446
DEBUG:root:Epoch: 6 	 Loss: 1.8540633916854858 	 train acc: 0.2714285714285714 	 eval acc: 0.2734375test acc: 0.2719047619047619 	 train f1: 0.158008658008658 	 eval f1: 0.14643285605222567 	 test f1: 0.1558524857724643
DEBUG:root:Epoch: 7 	 Loss: 1.8147755861282349 	 train acc: 0.2857142857142857 	 eval acc: 0.26953125test acc: 0.2633333333333333 	 train f1: 0.1623376623376623 	 eval f1: 0.1443754313319531 	 test f1: 0.1501288873086017
DEBUG:root:Epoch: 8 	 Loss: 1.778067946434021 	 train acc: 0.2857142857142857 	 eval acc: 0.2669270833333333test acc: 0.26095238095238094 	 train f1: 0.14812376563528637 	 eval f1: 0.14047948101942984 	 test f1: 0.14411572535008288
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.013742685317993 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9887961149215698 	 train acc: 0.14285714285714285 	 eval acc: 0.15494791666666666test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.038331454340473504 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 2 	 Loss: 1.9161053895950317 	 train acc: 0.14285714285714285 	 eval acc: 0.15234375test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03777239709443099 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 3 	 Loss: 1.9081796407699585 	 train acc: 0.15714285714285714 	 eval acc: 0.17057291666666666test acc: 0.14714285714285713 	 train f1: 0.06214039125431531 	 eval f1: 0.07119867737549035 	 test f1: 0.04410216916955462
DEBUG:root:Epoch: 4 	 Loss: 1.859123706817627 	 train acc: 0.21428571428571427 	 eval acc: 0.234375test acc: 0.19380952380952382 	 train f1: 0.1278957528957529 	 eval f1: 0.13427497160373875 	 test f1: 0.11022670067194117
DEBUG:root:Epoch: 5 	 Loss: 1.8373903036117554 	 train acc: 0.2857142857142857 	 eval acc: 0.2708333333333333test acc: 0.25 	 train f1: 0.17188693659281892 	 eval f1: 0.14990659680771104 	 test f1: 0.15449339683559446
DEBUG:root:Epoch: 6 	 Loss: 1.854063630104065 	 train acc: 0.2714285714285714 	 eval acc: 0.2734375test acc: 0.2719047619047619 	 train f1: 0.158008658008658 	 eval f1: 0.14643285605222567 	 test f1: 0.1558524857724643
DEBUG:root:Epoch: 7 	 Loss: 1.8147755861282349 	 train acc: 0.2857142857142857 	 eval acc: 0.26953125test acc: 0.2633333333333333 	 train f1: 0.1623376623376623 	 eval f1: 0.1443754313319531 	 test f1: 0.1501288873086017
DEBUG:root:Epoch: 8 	 Loss: 1.778067946434021 	 train acc: 0.2857142857142857 	 eval acc: 0.2669270833333333test acc: 0.26095238095238094 	 train f1: 0.14812376563528637 	 eval f1: 0.14047948101942984 	 test f1: 0.14411572535008288
DEBUG:root:Epoch: 9 	 Loss: 1.7539771795272827 	 train acc: 0.3142857142857143 	 eval acc: 0.2838541666666667test acc: 0.25857142857142856 	 train f1: 0.204324707550514 	 eval f1: 0.16217969876974236 	 test f1: 0.14839375081222336
DEBUG:root:Epoch: 10 	 Loss: 1.7608146667480469 	 train acc: 0.37142857142857144 	 eval acc: 0.2903645833333333test acc: 0.2780952380952381 	 train f1: 0.28710239036325996 	 eval f1: 0.1750051187300148 	 test f1: 0.18040005291608888
DEBUG:root:Epoch: 11 	 Loss: 1.7119808197021484 	 train acc: 0.45714285714285713 	 eval acc: 0.31640625test acc: 0.2980952380952381 	 train f1: 0.4026217541979876 	 eval f1: 0.2207717988950108 	 test f1: 0.2121424622637569
DEBUG:root:Epoch: 12 	 Loss: 1.7072420120239258 	 train acc: 0.4857142857142857 	 eval acc: 0.3841145833333333test acc: 0.3738095238095238 	 train f1: 0.43485732965955265 	 eval f1: 0.30901869571802465 	 test f1: 0.32130817781558524
DEBUG:root:Epoch: 13 	 Loss: 1.6378180980682373 	 train acc: 0.5428571428571428 	 eval acc: 0.4322916666666667test acc: 0.41 	 train f1: 0.4896009787314135 	 eval f1: 0.36567590955684054 	 test f1: 0.35328173363031384
DEBUG:root:Epoch: 14 	 Loss: 1.6310194730758667 	 train acc: 0.5714285714285714 	 eval acc: 0.4440104166666667test acc: 0.42238095238095236 	 train f1: 0.508987389422172 	 eval f1: 0.37743894113569887 	 test f1: 0.3537473456321152
DEBUG:root:Epoch: 15 	 Loss: 1.6045256853103638 	 train acc: 0.5142857142857142 	 eval acc: 0.4544270833333333test acc: 0.4247619047619048 	 train f1: 0.42694469091984627 	 eval f1: 0.37282316452809505 	 test f1: 0.3463518688387724
DEBUG:root:Epoch: 16 	 Loss: 1.6052000522613525 	 train acc: 0.5428571428571428 	 eval acc: 0.4544270833333333test acc: 0.43047619047619046 	 train f1: 0.4553465025728894 	 eval f1: 0.3689817463330242 	 test f1: 0.3461301945518095
DEBUG:root:Epoch: 17 	 Loss: 1.533511757850647 	 train acc: 0.5428571428571428 	 eval acc: 0.4765625test acc: 0.46714285714285714 	 train f1: 0.45574083291853323 	 eval f1: 0.3878223323775101 	 test f1: 0.3862265624413967
DEBUG:root:Epoch: 18 	 Loss: 1.585415244102478 	 train acc: 0.5857142857142857 	 eval acc: 0.5026041666666666test acc: 0.48714285714285716 	 train f1: 0.4943127048390206 	 eval f1: 0.4104807048909264 	 test f1: 0.4023172096479003
DEBUG:root:Epoch: 19 	 Loss: 1.5378164052963257 	 train acc: 0.5857142857142857 	 eval acc: 0.5182291666666666test acc: 0.5071428571428571 	 train f1: 0.47904218023063516 	 eval f1: 0.42162799940409773 	 test f1: 0.4161855158491689
DEBUG:root:Epoch: 20 	 Loss: 1.51386559009552 	 train acc: 0.5714285714285714 	 eval acc: 0.5182291666666666test acc: 0.5085714285714286 	 train f1: 0.450187969924812 	 eval f1: 0.4113527886223011 	 test f1: 0.4189266759209483
