INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.000941753387451 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.911136269569397 	 train acc: 0.18571428571428572 	 eval acc: 0.17578125test acc: 0.15714285714285714 	 train f1: 0.10303981732553161 	 eval f1: 0.0782861531709458 	 test f1: 0.0624980347417611
DEBUG:root:Epoch: 2 	 Loss: 1.8488982915878296 	 train acc: 0.2714285714285714 	 eval acc: 0.23307291666666666test acc: 0.21285714285714286 	 train f1: 0.19606782106782106 	 eval f1: 0.1543963438519099 	 test f1: 0.13911383590228155
DEBUG:root:Epoch: 3 	 Loss: 1.798335075378418 	 train acc: 0.32857142857142857 	 eval acc: 0.26171875test acc: 0.2509523809523809 	 train f1: 0.24501730516768114 	 eval f1: 0.1839152431890438 	 test f1: 0.1759877796887461
DEBUG:root:Epoch: 4 	 Loss: 1.7835090160369873 	 train acc: 0.34285714285714286 	 eval acc: 0.2955729166666667test acc: 0.2733333333333333 	 train f1: 0.25660926509822946 	 eval f1: 0.21262582211288578 	 test f1: 0.20192084185934386
DEBUG:root:Epoch: 5 	 Loss: 1.7347835302352905 	 train acc: 0.35714285714285715 	 eval acc: 0.3255208333333333test acc: 0.29285714285714287 	 train f1: 0.28333874925764485 	 eval f1: 0.24707971454921607 	 test f1: 0.23025533939006607
DEBUG:root:Epoch: 6 	 Loss: 1.7392654418945312 	 train acc: 0.38571428571428573 	 eval acc: 0.3059895833333333test acc: 0.3047619047619048 	 train f1: 0.30742766005923894 	 eval f1: 0.2302859594120424 	 test f1: 0.2562190826293244
DEBUG:root:Epoch: 7 	 Loss: 1.6883255243301392 	 train acc: 0.42857142857142855 	 eval acc: 0.328125test acc: 0.35095238095238096 	 train f1: 0.3791979949874687 	 eval f1: 0.26306956847321933 	 test f1: 0.31299654287271356
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.000941753387451 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.911136269569397 	 train acc: 0.18571428571428572 	 eval acc: 0.17578125test acc: 0.15714285714285714 	 train f1: 0.10303981732553161 	 eval f1: 0.0782861531709458 	 test f1: 0.0624980347417611
DEBUG:root:Epoch: 2 	 Loss: 1.8488982915878296 	 train acc: 0.2714285714285714 	 eval acc: 0.23307291666666666test acc: 0.21285714285714286 	 train f1: 0.19606782106782106 	 eval f1: 0.1543963438519099 	 test f1: 0.13911383590228155
DEBUG:root:Epoch: 3 	 Loss: 1.798335075378418 	 train acc: 0.32857142857142857 	 eval acc: 0.26171875test acc: 0.2509523809523809 	 train f1: 0.24501730516768114 	 eval f1: 0.1839152431890438 	 test f1: 0.1759877796887461
DEBUG:root:Epoch: 4 	 Loss: 1.7835090160369873 	 train acc: 0.34285714285714286 	 eval acc: 0.2955729166666667test acc: 0.2733333333333333 	 train f1: 0.25660926509822946 	 eval f1: 0.21262582211288578 	 test f1: 0.20192084185934386
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 2.000941753387451 	 train acc: 0.14285714285714285 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03571428571428571 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.911136269569397 	 train acc: 0.18571428571428572 	 eval acc: 0.17578125test acc: 0.15714285714285714 	 train f1: 0.10303981732553161 	 eval f1: 0.0782861531709458 	 test f1: 0.0624980347417611
DEBUG:root:Epoch: 2 	 Loss: 1.8488982915878296 	 train acc: 0.2714285714285714 	 eval acc: 0.23307291666666666test acc: 0.21285714285714286 	 train f1: 0.19606782106782106 	 eval f1: 0.1543963438519099 	 test f1: 0.13911383590228155
DEBUG:root:Epoch: 3 	 Loss: 1.798335075378418 	 train acc: 0.32857142857142857 	 eval acc: 0.26171875test acc: 0.2509523809523809 	 train f1: 0.24501730516768114 	 eval f1: 0.1839152431890438 	 test f1: 0.1759877796887461
DEBUG:root:Epoch: 4 	 Loss: 1.7835090160369873 	 train acc: 0.34285714285714286 	 eval acc: 0.2955729166666667test acc: 0.2733333333333333 	 train f1: 0.25660926509822946 	 eval f1: 0.21262582211288578 	 test f1: 0.20192084185934386
DEBUG:root:Epoch: 5 	 Loss: 1.7347835302352905 	 train acc: 0.35714285714285715 	 eval acc: 0.3255208333333333test acc: 0.29285714285714287 	 train f1: 0.28333874925764485 	 eval f1: 0.24707971454921607 	 test f1: 0.23025533939006607
DEBUG:root:Epoch: 6 	 Loss: 1.7392654418945312 	 train acc: 0.38571428571428573 	 eval acc: 0.3059895833333333test acc: 0.3047619047619048 	 train f1: 0.30742766005923894 	 eval f1: 0.2302859594120424 	 test f1: 0.2562190826293244
DEBUG:root:Epoch: 7 	 Loss: 1.6883255243301392 	 train acc: 0.42857142857142855 	 eval acc: 0.328125test acc: 0.35095238095238096 	 train f1: 0.3791979949874687 	 eval f1: 0.26306956847321933 	 test f1: 0.31299654287271356
DEBUG:root:Epoch: 8 	 Loss: 1.6217408180236816 	 train acc: 0.5 	 eval acc: 0.3841145833333333test acc: 0.3995238095238095 	 train f1: 0.4488226059654631 	 eval f1: 0.33158031297818225 	 test f1: 0.3639006132904658
DEBUG:root:Epoch: 9 	 Loss: 1.6430025100708008 	 train acc: 0.5285714285714286 	 eval acc: 0.4596354166666667test acc: 0.42857142857142855 	 train f1: 0.4865169278543139 	 eval f1: 0.42124644230634034 	 test f1: 0.39199568682940317
DEBUG:root:Epoch: 10 	 Loss: 1.6443461179733276 	 train acc: 0.6285714285714286 	 eval acc: 0.5546875test acc: 0.5038095238095238 	 train f1: 0.5722649919892762 	 eval f1: 0.5053248762622291 	 test f1: 0.4692679879587562
DEBUG:root:Epoch: 11 	 Loss: 1.5872832536697388 	 train acc: 0.6571428571428571 	 eval acc: 0.5598958333333334test acc: 0.539047619047619 	 train f1: 0.5909700139677255 	 eval f1: 0.5098505403132131 	 test f1: 0.508068135061672
DEBUG:root:Epoch: 12 	 Loss: 1.6220349073410034 	 train acc: 0.6571428571428571 	 eval acc: 0.578125test acc: 0.5914285714285714 	 train f1: 0.5909700139677255 	 eval f1: 0.5187502969747795 	 test f1: 0.5439702114588011
DEBUG:root:Epoch: 13 	 Loss: 1.5385993719100952 	 train acc: 0.6571428571428571 	 eval acc: 0.5703125test acc: 0.5971428571428572 	 train f1: 0.5909700139677255 	 eval f1: 0.5097109564576484 	 test f1: 0.5450910594937702
DEBUG:root:Epoch: 14 	 Loss: 1.5580500364303589 	 train acc: 0.6571428571428571 	 eval acc: 0.55078125test acc: 0.5766666666666667 	 train f1: 0.587355593877333 	 eval f1: 0.4916521100506891 	 test f1: 0.5234785167223376
DEBUG:root:Epoch: 15 	 Loss: 1.5069760084152222 	 train acc: 0.7 	 eval acc: 0.5455729166666666test acc: 0.5566666666666666 	 train f1: 0.6488989271597967 	 eval f1: 0.47050187199717264 	 test f1: 0.4979079011533206
DEBUG:root:Epoch: 16 	 Loss: 1.5027769804000854 	 train acc: 0.7 	 eval acc: 0.53125test acc: 0.54 	 train f1: 0.6488989271597967 	 eval f1: 0.456055376412989 	 test f1: 0.4791071502659227
DEBUG:root:Epoch: 17 	 Loss: 1.4677973985671997 	 train acc: 0.7428571428571429 	 eval acc: 0.5325520833333334test acc: 0.5438095238095239 	 train f1: 0.6996816908581615 	 eval f1: 0.465005920620948 	 test f1: 0.48896222783958293
DEBUG:root:Epoch: 18 	 Loss: 1.4854586124420166 	 train acc: 0.6571428571428571 	 eval acc: 0.5247395833333334test acc: 0.5457142857142857 	 train f1: 0.5909700139677255 	 eval f1: 0.4635566325642929 	 test f1: 0.4995632286277895
DEBUG:root:Epoch: 19 	 Loss: 1.4701697826385498 	 train acc: 0.6714285714285714 	 eval acc: 0.5247395833333334test acc: 0.55 	 train f1: 0.6004753416518123 	 eval f1: 0.4622168404682642 	 test f1: 0.5054759806273723
DEBUG:root:Epoch: 20 	 Loss: 1.4187043905258179 	 train acc: 0.6857142857142857 	 eval acc: 0.53515625test acc: 0.5723809523809524 	 train f1: 0.6222921491829055 	 eval f1: 0.4715779002947679 	 test f1: 0.5198290612516399
DEBUG:root:Epoch: 21 	 Loss: 1.4676564931869507 	 train acc: 0.7285714285714285 	 eval acc: 0.53515625test acc: 0.5671428571428572 	 train f1: 0.6611764853020166 	 eval f1: 0.47485027467280616 	 test f1: 0.5065128123645563
DEBUG:root:Epoch: 22 	 Loss: 1.4461746215820312 	 train acc: 0.7285714285714285 	 eval acc: 0.53515625test acc: 0.5623809523809524 	 train f1: 0.666579452293738 	 eval f1: 0.4611931804212771 	 test f1: 0.49366688738811115
DEBUG:root:Epoch: 23 	 Loss: 1.3751070499420166 	 train acc: 0.7428571428571429 	 eval acc: 0.53125test acc: 0.560952380952381 	 train f1: 0.6845804988662131 	 eval f1: 0.4631114911553205 	 test f1: 0.49163814183306637
DEBUG:root:Epoch: 24 	 Loss: 1.398073434829712 	 train acc: 0.7428571428571429 	 eval acc: 0.5286458333333334test acc: 0.5557142857142857 	 train f1: 0.6853608779074617 	 eval f1: 0.46228641219513456 	 test f1: 0.49082083916868063
DEBUG:root:Epoch: 25 	 Loss: 1.3507267236709595 	 train acc: 0.7428571428571429 	 eval acc: 0.5247395833333334test acc: 0.5576190476190476 	 train f1: 0.691512330610075 	 eval f1: 0.4605001143251189 	 test f1: 0.4964551742474688
DEBUG:root:Epoch: 26 	 Loss: 1.3997420072555542 	 train acc: 0.7285714285714285 	 eval acc: 0.52734375test acc: 0.5595238095238095 	 train f1: 0.6758812642877644 	 eval f1: 0.46306348210167997 	 test f1: 0.4998823689107183
DEBUG:root:Epoch: 27 	 Loss: 1.3979506492614746 	 train acc: 0.7571428571428571 	 eval acc: 0.53125test acc: 0.5580952380952381 	 train f1: 0.7088592693855852 	 eval f1: 0.46324910230904975 	 test f1: 0.4983887590448846
DEBUG:root:Epoch: 28 	 Loss: 1.344092845916748 	 train acc: 0.8 	 eval acc: 0.53125test acc: 0.5661904761904762 	 train f1: 0.7476367686894003 	 eval f1: 0.46335659899631604 	 test f1: 0.501370584526844
DEBUG:root:Epoch: 29 	 Loss: 1.309865951538086 	 train acc: 0.8142857142857143 	 eval acc: 0.5416666666666666test acc: 0.5628571428571428 	 train f1: 0.7613141643870641 	 eval f1: 0.4714847065807289 	 test f1: 0.499067963153115
DEBUG:root:Epoch: 30 	 Loss: 1.3281413316726685 	 train acc: 0.8142857142857143 	 eval acc: 0.5494791666666666test acc: 0.5623809523809524 	 train f1: 0.7613141643870641 	 eval f1: 0.4832022493323693 	 test f1: 0.49888377916638305
DEBUG:root:Epoch: 31 	 Loss: 1.276236653327942 	 train acc: 0.8 	 eval acc: 0.5390625test acc: 0.5666666666666667 	 train f1: 0.7494412966676834 	 eval f1: 0.47892305425754017 	 test f1: 0.5051451289990192
DEBUG:root:Epoch: 32 	 Loss: 1.2834197282791138 	 train acc: 0.8428571428571429 	 eval acc: 0.5520833333333334test acc: 0.5728571428571428 	 train f1: 0.8066378066378066 	 eval f1: 0.4884165358969844 	 test f1: 0.5117641030252776
DEBUG:root:Epoch: 33 	 Loss: 1.3109828233718872 	 train acc: 0.8571428571428571 	 eval acc: 0.56640625test acc: 0.5833333333333334 	 train f1: 0.821176317416919 	 eval f1: 0.5050722433108169 	 test f1: 0.5254440773118931
DEBUG:root:Epoch: 34 	 Loss: 1.3036168813705444 	 train acc: 0.8571428571428571 	 eval acc: 0.5598958333333334test acc: 0.5919047619047619 	 train f1: 0.8217947466067766 	 eval f1: 0.506386762083221 	 test f1: 0.535474114678102
DEBUG:root:Epoch: 35 	 Loss: 1.2247289419174194 	 train acc: 0.8571428571428571 	 eval acc: 0.5625test acc: 0.5995238095238096 	 train f1: 0.8244603896665084 	 eval f1: 0.5086827928364179 	 test f1: 0.5462909574812446
DEBUG:root:Epoch: 36 	 Loss: 1.2569302320480347 	 train acc: 0.8714285714285714 	 eval acc: 0.5677083333333334test acc: 0.6076190476190476 	 train f1: 0.8580152790679108 	 eval f1: 0.5197726073378718 	 test f1: 0.5633928949542658
DEBUG:root:Epoch: 37 	 Loss: 1.2273451089859009 	 train acc: 0.9 	 eval acc: 0.5807291666666666test acc: 0.6095238095238096 	 train f1: 0.8896982716531588 	 eval f1: 0.5344521045002446 	 test f1: 0.5677288025805346
DEBUG:root:Epoch: 38 	 Loss: 1.2005032300949097 	 train acc: 0.8571428571428571 	 eval acc: 0.58203125test acc: 0.6166666666666667 	 train f1: 0.8244603896665084 	 eval f1: 0.542681305555443 	 test f1: 0.5802081508325246
DEBUG:root:Epoch: 39 	 Loss: 1.2192326784133911 	 train acc: 0.8571428571428571 	 eval acc: 0.578125test acc: 0.6295238095238095 	 train f1: 0.8244603896665084 	 eval f1: 0.5442350039779486 	 test f1: 0.596190389513071
DEBUG:root:Epoch: 40 	 Loss: 1.2650893926620483 	 train acc: 0.8428571428571429 	 eval acc: 0.58984375test acc: 0.6366666666666667 	 train f1: 0.8099218788873961 	 eval f1: 0.56005354619676 	 test f1: 0.6020227618799422
