INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8530269861221313 	 train acc: 0.16666666666666666 	 eval acc: 0.2734375test acc: 0.20165745856353592 	 train f1: 0.05555555555555556 	 eval f1: 0.10320987654320989 	 test f1: 0.07524136391539706
DEBUG:root:Epoch: 1 	 Loss: 1.6892485618591309 	 train acc: 0.16666666666666666 	 eval acc: 0.2421875test acc: 0.20165745856353592 	 train f1: 0.05555555555555556 	 eval f1: 0.1015748031496063 	 test f1: 0.07524136391539706
DEBUG:root:Epoch: 2 	 Loss: 1.7709866762161255 	 train acc: 0.16666666666666666 	 eval acc: 0.328125test acc: 0.2154696132596685 	 train f1: 0.05555555555555556 	 eval f1: 0.14955357142857142 	 test f1: 0.09199536922186387
DEBUG:root:Epoch: 3 	 Loss: 1.7190216779708862 	 train acc: 0.25 	 eval acc: 0.328125test acc: 0.2430939226519337 	 train f1: 0.1272727272727273 	 eval f1: 0.1505679012345679 	 test f1: 0.1320976959668868
DEBUG:root:Epoch: 4 	 Loss: 1.6518059968948364 	 train acc: 0.25 	 eval acc: 0.328125test acc: 0.2265193370165746 	 train f1: 0.13333333333333333 	 eval f1: 0.16014684965209705 	 test f1: 0.14560019015808007
DEBUG:root:Epoch: 5 	 Loss: 1.7101863622665405 	 train acc: 0.25 	 eval acc: 0.3046875test acc: 0.2154696132596685 	 train f1: 0.13333333333333333 	 eval f1: 0.18182414956608506 	 test f1: 0.1369972544048926
DEBUG:root:Epoch: 6 	 Loss: 1.6291087865829468 	 train acc: 0.3333333333333333 	 eval acc: 0.34375test acc: 0.2430939226519337 	 train f1: 0.1851851851851852 	 eval f1: 0.18035759161155718 	 test f1: 0.15917210946312377
DEBUG:root:Epoch: 7 	 Loss: 1.5942176580429077 	 train acc: 0.4166666666666667 	 eval acc: 0.390625test acc: 0.2430939226519337 	 train f1: 0.3111111111111111 	 eval f1: 0.21839096294255403 	 test f1: 0.12667235341653946
DEBUG:root:Epoch: 8 	 Loss: 1.766987681388855 	 train acc: 0.4166666666666667 	 eval acc: 0.4296875test acc: 0.2900552486187845 	 train f1: 0.3111111111111111 	 eval f1: 0.2674216625749056 	 test f1: 0.16581318160265526
DEBUG:root:Epoch: 9 	 Loss: 1.4813340902328491 	 train acc: 0.4166666666666667 	 eval acc: 0.4140625test acc: 0.2845303867403315 	 train f1: 0.3111111111111111 	 eval f1: 0.2637085137085137 	 test f1: 0.16402518454190188
DEBUG:root:Epoch: 10 	 Loss: 1.5543235540390015 	 train acc: 0.4166666666666667 	 eval acc: 0.3828125test acc: 0.27624309392265195 	 train f1: 0.2962962962962963 	 eval f1: 0.24245253657018365 	 test f1: 0.17128980160895055
DEBUG:root:Epoch: 11 	 Loss: 1.5323104858398438 	 train acc: 0.4166666666666667 	 eval acc: 0.3125test acc: 0.2265193370165746 	 train f1: 0.3111111111111111 	 eval f1: 0.24500741450050204 	 test f1: 0.16096239070547372
DEBUG:root:Epoch: 12 	 Loss: 1.6373395919799805 	 train acc: 0.4166666666666667 	 eval acc: 0.2890625test acc: 0.24585635359116023 	 train f1: 0.3111111111111111 	 eval f1: 0.20877028891030366 	 test f1: 0.1774182434294794
DEBUG:root:Epoch: 13 	 Loss: 1.5824815034866333 	 train acc: 0.4166666666666667 	 eval acc: 0.2578125test acc: 0.281767955801105 	 train f1: 0.3111111111111111 	 eval f1: 0.19995915032679737 	 test f1: 0.21526983707350308
DEBUG:root:Epoch: 14 	 Loss: 1.554813265800476 	 train acc: 0.4166666666666667 	 eval acc: 0.296875test acc: 0.31767955801104975 	 train f1: 0.3111111111111111 	 eval f1: 0.21473745468823402 	 test f1: 0.24734751452544748
DEBUG:root:Epoch: 15 	 Loss: 1.4512454271316528 	 train acc: 0.5 	 eval acc: 0.3671875test acc: 0.3701657458563536 	 train f1: 0.4166666666666667 	 eval f1: 0.2939287101787102 	 test f1: 0.32279236605307815
DEBUG:root:Epoch: 16 	 Loss: 1.4964395761489868 	 train acc: 0.5833333333333334 	 eval acc: 0.4140625test acc: 0.38950276243093923 	 train f1: 0.5396825396825397 	 eval f1: 0.3341745190872638 	 test f1: 0.3490685952224413
DEBUG:root:Epoch: 17 	 Loss: 1.5180562734603882 	 train acc: 0.4166666666666667 	 eval acc: 0.40625test acc: 0.3867403314917127 	 train f1: 0.38095238095238093 	 eval f1: 0.3318021732287202 	 test f1: 0.33779095749246063
DEBUG:root:Epoch: 18 	 Loss: 1.4653013944625854 	 train acc: 0.5 	 eval acc: 0.390625test acc: 0.3812154696132597 	 train f1: 0.4166666666666667 	 eval f1: 0.3091928969048625 	 test f1: 0.32661525037140127
DEBUG:root:Epoch: 19 	 Loss: 1.4949663877487183 	 train acc: 0.5 	 eval acc: 0.4921875test acc: 0.3756906077348066 	 train f1: 0.4166666666666667 	 eval f1: 0.356657848324515 	 test f1: 0.3095164568297824
DEBUG:root:Epoch: 20 	 Loss: 1.5166435241699219 	 train acc: 0.5 	 eval acc: 0.484375test acc: 0.4143646408839779 	 train f1: 0.40740740740740744 	 eval f1: 0.35649879763226044 	 test f1: 0.33389857761286335
DEBUG:root:Epoch: 21 	 Loss: 1.4995331764221191 	 train acc: 0.5 	 eval acc: 0.484375test acc: 0.3784530386740331 	 train f1: 0.40740740740740744 	 eval f1: 0.3411013053870197 	 test f1: 0.28054464081193947
DEBUG:root:Epoch: 22 	 Loss: 1.4756712913513184 	 train acc: 0.5 	 eval acc: 0.484375test acc: 0.3784530386740331 	 train f1: 0.40740740740740744 	 eval f1: 0.35818465024072504 	 test f1: 0.2780683148847794
DEBUG:root:Epoch: 23 	 Loss: 1.457865834236145 	 train acc: 0.5 	 eval acc: 0.453125test acc: 0.40607734806629836 	 train f1: 0.39999999999999997 	 eval f1: 0.35540540540540544 	 test f1: 0.31100899718114067
DEBUG:root:Epoch: 24 	 Loss: 1.4354138374328613 	 train acc: 0.5 	 eval acc: 0.5390625test acc: 0.40607734806629836 	 train f1: 0.39999999999999997 	 eval f1: 0.4048482740343206 	 test f1: 0.31467775634844103
DEBUG:root:Epoch: 25 	 Loss: 1.470805048942566 	 train acc: 0.5833333333333334 	 eval acc: 0.4921875test acc: 0.425414364640884 	 train f1: 0.5277777777777778 	 eval f1: 0.38626990114690357 	 test f1: 0.3483835388362631
DEBUG:root:Epoch: 26 	 Loss: 1.6475661993026733 	 train acc: 0.5833333333333334 	 eval acc: 0.4609375test acc: 0.4447513812154696 	 train f1: 0.5396825396825397 	 eval f1: 0.37663403669501233 	 test f1: 0.39535921109147654
DEBUG:root:Epoch: 27 	 Loss: 1.4744728803634644 	 train acc: 0.8333333333333334 	 eval acc: 0.5703125test acc: 0.3812154696132597 	 train f1: 0.7777777777777777 	 eval f1: 0.5682132079356386 	 test f1: 0.3435731825087331
DEBUG:root:Epoch: 28 	 Loss: 1.3316117525100708 	 train acc: 0.75 	 eval acc: 0.484375test acc: 0.4088397790055249 	 train f1: 0.7444444444444445 	 eval f1: 0.448935876644855 	 test f1: 0.3581947852353689
DEBUG:root:Epoch: 29 	 Loss: 1.3401222229003906 	 train acc: 0.75 	 eval acc: 0.5390625test acc: 0.4281767955801105 	 train f1: 0.7444444444444445 	 eval f1: 0.4948917220708573 	 test f1: 0.38301917297359456
DEBUG:root:Epoch: 30 	 Loss: 1.3512972593307495 	 train acc: 0.8333333333333334 	 eval acc: 0.5625test acc: 0.430939226519337 	 train f1: 0.8333333333333334 	 eval f1: 0.542453315685023 	 test f1: 0.39427734979782897
DEBUG:root:Epoch: 31 	 Loss: 1.3170191049575806 	 train acc: 0.8333333333333334 	 eval acc: 0.5625test acc: 0.40331491712707185 	 train f1: 0.7777777777777777 	 eval f1: 0.5671752449198976 	 test f1: 0.37110311052077627
DEBUG:root:Epoch: 32 	 Loss: 1.3067505359649658 	 train acc: 0.75 	 eval acc: 0.5390625test acc: 0.38950276243093923 	 train f1: 0.6944444444444443 	 eval f1: 0.5399259797685517 	 test f1: 0.35491238690431876
DEBUG:root:Epoch: 33 	 Loss: 1.308996558189392 	 train acc: 0.6666666666666666 	 eval acc: 0.4921875test acc: 0.425414364640884 	 train f1: 0.6507936507936508 	 eval f1: 0.5030134394310964 	 test f1: 0.40353193726842723
DEBUG:root:Epoch: 34 	 Loss: 1.312543511390686 	 train acc: 0.75 	 eval acc: 0.5703125test acc: 0.3867403314917127 	 train f1: 0.6944444444444443 	 eval f1: 0.5327391978948803 	 test f1: 0.34654897211554264
DEBUG:root:Epoch: 35 	 Loss: 1.2967840433120728 	 train acc: 0.75 	 eval acc: 0.5234375test acc: 0.39226519337016574 	 train f1: 0.6944444444444443 	 eval f1: 0.5216935002085266 	 test f1: 0.34820687472028466
DEBUG:root:Epoch: 36 	 Loss: 1.17024827003479 	 train acc: 0.75 	 eval acc: 0.5546875test acc: 0.40607734806629836 	 train f1: 0.6944444444444443 	 eval f1: 0.5332737904054214 	 test f1: 0.35840129672882287
DEBUG:root:Epoch: 37 	 Loss: 1.2463635206222534 	 train acc: 0.8333333333333334 	 eval acc: 0.5859375test acc: 0.43922651933701656 	 train f1: 0.8333333333333334 	 eval f1: 0.5045492050119235 	 test f1: 0.39819771810267635
DEBUG:root:Epoch: 38 	 Loss: 1.2883273363113403 	 train acc: 0.8333333333333334 	 eval acc: 0.5test acc: 0.4116022099447514 	 train f1: 0.8277777777777778 	 eval f1: 0.480675174108852 	 test f1: 0.37057865301975274
DEBUG:root:Epoch: 39 	 Loss: 1.1496556997299194 	 train acc: 0.75 	 eval acc: 0.53125test acc: 0.3756906077348066 	 train f1: 0.6999999999999998 	 eval f1: 0.5084940865844532 	 test f1: 0.3346895789688249
DEBUG:root:Epoch: 40 	 Loss: 1.186407208442688 	 train acc: 0.75 	 eval acc: 0.578125test acc: 0.36464088397790057 	 train f1: 0.6999999999999998 	 eval f1: 0.5522509762867989 	 test f1: 0.3272022627616447
DEBUG:root:Epoch: 41 	 Loss: 1.1648271083831787 	 train acc: 0.75 	 eval acc: 0.5703125test acc: 0.35082872928176795 	 train f1: 0.6999999999999998 	 eval f1: 0.5709108038634231 	 test f1: 0.31964602535457615
DEBUG:root:Epoch: 42 	 Loss: 1.161751389503479 	 train acc: 0.75 	 eval acc: 0.4921875test acc: 0.3453038674033149 	 train f1: 0.6999999999999998 	 eval f1: 0.491098977512021 	 test f1: 0.31862493395165875
DEBUG:root:Epoch: 43 	 Loss: 1.3521944284439087 	 train acc: 0.8333333333333334 	 eval acc: 0.5546875test acc: 0.35082872928176795 	 train f1: 0.7777777777777777 	 eval f1: 0.5427623685751165 	 test f1: 0.32531541620007465
DEBUG:root:Epoch: 44 	 Loss: 1.2180215120315552 	 train acc: 0.8333333333333334 	 eval acc: 0.546875test acc: 0.3812154696132597 	 train f1: 0.7777777777777777 	 eval f1: 0.5539705118652488 	 test f1: 0.35554727159062854
DEBUG:root:Epoch: 45 	 Loss: 1.090063452720642 	 train acc: 0.9166666666666666 	 eval acc: 0.5078125test acc: 0.39502762430939226 	 train f1: 0.9111111111111111 	 eval f1: 0.5023066759197856 	 test f1: 0.3610012253566078
DEBUG:root:Epoch: 46 	 Loss: 1.2567108869552612 	 train acc: 0.9166666666666666 	 eval acc: 0.4921875test acc: 0.39779005524861877 	 train f1: 0.9111111111111111 	 eval f1: 0.5057898051872299 	 test f1: 0.36574073242741106
DEBUG:root:Epoch: 47 	 Loss: 1.1859631538391113 	 train acc: 0.9166666666666666 	 eval acc: 0.5234375test acc: 0.4005524861878453 	 train f1: 0.9111111111111111 	 eval f1: 0.5158749592298139 	 test f1: 0.3709608954424623
DEBUG:root:Epoch: 48 	 Loss: 1.195025086402893 	 train acc: 0.9166666666666666 	 eval acc: 0.5test acc: 0.4143646408839779 	 train f1: 0.9111111111111111 	 eval f1: 0.4872371979094668 	 test f1: 0.3867629915493671
DEBUG:root:Epoch: 49 	 Loss: 1.214506983757019 	 train acc: 0.9166666666666666 	 eval acc: 0.53125test acc: 0.4171270718232044 	 train f1: 0.9111111111111111 	 eval f1: 0.5250273563166606 	 test f1: 0.3903045729144108
DEBUG:root:Epoch: 50 	 Loss: 1.0377838611602783 	 train acc: 0.9166666666666666 	 eval acc: 0.5078125test acc: 0.4171270718232044 	 train f1: 0.9111111111111111 	 eval f1: 0.49037325337081766 	 test f1: 0.39070140758817723
DEBUG:root:Epoch: 51 	 Loss: 1.1139127016067505 	 train acc: 0.9166666666666666 	 eval acc: 0.515625test acc: 0.4198895027624309 	 train f1: 0.9111111111111111 	 eval f1: 0.513065122647595 	 test f1: 0.39569816777263583
DEBUG:root:Epoch: 52 	 Loss: 1.2849856615066528 	 train acc: 1.0 	 eval acc: 0.5234375test acc: 0.4198895027624309 	 train f1: 1.0 	 eval f1: 0.5009781741762886 	 test f1: 0.39658657963851257
DEBUG:root:Epoch: 53 	 Loss: 1.0110703706741333 	 train acc: 1.0 	 eval acc: 0.5390625test acc: 0.4143646408839779 	 train f1: 1.0 	 eval f1: 0.5413357494239847 	 test f1: 0.3923669901198929
DEBUG:root:Epoch: 54 	 Loss: 1.0703688859939575 	 train acc: 1.0 	 eval acc: 0.5390625test acc: 0.425414364640884 	 train f1: 1.0 	 eval f1: 0.5490697898592636 	 test f1: 0.40639536144350713
DEBUG:root:Epoch: 55 	 Loss: 1.03361177444458 	 train acc: 0.9166666666666666 	 eval acc: 0.5test acc: 0.4198895027624309 	 train f1: 0.9111111111111111 	 eval f1: 0.5089242117763761 	 test f1: 0.403413169072917
DEBUG:root:Epoch: 56 	 Loss: 1.157997488975525 	 train acc: 0.8333333333333334 	 eval acc: 0.5234375test acc: 0.4281767955801105 	 train f1: 0.7777777777777777 	 eval f1: 0.5034443879021461 	 test f1: 0.4133004231017927
DEBUG:root:Epoch: 57 	 Loss: 1.22380530834198 	 train acc: 0.8333333333333334 	 eval acc: 0.5078125test acc: 0.43922651933701656 	 train f1: 0.7777777777777777 	 eval f1: 0.49630657967676983 	 test f1: 0.4241460470994074
DEBUG:root:Epoch: 58 	 Loss: 1.0636271238327026 	 train acc: 0.9166666666666666 	 eval acc: 0.53125test acc: 0.4281767955801105 	 train f1: 0.9111111111111111 	 eval f1: 0.5094050661986763 	 test f1: 0.41208536512239685
DEBUG:root:Epoch: 59 	 Loss: 1.0082322359085083 	 train acc: 1.0 	 eval acc: 0.546875test acc: 0.4281767955801105 	 train f1: 1.0 	 eval f1: 0.5393372983345014 	 test f1: 0.41157725230951775
DEBUG:root:Epoch: 60 	 Loss: 1.0776304006576538 	 train acc: 1.0 	 eval acc: 0.515625test acc: 0.4530386740331492 	 train f1: 1.0 	 eval f1: 0.519248701769027 	 test f1: 0.4319685566121579
DEBUG:root:Epoch: 61 	 Loss: 1.0422050952911377 	 train acc: 1.0 	 eval acc: 0.59375test acc: 0.4447513812154696 	 train f1: 1.0 	 eval f1: 0.552658178281059 	 test f1: 0.4236688865321643
DEBUG:root:Epoch: 62 	 Loss: 0.9984776377677917 	 train acc: 0.8333333333333334 	 eval acc: 0.5546875test acc: 0.4419889502762431 	 train f1: 0.7777777777777777 	 eval f1: 0.5213947247694093 	 test f1: 0.42177732758726155
DEBUG:root:Epoch: 63 	 Loss: 0.9511439800262451 	 train acc: 0.8333333333333334 	 eval acc: 0.5625test acc: 0.43370165745856354 	 train f1: 0.7777777777777777 	 eval f1: 0.5264360593213183 	 test f1: 0.4141642921968811
DEBUG:root:Epoch: 64 	 Loss: 1.072493553161621 	 train acc: 0.8333333333333334 	 eval acc: 0.5390625test acc: 0.4143646408839779 	 train f1: 0.7777777777777777 	 eval f1: 0.49094620032123926 	 test f1: 0.39433036165830565
DEBUG:root:Epoch: 65 	 Loss: 0.9432578086853027 	 train acc: 0.8333333333333334 	 eval acc: 0.5625test acc: 0.4143646408839779 	 train f1: 0.7777777777777777 	 eval f1: 0.5398045922991573 	 test f1: 0.39731675179806336
DEBUG:root:Epoch: 66 	 Loss: 1.0041269063949585 	 train acc: 0.8333333333333334 	 eval acc: 0.59375test acc: 0.40331491712707185 	 train f1: 0.7777777777777777 	 eval f1: 0.5382842423938313 	 test f1: 0.38336131908155363
