INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7918720245361328 	 train acc: 0.3333333333333333 	 eval acc: 0.34375test acc: 0.27624309392265195 	 train f1: 0.16931216931216933 	 eval f1: 0.17039337474120084 	 test f1: 0.152926334265811
DEBUG:root:Epoch: 1 	 Loss: 1.72773015499115 	 train acc: 0.3333333333333333 	 eval acc: 0.328125test acc: 0.2292817679558011 	 train f1: 0.1785714285714286 	 eval f1: 0.1588531576908175 	 test f1: 0.11031289910600256
DEBUG:root:Epoch: 2 	 Loss: 1.7226310968399048 	 train acc: 0.3333333333333333 	 eval acc: 0.3984375test acc: 0.2292817679558011 	 train f1: 0.16931216931216933 	 eval f1: 0.21635825519320664 	 test f1: 0.11098079211286759
DEBUG:root:Epoch: 3 	 Loss: 1.6638041734695435 	 train acc: 0.3333333333333333 	 eval acc: 0.3984375test acc: 0.2541436464088398 	 train f1: 0.1785714285714286 	 eval f1: 0.23598290598290603 	 test f1: 0.15495815247869185
DEBUG:root:Epoch: 4 	 Loss: 1.626951813697815 	 train acc: 0.5 	 eval acc: 0.390625test acc: 0.26795580110497236 	 train f1: 0.41111111111111115 	 eval f1: 0.24061866996257766 	 test f1: 0.1766168267292705
DEBUG:root:Epoch: 5 	 Loss: 1.678247094154358 	 train acc: 0.5 	 eval acc: 0.3828125test acc: 0.2900552486187845 	 train f1: 0.39999999999999997 	 eval f1: 0.2724302677964005 	 test f1: 0.20420009024076813
DEBUG:root:Epoch: 6 	 Loss: 1.5244420766830444 	 train acc: 0.5 	 eval acc: 0.4140625test acc: 0.2983425414364641 	 train f1: 0.39999999999999997 	 eval f1: 0.2784309637968175 	 test f1: 0.21528618316186995
DEBUG:root:Epoch: 7 	 Loss: 1.503078579902649 	 train acc: 0.5 	 eval acc: 0.46875test acc: 0.292817679558011 	 train f1: 0.39999999999999997 	 eval f1: 0.31655151106617235 	 test f1: 0.21100476620469286
DEBUG:root:Epoch: 8 	 Loss: 1.6614586114883423 	 train acc: 0.5833333333333334 	 eval acc: 0.4140625test acc: 0.287292817679558 	 train f1: 0.4777777777777777 	 eval f1: 0.2864240775285994 	 test f1: 0.2078175532508085
DEBUG:root:Epoch: 9 	 Loss: 1.3952304124832153 	 train acc: 0.5 	 eval acc: 0.3828125test acc: 0.2955801104972376 	 train f1: 0.39999999999999997 	 eval f1: 0.26669045406796493 	 test f1: 0.20995727576805243
DEBUG:root:Epoch: 10 	 Loss: 1.422033429145813 	 train acc: 0.5 	 eval acc: 0.40625test acc: 0.2983425414364641 	 train f1: 0.4166666666666667 	 eval f1: 0.2908155969861959 	 test f1: 0.21891560592535897
DEBUG:root:Epoch: 11 	 Loss: 1.4641250371932983 	 train acc: 0.5833333333333334 	 eval acc: 0.4375test acc: 0.31767955801104975 	 train f1: 0.49444444444444446 	 eval f1: 0.32902514401495925 	 test f1: 0.2518264712541925
DEBUG:root:Epoch: 12 	 Loss: 1.5338554382324219 	 train acc: 0.5833333333333334 	 eval acc: 0.4609375test acc: 0.3674033149171271 	 train f1: 0.49444444444444446 	 eval f1: 0.33217602696542026 	 test f1: 0.3294778563469561
DEBUG:root:Epoch: 13 	 Loss: 1.4087257385253906 	 train acc: 0.6666666666666666 	 eval acc: 0.5234375test acc: 0.4419889502762431 	 train f1: 0.6174603174603175 	 eval f1: 0.4570896973192044 	 test f1: 0.424731820428023
DEBUG:root:Epoch: 14 	 Loss: 1.3688708543777466 	 train acc: 0.6666666666666666 	 eval acc: 0.4921875test acc: 0.4198895027624309 	 train f1: 0.6174603174603175 	 eval f1: 0.4552301283309594 	 test f1: 0.4057168573036056
DEBUG:root:Epoch: 15 	 Loss: 1.35284423828125 	 train acc: 0.5833333333333334 	 eval acc: 0.484375test acc: 0.38950276243093923 	 train f1: 0.5063492063492063 	 eval f1: 0.44480175340390393 	 test f1: 0.3715440889032937
DEBUG:root:Epoch: 16 	 Loss: 1.4429616928100586 	 train acc: 0.5833333333333334 	 eval acc: 0.4609375test acc: 0.4171270718232044 	 train f1: 0.49444444444444446 	 eval f1: 0.40985452281173634 	 test f1: 0.4079330152612762
DEBUG:root:Epoch: 17 	 Loss: 1.4846662282943726 	 train acc: 0.8333333333333334 	 eval acc: 0.5078125test acc: 0.44751381215469616 	 train f1: 0.8222222222222223 	 eval f1: 0.4552577581174439 	 test f1: 0.4486384743417991
DEBUG:root:Epoch: 18 	 Loss: 1.392893671989441 	 train acc: 0.8333333333333334 	 eval acc: 0.5859375test acc: 0.4281767955801105 	 train f1: 0.8222222222222223 	 eval f1: 0.5809160919153648 	 test f1: 0.4268255109760366
DEBUG:root:Epoch: 19 	 Loss: 1.3983432054519653 	 train acc: 0.75 	 eval acc: 0.5390625test acc: 0.36464088397790057 	 train f1: 0.7222222222222222 	 eval f1: 0.4748774591097826 	 test f1: 0.34413574412696185
DEBUG:root:Epoch: 20 	 Loss: 1.412874698638916 	 train acc: 0.6666666666666666 	 eval acc: 0.515625test acc: 0.3370165745856354 	 train f1: 0.611111111111111 	 eval f1: 0.4571708239712009 	 test f1: 0.2977030691806568
