INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.758858323097229 	 train acc: 0.3333333333333333 	 eval acc: 0.3671875test acc: 0.23204419889502761 	 train f1: 0.22222222222222224 	 eval f1: 0.18354155821620685 	 test f1: 0.1517559431352535
DEBUG:root:Epoch: 1 	 Loss: 1.6821616888046265 	 train acc: 0.5 	 eval acc: 0.390625test acc: 0.35359116022099446 	 train f1: 0.33968253968253975 	 eval f1: 0.2647058823529412 	 test f1: 0.26464650012899876
DEBUG:root:Epoch: 2 	 Loss: 1.6824092864990234 	 train acc: 0.5 	 eval acc: 0.484375test acc: 0.3812154696132597 	 train f1: 0.33968253968253975 	 eval f1: 0.3083228155691924 	 test f1: 0.2699320935891744
DEBUG:root:Epoch: 3 	 Loss: 1.5704220533370972 	 train acc: 0.5 	 eval acc: 0.46875test acc: 0.39779005524861877 	 train f1: 0.33968253968253975 	 eval f1: 0.30281722825582474 	 test f1: 0.2757621567145377
DEBUG:root:Epoch: 4 	 Loss: 1.5113896131515503 	 train acc: 0.5 	 eval acc: 0.453125test acc: 0.4088397790055249 	 train f1: 0.3333333333333333 	 eval f1: 0.309144880174292 	 test f1: 0.2823797214022255
DEBUG:root:Epoch: 5 	 Loss: 1.5348914861679077 	 train acc: 0.5 	 eval acc: 0.4609375test acc: 0.40607734806629836 	 train f1: 0.3333333333333333 	 eval f1: 0.3280542824038471 	 test f1: 0.2879744140802208
DEBUG:root:Epoch: 6 	 Loss: 1.350171685218811 	 train acc: 0.5833333333333334 	 eval acc: 0.453125test acc: 0.4419889502762431 	 train f1: 0.4666666666666666 	 eval f1: 0.3446054043880131 	 test f1: 0.3301204947619329
DEBUG:root:Epoch: 7 	 Loss: 1.4082108736038208 	 train acc: 0.5833333333333334 	 eval acc: 0.53125test acc: 0.4419889502762431 	 train f1: 0.4666666666666666 	 eval f1: 0.40569200779727094 	 test f1: 0.34738862796435727
DEBUG:root:Epoch: 8 	 Loss: 1.4712752103805542 	 train acc: 0.6666666666666666 	 eval acc: 0.515625test acc: 0.4585635359116022 	 train f1: 0.5619047619047619 	 eval f1: 0.41390424983102325 	 test f1: 0.3778906110321249
DEBUG:root:Epoch: 9 	 Loss: 1.2454365491867065 	 train acc: 0.6666666666666666 	 eval acc: 0.546875test acc: 0.5 	 train f1: 0.5619047619047619 	 eval f1: 0.4776272288444254 	 test f1: 0.44578298968985536
DEBUG:root:Epoch: 10 	 Loss: 1.2768107652664185 	 train acc: 0.75 	 eval acc: 0.6171875test acc: 0.5165745856353591 	 train f1: 0.688888888888889 	 eval f1: 0.575067236687454 	 test f1: 0.47703609026681276
DEBUG:root:Epoch: 11 	 Loss: 1.3224238157272339 	 train acc: 0.8333333333333334 	 eval acc: 0.6953125test acc: 0.5276243093922652 	 train f1: 0.8333333333333334 	 eval f1: 0.6724199132942766 	 test f1: 0.5099923503836463
DEBUG:root:Epoch: 12 	 Loss: 1.3467659950256348 	 train acc: 0.8333333333333334 	 eval acc: 0.7421875test acc: 0.5828729281767956 	 train f1: 0.8333333333333334 	 eval f1: 0.7402853552742318 	 test f1: 0.5858806530503935
DEBUG:root:Epoch: 13 	 Loss: 1.2630406618118286 	 train acc: 0.8333333333333334 	 eval acc: 0.7578125test acc: 0.6685082872928176 	 train f1: 0.8333333333333334 	 eval f1: 0.7622842112586671 	 test f1: 0.6811246781408733
