INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8854986429214478 	 train acc: 0.16666666666666666 	 eval acc: 0.203125test acc: 0.17679558011049723 	 train f1: 0.047619047619047616 	 eval f1: 0.05627705627705628 	 test f1: 0.05067300079176564
DEBUG:root:Epoch: 1 	 Loss: 1.8157557249069214 	 train acc: 0.16666666666666666 	 eval acc: 0.1875test acc: 0.19889502762430938 	 train f1: 0.05128205128205129 	 eval f1: 0.07008790686623902 	 test f1: 0.08325215923111891
DEBUG:root:Epoch: 2 	 Loss: 1.7984343767166138 	 train acc: 0.16666666666666666 	 eval acc: 0.21875test acc: 0.20165745856353592 	 train f1: 0.09523809523809525 	 eval f1: 0.10195707070707072 	 test f1: 0.0971496537955057
DEBUG:root:Epoch: 3 	 Loss: 1.771937370300293 	 train acc: 0.25 	 eval acc: 0.25test acc: 0.15469613259668508 	 train f1: 0.13888888888888887 	 eval f1: 0.13543610800049768 	 test f1: 0.09251561112112894
DEBUG:root:Epoch: 4 	 Loss: 1.737440586090088 	 train acc: 0.16666666666666666 	 eval acc: 0.21875test acc: 0.16298342541436464 	 train f1: 0.06666666666666667 	 eval f1: 0.11338629185680267 	 test f1: 0.09052365907687838
DEBUG:root:Epoch: 5 	 Loss: 1.7319072484970093 	 train acc: 0.16666666666666666 	 eval acc: 0.1796875test acc: 0.15193370165745856 	 train f1: 0.06666666666666667 	 eval f1: 0.0879877203406615 	 test f1: 0.07941122185308232
DEBUG:root:Epoch: 6 	 Loss: 1.6766258478164673 	 train acc: 0.16666666666666666 	 eval acc: 0.2265625test acc: 0.14917127071823205 	 train f1: 0.06666666666666667 	 eval f1: 0.09092920353982299 	 test f1: 0.07700353356890459
DEBUG:root:Epoch: 7 	 Loss: 1.6556330919265747 	 train acc: 0.16666666666666666 	 eval acc: 0.234375test acc: 0.1685082872928177 	 train f1: 0.06666666666666667 	 eval f1: 0.11789519913089708 	 test f1: 0.07523437760651253
DEBUG:root:Epoch: 8 	 Loss: 1.7451190948486328 	 train acc: 0.16666666666666666 	 eval acc: 0.25test acc: 0.17679558011049723 	 train f1: 0.0606060606060606 	 eval f1: 0.13297737096364098 	 test f1: 0.0912568306010929
DEBUG:root:Epoch: 9 	 Loss: 1.551416277885437 	 train acc: 0.25 	 eval acc: 0.265625test acc: 0.1850828729281768 	 train f1: 0.14074074074074075 	 eval f1: 0.15051020408163265 	 test f1: 0.10692922272713772
DEBUG:root:Epoch: 10 	 Loss: 1.5770987272262573 	 train acc: 0.3333333333333333 	 eval acc: 0.3125test acc: 0.20718232044198895 	 train f1: 0.26851851851851855 	 eval f1: 0.24181596732595034 	 test f1: 0.15342802558997967
DEBUG:root:Epoch: 11 	 Loss: 1.6069397926330566 	 train acc: 0.4166666666666667 	 eval acc: 0.375test acc: 0.21823204419889503 	 train f1: 0.37222222222222223 	 eval f1: 0.2888403737184225 	 test f1: 0.15231474455002006
DEBUG:root:Epoch: 12 	 Loss: 1.651186466217041 	 train acc: 0.4166666666666667 	 eval acc: 0.375test acc: 0.20994475138121546 	 train f1: 0.3055555555555555 	 eval f1: 0.28154458513128505 	 test f1: 0.1625734122944995
DEBUG:root:Epoch: 13 	 Loss: 1.570359706878662 	 train acc: 0.5833333333333334 	 eval acc: 0.3984375test acc: 0.2154696132596685 	 train f1: 0.5277777777777777 	 eval f1: 0.34583000024941524 	 test f1: 0.1773527572785707
DEBUG:root:Epoch: 14 	 Loss: 1.5333582162857056 	 train acc: 0.75 	 eval acc: 0.421875test acc: 0.2541436464088398 	 train f1: 0.7444444444444445 	 eval f1: 0.4276503414594444 	 test f1: 0.2656416278718061
DEBUG:root:Epoch: 15 	 Loss: 1.4681605100631714 	 train acc: 0.6666666666666666 	 eval acc: 0.421875test acc: 0.27071823204419887 	 train f1: 0.6666666666666666 	 eval f1: 0.40296011263753195 	 test f1: 0.28080808640147426
DEBUG:root:Epoch: 16 	 Loss: 1.5461153984069824 	 train acc: 0.75 	 eval acc: 0.453125test acc: 0.3259668508287293 	 train f1: 0.7444444444444445 	 eval f1: 0.43526695526695525 	 test f1: 0.32575083805410476
DEBUG:root:Epoch: 17 	 Loss: 1.5652793645858765 	 train acc: 0.75 	 eval acc: 0.53125test acc: 0.3259668508287293 	 train f1: 0.7063492063492064 	 eval f1: 0.5024304453689027 	 test f1: 0.31143913479193247
DEBUG:root:Epoch: 18 	 Loss: 1.4678853750228882 	 train acc: 0.6666666666666666 	 eval acc: 0.515625test acc: 0.3453038674033149 	 train f1: 0.623015873015873 	 eval f1: 0.4842384668471625 	 test f1: 0.33283767213515947
DEBUG:root:Epoch: 19 	 Loss: 1.4691206216812134 	 train acc: 0.6666666666666666 	 eval acc: 0.5859375test acc: 0.4143646408839779 	 train f1: 0.6507936507936508 	 eval f1: 0.49407882015855437 	 test f1: 0.39960576274126103
DEBUG:root:Epoch: 20 	 Loss: 1.441152572631836 	 train acc: 0.6666666666666666 	 eval acc: 0.578125test acc: 0.511049723756906 	 train f1: 0.6507936507936508 	 eval f1: 0.5140449438202247 	 test f1: 0.4822951453931423
DEBUG:root:Epoch: 21 	 Loss: 1.5240346193313599 	 train acc: 0.75 	 eval acc: 0.578125test acc: 0.5276243093922652 	 train f1: 0.7222222222222222 	 eval f1: 0.5142547222750607 	 test f1: 0.4865336817118446
DEBUG:root:Epoch: 22 	 Loss: 1.4506291151046753 	 train acc: 0.8333333333333334 	 eval acc: 0.6171875test acc: 0.4861878453038674 	 train f1: 0.7777777777777777 	 eval f1: 0.5906856599594642 	 test f1: 0.4625713746568623
DEBUG:root:Epoch: 23 	 Loss: 1.4616018533706665 	 train acc: 0.9166666666666666 	 eval acc: 0.6640625test acc: 0.5193370165745856 	 train f1: 0.9111111111111111 	 eval f1: 0.655611498505544 	 test f1: 0.48735499618795447
DEBUG:root:Epoch: 24 	 Loss: 1.3637148141860962 	 train acc: 0.9166666666666666 	 eval acc: 0.65625test acc: 0.505524861878453 	 train f1: 0.9111111111111111 	 eval f1: 0.6155825313149876 	 test f1: 0.48450212949860266
DEBUG:root:Epoch: 25 	 Loss: 1.429256558418274 	 train acc: 1.0 	 eval acc: 0.6171875test acc: 0.505524861878453 	 train f1: 1.0 	 eval f1: 0.5820646674558266 	 test f1: 0.4701626187455164
DEBUG:root:Epoch: 26 	 Loss: 1.6105152368545532 	 train acc: 0.9166666666666666 	 eval acc: 0.609375test acc: 0.5027624309392266 	 train f1: 0.9111111111111111 	 eval f1: 0.5364869484305044 	 test f1: 0.46006410639061235
DEBUG:root:Epoch: 27 	 Loss: 1.4318766593933105 	 train acc: 0.8333333333333334 	 eval acc: 0.59375test acc: 0.46685082872928174 	 train f1: 0.8333333333333334 	 eval f1: 0.5487461095224008 	 test f1: 0.4249556900668152
DEBUG:root:Epoch: 28 	 Loss: 1.3338724374771118 	 train acc: 0.75 	 eval acc: 0.6015625test acc: 0.4585635359116022 	 train f1: 0.7444444444444444 	 eval f1: 0.5672917115761783 	 test f1: 0.4260039418585178
DEBUG:root:Epoch: 29 	 Loss: 1.2930713891983032 	 train acc: 0.75 	 eval acc: 0.625test acc: 0.46685082872928174 	 train f1: 0.7444444444444444 	 eval f1: 0.5681131449788165 	 test f1: 0.42996321495075335
DEBUG:root:Epoch: 30 	 Loss: 1.2929338216781616 	 train acc: 0.8333333333333334 	 eval acc: 0.6171875test acc: 0.47513812154696133 	 train f1: 0.8222222222222221 	 eval f1: 0.5705169999676541 	 test f1: 0.42584357779213255
DEBUG:root:Epoch: 31 	 Loss: 1.2229043245315552 	 train acc: 0.8333333333333334 	 eval acc: 0.5546875test acc: 0.4861878453038674 	 train f1: 0.8222222222222221 	 eval f1: 0.5096350712066832 	 test f1: 0.4339126975091023
DEBUG:root:Epoch: 32 	 Loss: 1.2933590412139893 	 train acc: 0.8333333333333334 	 eval acc: 0.5859375test acc: 0.49171270718232046 	 train f1: 0.8222222222222221 	 eval f1: 0.548405319000759 	 test f1: 0.4454754293760182
DEBUG:root:Epoch: 33 	 Loss: 1.3314803838729858 	 train acc: 0.9166666666666666 	 eval acc: 0.546875test acc: 0.5 	 train f1: 0.911111111111111 	 eval f1: 0.5137191381950621 	 test f1: 0.47282492716510455
DEBUG:root:Epoch: 34 	 Loss: 1.2584834098815918 	 train acc: 0.9166666666666666 	 eval acc: 0.5703125test acc: 0.4889502762430939 	 train f1: 0.911111111111111 	 eval f1: 0.5412864881789854 	 test f1: 0.4659117506927187
DEBUG:root:Epoch: 35 	 Loss: 1.2732657194137573 	 train acc: 0.8333333333333334 	 eval acc: 0.5625test acc: 0.4558011049723757 	 train f1: 0.8222222222222221 	 eval f1: 0.556200677925202 	 test f1: 0.42779804620047984
DEBUG:root:Epoch: 36 	 Loss: 1.163291335105896 	 train acc: 0.8333333333333334 	 eval acc: 0.5703125test acc: 0.4530386740331492 	 train f1: 0.7777777777777777 	 eval f1: 0.5520754574634452 	 test f1: 0.4205714788680539
DEBUG:root:Epoch: 37 	 Loss: 1.2529841661453247 	 train acc: 0.8333333333333334 	 eval acc: 0.5546875test acc: 0.48066298342541436 	 train f1: 0.7777777777777777 	 eval f1: 0.5069387177621473 	 test f1: 0.44599434880764804
DEBUG:root:Epoch: 38 	 Loss: 1.2111414670944214 	 train acc: 1.0 	 eval acc: 0.5234375test acc: 0.511049723756906 	 train f1: 1.0 	 eval f1: 0.5197796227530601 	 test f1: 0.4841690773066394
DEBUG:root:Epoch: 39 	 Loss: 1.1637264490127563 	 train acc: 1.0 	 eval acc: 0.5546875test acc: 0.5469613259668509 	 train f1: 1.0 	 eval f1: 0.5399442833081277 	 test f1: 0.5313366552835304
DEBUG:root:Epoch: 40 	 Loss: 1.165315866470337 	 train acc: 1.0 	 eval acc: 0.578125test acc: 0.5220994475138122 	 train f1: 1.0 	 eval f1: 0.5563825822726751 	 test f1: 0.5072266637002808
