INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8798012733459473 	 train acc: 0.3333333333333333 	 eval acc: 0.2578125test acc: 0.28720238095238093 	 train f1: 0.27777777777777773 	 eval f1: 0.18639269406392692 	 test f1: 0.20541442022190967
DEBUG:root:Epoch: 1 	 Loss: 1.7178889513015747 	 train acc: 0.3333333333333333 	 eval acc: 0.2890625test acc: 0.2961309523809524 	 train f1: 0.27777777777777773 	 eval f1: 0.19126984126984126 	 test f1: 0.20625934469648424
DEBUG:root:Epoch: 2 	 Loss: 1.7082966566085815 	 train acc: 0.3333333333333333 	 eval acc: 0.3125test acc: 0.29017857142857145 	 train f1: 0.27777777777777773 	 eval f1: 0.2200751476113795 	 test f1: 0.20471272554605888
DEBUG:root:Epoch: 3 	 Loss: 1.698935866355896 	 train acc: 0.3333333333333333 	 eval acc: 0.3203125test acc: 0.3288690476190476 	 train f1: 0.25 	 eval f1: 0.25161012997610305 	 test f1: 0.2652118670136206
DEBUG:root:Epoch: 4 	 Loss: 1.621106743812561 	 train acc: 0.6666666666666666 	 eval acc: 0.3046875test acc: 0.42410714285714285 	 train f1: 0.5833333333333334 	 eval f1: 0.25725200725200725 	 test f1: 0.37556920008946837
DEBUG:root:Epoch: 5 	 Loss: 1.5224775075912476 	 train acc: 0.6666666666666666 	 eval acc: 0.3984375test acc: 0.49255952380952384 	 train f1: 0.5833333333333334 	 eval f1: 0.36615288220551384 	 test f1: 0.4425637583324455
DEBUG:root:Epoch: 6 	 Loss: 1.5131422281265259 	 train acc: 0.6666666666666666 	 eval acc: 0.5test acc: 0.5044642857142857 	 train f1: 0.5833333333333334 	 eval f1: 0.4490605391612563 	 test f1: 0.45680734436607806
DEBUG:root:Epoch: 7 	 Loss: 1.3205662965774536 	 train acc: 0.6666666666666666 	 eval acc: 0.5234375test acc: 0.5178571428571429 	 train f1: 0.5833333333333334 	 eval f1: 0.4718571709620303 	 test f1: 0.4682793227610511
DEBUG:root:Epoch: 8 	 Loss: 1.4565640687942505 	 train acc: 0.6666666666666666 	 eval acc: 0.59375test acc: 0.5431547619047619 	 train f1: 0.5555555555555555 	 eval f1: 0.5066017316017316 	 test f1: 0.4806889759270712
DEBUG:root:Epoch: 9 	 Loss: 1.463008999824524 	 train acc: 0.6666666666666666 	 eval acc: 0.5703125test acc: 0.5342261904761905 	 train f1: 0.5555555555555555 	 eval f1: 0.47866947866947873 	 test f1: 0.46567039216851946
DEBUG:root:Epoch: 10 	 Loss: 1.2484326362609863 	 train acc: 0.6666666666666666 	 eval acc: 0.5625test acc: 0.5 	 train f1: 0.5555555555555555 	 eval f1: 0.4663769853161523 	 test f1: 0.4309944149234004
DEBUG:root:Epoch: 11 	 Loss: 1.3835315704345703 	 train acc: 0.6666666666666666 	 eval acc: 0.4921875test acc: 0.46875 	 train f1: 0.5555555555555555 	 eval f1: 0.4205002405002405 	 test f1: 0.40434731059703344
DEBUG:root:Epoch: 12 	 Loss: 1.4498616456985474 	 train acc: 0.6666666666666666 	 eval acc: 0.4453125test acc: 0.4538690476190476 	 train f1: 0.5555555555555555 	 eval f1: 0.37624476835003157 	 test f1: 0.4002657834150674
DEBUG:root:Epoch: 13 	 Loss: 1.606483817100525 	 train acc: 0.6666666666666666 	 eval acc: 0.3984375test acc: 0.43898809523809523 	 train f1: 0.5555555555555555 	 eval f1: 0.36168451801363194 	 test f1: 0.38324453998462055
DEBUG:root:Epoch: 14 	 Loss: 1.300392746925354 	 train acc: 0.6666666666666666 	 eval acc: 0.40625test acc: 0.4255952380952381 	 train f1: 0.5555555555555555 	 eval f1: 0.3631239935587762 	 test f1: 0.37004716549722466
DEBUG:root:Epoch: 15 	 Loss: 1.3275984525680542 	 train acc: 0.6666666666666666 	 eval acc: 0.484375test acc: 0.43005952380952384 	 train f1: 0.5555555555555555 	 eval f1: 0.42188893505054703 	 test f1: 0.37945583752325907
DEBUG:root:Epoch: 16 	 Loss: 1.322343349456787 	 train acc: 0.6666666666666666 	 eval acc: 0.4921875test acc: 0.44642857142857145 	 train f1: 0.5555555555555555 	 eval f1: 0.4425554636902302 	 test f1: 0.39952184782876426
