INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.805080771446228 	 train acc: 0.1724137931034483 	 eval acc: 0.1171875test acc: 0.1335559265442404 	 train f1: 0.10973084886128365 	 eval f1: 0.07606490872210953 	 test f1: 0.09036604249477197
DEBUG:root:Epoch: 1 	 Loss: 1.7478293180465698 	 train acc: 0.4827586206896552 	 eval acc: 0.34375test acc: 0.3639398998330551 	 train f1: 0.273989898989899 	 eval f1: 0.2085794141887766 	 test f1: 0.21296395527436082
DEBUG:root:Epoch: 2 	 Loss: 1.7324223518371582 	 train acc: 0.5172413793103449 	 eval acc: 0.40234375test acc: 0.4015025041736227 	 train f1: 0.2944147355912062 	 eval f1: 0.24051004470599432 	 test f1: 0.2280729861921181
DEBUG:root:Epoch: 3 	 Loss: 1.6673457622528076 	 train acc: 0.5172413793103449 	 eval acc: 0.4453125test acc: 0.41652754590984975 	 train f1: 0.2944147355912062 	 eval f1: 0.26609105180533754 	 test f1: 0.230160979360337
DEBUG:root:Epoch: 4 	 Loss: 1.6541510820388794 	 train acc: 0.5172413793103449 	 eval acc: 0.4375test acc: 0.4298831385642738 	 train f1: 0.3333333333333333 	 eval f1: 0.24116648209671468 	 test f1: 0.2374103094623293
DEBUG:root:Epoch: 5 	 Loss: 1.6211761236190796 	 train acc: 0.5172413793103449 	 eval acc: 0.45703125test acc: 0.4365609348914858 	 train f1: 0.3333333333333333 	 eval f1: 0.2550173667643547 	 test f1: 0.23831046214455046
DEBUG:root:Epoch: 6 	 Loss: 1.6152149438858032 	 train acc: 0.5172413793103449 	 eval acc: 0.4453125test acc: 0.4357262103505843 	 train f1: 0.3333333333333333 	 eval f1: 0.2569679351656096 	 test f1: 0.23372623881467466
DEBUG:root:Epoch: 7 	 Loss: 1.6209111213684082 	 train acc: 0.5172413793103449 	 eval acc: 0.484375test acc: 0.43823038397328884 	 train f1: 0.3333333333333333 	 eval f1: 0.2665858095815646 	 test f1: 0.23497464539764543
DEBUG:root:Epoch: 8 	 Loss: 1.5430903434753418 	 train acc: 0.5517241379310345 	 eval acc: 0.46875test acc: 0.43906510851419034 	 train f1: 0.3954248366013072 	 eval f1: 0.27388244657320965 	 test f1: 0.24114415405417255
DEBUG:root:Epoch: 9 	 Loss: 1.5324335098266602 	 train acc: 0.5517241379310345 	 eval acc: 0.46484375test acc: 0.43823038397328884 	 train f1: 0.3954248366013072 	 eval f1: 0.26900455217229036 	 test f1: 0.24677714034310413
DEBUG:root:Epoch: 10 	 Loss: 1.6012933254241943 	 train acc: 0.5517241379310345 	 eval acc: 0.48828125test acc: 0.43823038397328884 	 train f1: 0.3954248366013072 	 eval f1: 0.288265693874449 	 test f1: 0.251957622588096
DEBUG:root:Epoch: 11 	 Loss: 1.5001870393753052 	 train acc: 0.5862068965517241 	 eval acc: 0.48046875test acc: 0.44323873121869783 	 train f1: 0.4694444444444444 	 eval f1: 0.3158695532583966 	 test f1: 0.2727112976602167
DEBUG:root:Epoch: 12 	 Loss: 1.4331130981445312 	 train acc: 0.6896551724137931 	 eval acc: 0.5test acc: 0.44908180300500833 	 train f1: 0.651656314699793 	 eval f1: 0.3435149079808457 	 test f1: 0.2964881792016383
