INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8709179162979126 	 train acc: 0.10344827586206896 	 eval acc: 0.078125test acc: 0.09766277128547579 	 train f1: 0.06984126984126983 	 eval f1: 0.024242424242424242 	 test f1: 0.033773829063755166
DEBUG:root:Epoch: 1 	 Loss: 1.7975273132324219 	 train acc: 0.10344827586206896 	 eval acc: 0.07421875test acc: 0.1001669449081803 	 train f1: 0.06984126984126983 	 eval f1: 0.037122419455609124 	 test f1: 0.03738994947229283
DEBUG:root:Epoch: 2 	 Loss: 1.7898218631744385 	 train acc: 0.4482758620689655 	 eval acc: 0.328125test acc: 0.3363939899833055 	 train f1: 0.2777777777777778 	 eval f1: 0.20425253789459044 	 test f1: 0.1851286257496124
DEBUG:root:Epoch: 3 	 Loss: 1.7170321941375732 	 train acc: 0.4482758620689655 	 eval acc: 0.4140625test acc: 0.3747913188647746 	 train f1: 0.2676767676767677 	 eval f1: 0.2617837741345245 	 test f1: 0.22489576977832013
DEBUG:root:Epoch: 4 	 Loss: 1.7225359678268433 	 train acc: 0.5517241379310345 	 eval acc: 0.4140625test acc: 0.3998330550918197 	 train f1: 0.3378787878787879 	 eval f1: 0.25359718625844135 	 test f1: 0.24390144684674833
DEBUG:root:Epoch: 5 	 Loss: 1.6725903749465942 	 train acc: 0.5172413793103449 	 eval acc: 0.46484375test acc: 0.41068447412353926 	 train f1: 0.29649758454106284 	 eval f1: 0.2843027980959016 	 test f1: 0.23801815338039556
DEBUG:root:Epoch: 6 	 Loss: 1.652416467666626 	 train acc: 0.5172413793103449 	 eval acc: 0.453125test acc: 0.4248747913188648 	 train f1: 0.30277777777777776 	 eval f1: 0.25941854208507736 	 test f1: 0.22879163566724317
DEBUG:root:Epoch: 7 	 Loss: 1.6950923204421997 	 train acc: 0.5172413793103449 	 eval acc: 0.484375test acc: 0.4365609348914858 	 train f1: 0.31209150326797386 	 eval f1: 0.2512622368328669 	 test f1: 0.22577713312289238
DEBUG:root:Epoch: 8 	 Loss: 1.605434536933899 	 train acc: 0.5172413793103449 	 eval acc: 0.4609375test acc: 0.44407345575959933 	 train f1: 0.31209150326797386 	 eval f1: 0.24713038004450869 	 test f1: 0.2218812599477864
DEBUG:root:Epoch: 9 	 Loss: 1.6164002418518066 	 train acc: 0.5172413793103449 	 eval acc: 0.453125test acc: 0.44240400667779634 	 train f1: 0.3333333333333333 	 eval f1: 0.22365187238682696 	 test f1: 0.21130619312483048
DEBUG:root:Epoch: 10 	 Loss: 1.6759991645812988 	 train acc: 0.5172413793103449 	 eval acc: 0.47265625test acc: 0.44407345575959933 	 train f1: 0.3333333333333333 	 eval f1: 0.24210227272727272 	 test f1: 0.21142122561492793
DEBUG:root:Epoch: 11 	 Loss: 1.55806303024292 	 train acc: 0.5172413793103449 	 eval acc: 0.453125test acc: 0.44490818030050083 	 train f1: 0.3333333333333333 	 eval f1: 0.23700096548710084 	 test f1: 0.21144584380299183
DEBUG:root:Epoch: 12 	 Loss: 1.5292414426803589 	 train acc: 0.5172413793103449 	 eval acc: 0.45703125test acc: 0.44407345575959933 	 train f1: 0.3333333333333333 	 eval f1: 0.24514000677793782 	 test f1: 0.2109813635291342
DEBUG:root:Epoch: 13 	 Loss: 1.5291569232940674 	 train acc: 0.5172413793103449 	 eval acc: 0.44921875test acc: 0.44407345575959933 	 train f1: 0.3333333333333333 	 eval f1: 0.23911446611652912 	 test f1: 0.21605333724321066
DEBUG:root:Epoch: 14 	 Loss: 1.512071132659912 	 train acc: 0.5172413793103449 	 eval acc: 0.47265625test acc: 0.43989983305509184 	 train f1: 0.3333333333333333 	 eval f1: 0.2743777830563945 	 test f1: 0.22103020568255516
DEBUG:root:Epoch: 15 	 Loss: 1.5402060747146606 	 train acc: 0.5172413793103449 	 eval acc: 0.48046875test acc: 0.43906510851419034 	 train f1: 0.3333333333333333 	 eval f1: 0.27120340830018247 	 test f1: 0.22934159779614327
DEBUG:root:Epoch: 16 	 Loss: 1.558660864830017 	 train acc: 0.5517241379310345 	 eval acc: 0.484375test acc: 0.44073455759599334 	 train f1: 0.3954248366013072 	 eval f1: 0.2994079794079794 	 test f1: 0.24181691621066262
DEBUG:root:Epoch: 17 	 Loss: 1.4853538274765015 	 train acc: 0.5517241379310345 	 eval acc: 0.48828125test acc: 0.44240400667779634 	 train f1: 0.39833333333333326 	 eval f1: 0.2908295339412361 	 test f1: 0.25180362994682115
DEBUG:root:Epoch: 18 	 Loss: 1.4543344974517822 	 train acc: 0.5862068965517241 	 eval acc: 0.46875test acc: 0.43989983305509184 	 train f1: 0.47333333333333333 	 eval f1: 0.27570932906298756 	 test f1: 0.2488671369917248
