INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8603098392486572 	 train acc: 0.1724137931034483 	 eval acc: 0.23046875test acc: 0.21368948247078465 	 train f1: 0.12444444444444443 	 eval f1: 0.14400876286122188 	 test f1: 0.14727337203592247
DEBUG:root:Epoch: 1 	 Loss: 1.7477691173553467 	 train acc: 0.5172413793103449 	 eval acc: 0.421875test acc: 0.4090150250417362 	 train f1: 0.2962121212121212 	 eval f1: 0.23716437539311067 	 test f1: 0.23565782704769112
DEBUG:root:Epoch: 2 	 Loss: 1.7137898206710815 	 train acc: 0.5172413793103449 	 eval acc: 0.4296875test acc: 0.42070116861435725 	 train f1: 0.2944147355912062 	 eval f1: 0.21917269087941435 	 test f1: 0.21756103815004477
DEBUG:root:Epoch: 3 	 Loss: 1.6567178964614868 	 train acc: 0.41379310344827586 	 eval acc: 0.38671875test acc: 0.3781302170283806 	 train f1: 0.22291021671826625 	 eval f1: 0.19777494331065762 	 test f1: 0.19898172530661007
DEBUG:root:Epoch: 4 	 Loss: 1.6791961193084717 	 train acc: 0.4827586206896552 	 eval acc: 0.44140625test acc: 0.4315525876460768 	 train f1: 0.22647527910685805 	 eval f1: 0.20848938826466915 	 test f1: 0.21315283131161164
DEBUG:root:Epoch: 5 	 Loss: 1.6174061298370361 	 train acc: 0.5172413793103449 	 eval acc: 0.44140625test acc: 0.41485809682804675 	 train f1: 0.3103864734299517 	 eval f1: 0.21958494600162307 	 test f1: 0.20405195175908086
DEBUG:root:Epoch: 6 	 Loss: 1.6431913375854492 	 train acc: 0.5172413793103449 	 eval acc: 0.4296875test acc: 0.39565943238731216 	 train f1: 0.3333333333333333 	 eval f1: 0.225956497248581 	 test f1: 0.1973101539349961
DEBUG:root:Epoch: 7 	 Loss: 1.6582307815551758 	 train acc: 0.5172413793103449 	 eval acc: 0.4609375test acc: 0.39398998330550916 	 train f1: 0.3333333333333333 	 eval f1: 0.2248667842378731 	 test f1: 0.19846003552897917
DEBUG:root:Epoch: 8 	 Loss: 1.5542991161346436 	 train acc: 0.5172413793103449 	 eval acc: 0.4453125test acc: 0.39398998330550916 	 train f1: 0.3333333333333333 	 eval f1: 0.24918603663542935 	 test f1: 0.21365670275234097
DEBUG:root:Epoch: 9 	 Loss: 1.5681114196777344 	 train acc: 0.5172413793103449 	 eval acc: 0.44921875test acc: 0.4015025041736227 	 train f1: 0.3333333333333333 	 eval f1: 0.26878901567902 	 test f1: 0.2445096986287396
DEBUG:root:Epoch: 10 	 Loss: 1.6300485134124756 	 train acc: 0.5862068965517241 	 eval acc: 0.4765625test acc: 0.41652754590984975 	 train f1: 0.4694444444444444 	 eval f1: 0.30236237023206036 	 test f1: 0.2816232644638234
