INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.9074479341506958 	 train acc: 0.06896551724137931 	 eval acc: 0.078125test acc: 0.09432387312186978 	 train f1: 0.02150537634408602 	 eval f1: 0.024154589371980676 	 test f1: 0.028731248410882274
DEBUG:root:Epoch: 1 	 Loss: 1.8032015562057495 	 train acc: 0.06896551724137931 	 eval acc: 0.0625test acc: 0.09432387312186978 	 train f1: 0.02150537634408602 	 eval f1: 0.0196078431372549 	 test f1: 0.028731248410882274
DEBUG:root:Epoch: 2 	 Loss: 1.8296363353729248 	 train acc: 0.06896551724137931 	 eval acc: 0.07421875test acc: 0.09432387312186978 	 train f1: 0.02150537634408602 	 eval f1: 0.02303030303030303 	 test f1: 0.028731248410882274
DEBUG:root:Epoch: 3 	 Loss: 1.7642617225646973 	 train acc: 0.2413793103448276 	 eval acc: 0.2265625test acc: 0.21619365609348914 	 train f1: 0.1286549707602339 	 eval f1: 0.12979967649620505 	 test f1: 0.13009622494855638
DEBUG:root:Epoch: 4 	 Loss: 1.7477574348449707 	 train acc: 0.20689655172413793 	 eval acc: 0.2421875test acc: 0.2328881469115192 	 train f1: 0.09523809523809525 	 eval f1: 0.10851742758959253 	 test f1: 0.11485278916471577
DEBUG:root:Epoch: 5 	 Loss: 1.7127423286437988 	 train acc: 0.4827586206896552 	 eval acc: 0.43359375test acc: 0.44908180300500833 	 train f1: 0.21645021645021645 	 eval f1: 0.20249314385440043 	 test f1: 0.21994105909669967
DEBUG:root:Epoch: 6 	 Loss: 1.6921766996383667 	 train acc: 0.4827586206896552 	 eval acc: 0.4296875test acc: 0.4507512520868113 	 train f1: 0.21645021645021645 	 eval f1: 0.20125198448584233 	 test f1: 0.21620867598376248
DEBUG:root:Epoch: 7 	 Loss: 1.7167013883590698 	 train acc: 0.4827586206896552 	 eval acc: 0.46875test acc: 0.44991652754590983 	 train f1: 0.21645021645021645 	 eval f1: 0.21352968246663595 	 test f1: 0.2106773587403675
DEBUG:root:Epoch: 8 	 Loss: 1.6439019441604614 	 train acc: 0.4827586206896552 	 eval acc: 0.4453125test acc: 0.44991652754590983 	 train f1: 0.21645021645021645 	 eval f1: 0.2060837713011626 	 test f1: 0.2106773587403675
DEBUG:root:Epoch: 9 	 Loss: 1.6469447612762451 	 train acc: 0.4827586206896552 	 eval acc: 0.4453125test acc: 0.44991652754590983 	 train f1: 0.21645021645021645 	 eval f1: 0.2060074428495481 	 test f1: 0.2104789731310069
DEBUG:root:Epoch: 10 	 Loss: 1.7226725816726685 	 train acc: 0.4827586206896552 	 eval acc: 0.4609375test acc: 0.44908180300500833 	 train f1: 0.21645021645021645 	 eval f1: 0.21077727351065664 	 test f1: 0.20731036320145488
