INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.9773107767105103 	 train acc: 0.16216216216216217 	 eval acc: 0.15625test acc: 0.14285714285714285 	 train f1: 0.03986710963455149 	 eval f1: 0.03861003861003861 	 test f1: 0.03571428571428571
DEBUG:root:Epoch: 1 	 Loss: 1.9560831785202026 	 train acc: 0.20270270270270271 	 eval acc: 0.16666666666666666test acc: 0.1661904761904762 	 train f1: 0.0889271371199082 	 eval f1: 0.06068954140547674 	 test f1: 0.07061778557576877
DEBUG:root:Epoch: 2 	 Loss: 1.8706543445587158 	 train acc: 0.36486486486486486 	 eval acc: 0.22395833333333334test acc: 0.20904761904761904 	 train f1: 0.16167247386759584 	 eval f1: 0.11103884395445883 	 test f1: 0.09918063393629573
DEBUG:root:Epoch: 3 	 Loss: 1.8539609909057617 	 train acc: 0.21621621621621623 	 eval acc: 0.1875test acc: 0.19428571428571428 	 train f1: 0.09727891156462584 	 eval f1: 0.09031977754605493 	 test f1: 0.09904713226972363
DEBUG:root:Epoch: 4 	 Loss: 1.8581068515777588 	 train acc: 0.36486486486486486 	 eval acc: 0.2421875test acc: 0.2219047619047619 	 train f1: 0.15550536420101638 	 eval f1: 0.1125071032448867 	 test f1: 0.10139115977386551
DEBUG:root:Epoch: 5 	 Loss: 1.8086811304092407 	 train acc: 0.36486486486486486 	 eval acc: 0.2578125test acc: 0.2557142857142857 	 train f1: 0.15427187824282257 	 eval f1: 0.11412028831383669 	 test f1: 0.11397636702349401
DEBUG:root:Epoch: 6 	 Loss: 1.8226916790008545 	 train acc: 0.36486486486486486 	 eval acc: 0.2565104166666667test acc: 0.2561904761904762 	 train f1: 0.15505226480836237 	 eval f1: 0.11375193495009163 	 test f1: 0.11433692692619897
DEBUG:root:Epoch: 7 	 Loss: 1.827789068222046 	 train acc: 0.36486486486486486 	 eval acc: 0.2591145833333333test acc: 0.25523809523809526 	 train f1: 0.15245623941276115 	 eval f1: 0.11667381667381667 	 test f1: 0.11325585897210637
DEBUG:root:Epoch: 8 	 Loss: 1.8141765594482422 	 train acc: 0.32432432432432434 	 eval acc: 0.22395833333333334test acc: 0.22333333333333333 	 train f1: 0.14192037470725996 	 eval f1: 0.10793484849815949 	 test f1: 0.10164444913345363
DEBUG:root:Epoch: 9 	 Loss: 1.7749806642532349 	 train acc: 0.36486486486486486 	 eval acc: 0.2552083333333333test acc: 0.2542857142857143 	 train f1: 0.15397574123989216 	 eval f1: 0.1193169971415854 	 test f1: 0.11311741926347148
DEBUG:root:Epoch: 10 	 Loss: 1.7225385904312134 	 train acc: 0.36486486486486486 	 eval acc: 0.2630208333333333test acc: 0.259047619047619 	 train f1: 0.15245623941276115 	 eval f1: 0.12038777515980066 	 test f1: 0.11801189216592009
DEBUG:root:Epoch: 11 	 Loss: 1.745491623878479 	 train acc: 0.36486486486486486 	 eval acc: 0.26171875test acc: 0.2604761904761905 	 train f1: 0.15294117647058822 	 eval f1: 0.12305483174421239 	 test f1: 0.12380714928006682
DEBUG:root:Epoch: 12 	 Loss: 1.7087489366531372 	 train acc: 0.3783783783783784 	 eval acc: 0.2526041666666667test acc: 0.2638095238095238 	 train f1: 0.17214285714285715 	 eval f1: 0.12767687690598423 	 test f1: 0.12990325858664506
DEBUG:root:Epoch: 13 	 Loss: 1.7442562580108643 	 train acc: 0.36486486486486486 	 eval acc: 0.24869791666666666test acc: 0.26476190476190475 	 train f1: 0.15397574123989216 	 eval f1: 0.13707921124749795 	 test f1: 0.14349729668256223
DEBUG:root:Epoch: 14 	 Loss: 1.634765625 	 train acc: 0.40540540540540543 	 eval acc: 0.296875test acc: 0.2985714285714286 	 train f1: 0.21620758080247535 	 eval f1: 0.180954508422148 	 test f1: 0.18666955314495376
DEBUG:root:Epoch: 15 	 Loss: 1.6469017267227173 	 train acc: 0.40540540540540543 	 eval acc: 0.2981770833333333test acc: 0.30333333333333334 	 train f1: 0.21599074412373648 	 eval f1: 0.18696034605125517 	 test f1: 0.1932955750619389
DEBUG:root:Epoch: 16 	 Loss: 1.6342979669570923 	 train acc: 0.3918918918918919 	 eval acc: 0.2825520833333333test acc: 0.31238095238095237 	 train f1: 0.2038838791330486 	 eval f1: 0.16150365104854636 	 test f1: 0.2028647827202235
DEBUG:root:Epoch: 17 	 Loss: 1.6466463804244995 	 train acc: 0.3918918918918919 	 eval acc: 0.3020833333333333test acc: 0.3080952380952381 	 train f1: 0.19895382395382397 	 eval f1: 0.18771734970281168 	 test f1: 0.198613727131745
DEBUG:root:Epoch: 18 	 Loss: 1.6405999660491943 	 train acc: 0.35135135135135137 	 eval acc: 0.23697916666666666test acc: 0.24333333333333335 	 train f1: 0.1535789158430668 	 eval f1: 0.13081532577039193 	 test f1: 0.13503146403391983
DEBUG:root:Epoch: 19 	 Loss: 1.6544291973114014 	 train acc: 0.40540540540540543 	 eval acc: 0.29296875test acc: 0.2780952380952381 	 train f1: 0.222910592808552 	 eval f1: 0.19138266565925827 	 test f1: 0.18002639765189704
DEBUG:root:Epoch: 20 	 Loss: 1.6085231304168701 	 train acc: 0.4189189189189189 	 eval acc: 0.30859375test acc: 0.2995238095238095 	 train f1: 0.23911526063606406 	 eval f1: 0.21195623854949028 	 test f1: 0.1973824647146429
DEBUG:root:Epoch: 21 	 Loss: 1.627771019935608 	 train acc: 0.40540540540540543 	 eval acc: 0.3177083333333333test acc: 0.3233333333333333 	 train f1: 0.21988710377768125 	 eval f1: 0.22875343940817044 	 test f1: 0.24000728830932916
DEBUG:root:Epoch: 22 	 Loss: 1.5938749313354492 	 train acc: 0.3918918918918919 	 eval acc: 0.3151041666666667test acc: 0.3404761904761905 	 train f1: 0.20628019323671495 	 eval f1: 0.2225379043700881 	 test f1: 0.24706925742664118
DEBUG:root:Epoch: 23 	 Loss: 1.602561116218567 	 train acc: 0.4594594594594595 	 eval acc: 0.3489583333333333test acc: 0.36238095238095236 	 train f1: 0.2894757903161265 	 eval f1: 0.2544682997611131 	 test f1: 0.2692610195633888
DEBUG:root:Epoch: 24 	 Loss: 1.5512381792068481 	 train acc: 0.47297297297297297 	 eval acc: 0.3658854166666667test acc: 0.3385714285714286 	 train f1: 0.3032284031174153 	 eval f1: 0.2672160440281742 	 test f1: 0.24020299995727454
DEBUG:root:Epoch: 25 	 Loss: 1.5464746952056885 	 train acc: 0.4864864864864865 	 eval acc: 0.39453125test acc: 0.3566666666666667 	 train f1: 0.3115197496002449 	 eval f1: 0.29674247064919895 	 test f1: 0.26199137770105924
DEBUG:root:Epoch: 26 	 Loss: 1.5221812725067139 	 train acc: 0.5405405405405406 	 eval acc: 0.4153645833333333test acc: 0.38142857142857145 	 train f1: 0.3748299319727892 	 eval f1: 0.32017557657323964 	 test f1: 0.29159925429385325
DEBUG:root:Epoch: 27 	 Loss: 1.5911226272583008 	 train acc: 0.5675675675675675 	 eval acc: 0.3997395833333333test acc: 0.3904761904761905 	 train f1: 0.39544513457556935 	 eval f1: 0.3098452909759599 	 test f1: 0.3020046703262703
DEBUG:root:Epoch: 28 	 Loss: 1.4531421661376953 	 train acc: 0.5675675675675675 	 eval acc: 0.4231770833333333test acc: 0.4038095238095238 	 train f1: 0.40741304235145226 	 eval f1: 0.32789740049054394 	 test f1: 0.30842546494575057
DEBUG:root:Epoch: 29 	 Loss: 1.4689226150512695 	 train acc: 0.5675675675675675 	 eval acc: 0.4309895833333333test acc: 0.3961904761904762 	 train f1: 0.41671525753158406 	 eval f1: 0.3296688670319833 	 test f1: 0.2970814718907392
DEBUG:root:Epoch: 30 	 Loss: 1.4612571001052856 	 train acc: 0.6081081081081081 	 eval acc: 0.4361979166666667test acc: 0.38285714285714284 	 train f1: 0.4614007213391312 	 eval f1: 0.3345257399377349 	 test f1: 0.2881408503799329
