INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7665460109710693 	 train acc: 0.13333333333333333 	 eval acc: 0.3125test acc: 0.20718232044198895 	 train f1: 0.07792207792207793 	 eval f1: 0.13443596268023747 	 test f1: 0.08037589828634605
DEBUG:root:Epoch: 1 	 Loss: 1.736681580543518 	 train acc: 0.2 	 eval acc: 0.2734375test acc: 0.2541436464088398 	 train f1: 0.11666666666666665 	 eval f1: 0.14324846922333226 	 test f1: 0.15185833433151094
DEBUG:root:Epoch: 2 	 Loss: 1.6382204294204712 	 train acc: 0.3333333333333333 	 eval acc: 0.25test acc: 0.2154696132596685 	 train f1: 0.17424242424242423 	 eval f1: 0.16574448942869996 	 test f1: 0.14132470128359526
DEBUG:root:Epoch: 3 	 Loss: 1.6239935159683228 	 train acc: 0.4 	 eval acc: 0.2890625test acc: 0.19613259668508287 	 train f1: 0.19444444444444442 	 eval f1: 0.18876605293032497 	 test f1: 0.12564193457493705
DEBUG:root:Epoch: 4 	 Loss: 1.6644654273986816 	 train acc: 0.4 	 eval acc: 0.265625test acc: 0.20441988950276244 	 train f1: 0.19444444444444442 	 eval f1: 0.17907992710860096 	 test f1: 0.1264943263656144
DEBUG:root:Epoch: 5 	 Loss: 1.60542893409729 	 train acc: 0.4 	 eval acc: 0.3203125test acc: 0.2541436464088398 	 train f1: 0.19444444444444442 	 eval f1: 0.2136752136752137 	 test f1: 0.1309975466019172
DEBUG:root:Epoch: 6 	 Loss: 1.5907574892044067 	 train acc: 0.4 	 eval acc: 0.265625test acc: 0.2541436464088398 	 train f1: 0.1858974358974359 	 eval f1: 0.1444185444185444 	 test f1: 0.12779081663356803
DEBUG:root:Epoch: 7 	 Loss: 1.4193308353424072 	 train acc: 0.4666666666666667 	 eval acc: 0.3515625test acc: 0.2569060773480663 	 train f1: 0.27777777777777773 	 eval f1: 0.19608932461873638 	 test f1: 0.13525594220227155
DEBUG:root:Epoch: 8 	 Loss: 1.551047682762146 	 train acc: 0.6 	 eval acc: 0.3046875test acc: 0.281767955801105 	 train f1: 0.4166666666666666 	 eval f1: 0.2259920634920635 	 test f1: 0.21305182977314127
DEBUG:root:Epoch: 9 	 Loss: 1.5858664512634277 	 train acc: 0.6666666666666666 	 eval acc: 0.3515625test acc: 0.35359116022099446 	 train f1: 0.4761904761904761 	 eval f1: 0.32060041407867496 	 test f1: 0.30523898522619747
DEBUG:root:Epoch: 10 	 Loss: 1.411399006843567 	 train acc: 0.7333333333333333 	 eval acc: 0.40625test acc: 0.3729281767955801 	 train f1: 0.5261904761904762 	 eval f1: 0.3653397020262766 	 test f1: 0.3228208152322203
DEBUG:root:Epoch: 11 	 Loss: 1.522256851196289 	 train acc: 0.8 	 eval acc: 0.3828125test acc: 0.3701657458563536 	 train f1: 0.5833333333333334 	 eval f1: 0.34124144360873193 	 test f1: 0.32100076318476006
DEBUG:root:Epoch: 12 	 Loss: 1.5378040075302124 	 train acc: 0.7333333333333333 	 eval acc: 0.375test acc: 0.3839779005524862 	 train f1: 0.5444444444444444 	 eval f1: 0.33570226070226067 	 test f1: 0.33040724321778914
DEBUG:root:Epoch: 13 	 Loss: 1.3829119205474854 	 train acc: 0.7333333333333333 	 eval acc: 0.34375test acc: 0.40607734806629836 	 train f1: 0.5277777777777778 	 eval f1: 0.31407763191372334 	 test f1: 0.3443891332248589
DEBUG:root:Epoch: 14 	 Loss: 1.4340205192565918 	 train acc: 0.7333333333333333 	 eval acc: 0.4140625test acc: 0.40331491712707185 	 train f1: 0.5277777777777778 	 eval f1: 0.36118411830670033 	 test f1: 0.3385001980590216
DEBUG:root:Epoch: 15 	 Loss: 1.4722927808761597 	 train acc: 0.7333333333333333 	 eval acc: 0.4140625test acc: 0.40331491712707185 	 train f1: 0.5277777777777778 	 eval f1: 0.33592369477911643 	 test f1: 0.33890363488903635
DEBUG:root:Epoch: 16 	 Loss: 1.3868305683135986 	 train acc: 0.7333333333333333 	 eval acc: 0.3515625test acc: 0.40331491712707185 	 train f1: 0.5277777777777778 	 eval f1: 0.3134908013458995 	 test f1: 0.3381331283770308
DEBUG:root:Epoch: 17 	 Loss: 1.393144965171814 	 train acc: 0.8 	 eval acc: 0.3828125test acc: 0.40607734806629836 	 train f1: 0.5878787878787879 	 eval f1: 0.3391014739229025 	 test f1: 0.3472356499244269
DEBUG:root:Epoch: 18 	 Loss: 1.3574460744857788 	 train acc: 0.8 	 eval acc: 0.390625test acc: 0.3867403314917127 	 train f1: 0.5873015873015873 	 eval f1: 0.3601482259570495 	 test f1: 0.33475277802418285
DEBUG:root:Epoch: 19 	 Loss: 1.3277910947799683 	 train acc: 0.8 	 eval acc: 0.421875test acc: 0.3729281767955801 	 train f1: 0.5873015873015873 	 eval f1: 0.3634666681317837 	 test f1: 0.3264994216310006
DEBUG:root:Epoch: 20 	 Loss: 1.2850322723388672 	 train acc: 0.8 	 eval acc: 0.390625test acc: 0.3756906077348066 	 train f1: 0.5833333333333334 	 eval f1: 0.34141232052437614 	 test f1: 0.3283094023284723
DEBUG:root:Epoch: 21 	 Loss: 1.318642020225525 	 train acc: 0.8 	 eval acc: 0.3828125test acc: 0.3729281767955801 	 train f1: 0.5833333333333334 	 eval f1: 0.33020663170786463 	 test f1: 0.31996995888046803
