INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7812591791152954 	 train acc: 0.13333333333333333 	 eval acc: 0.328125test acc: 0.2569060773480663 	 train f1: 0.04444444444444445 	 eval f1: 0.16393442622950818 	 test f1: 0.16661004953998584
DEBUG:root:Epoch: 1 	 Loss: 1.7186846733093262 	 train acc: 0.2 	 eval acc: 0.2890625test acc: 0.27624309392265195 	 train f1: 0.10833333333333334 	 eval f1: 0.14605959342801447 	 test f1: 0.14341601129259932
DEBUG:root:Epoch: 2 	 Loss: 1.6415956020355225 	 train acc: 0.3333333333333333 	 eval acc: 0.4140625test acc: 0.3259668508287293 	 train f1: 0.2328042328042328 	 eval f1: 0.24627450980392154 	 test f1: 0.22360528360528362
DEBUG:root:Epoch: 3 	 Loss: 1.622892141342163 	 train acc: 0.4666666666666667 	 eval acc: 0.4609375test acc: 0.35911602209944754 	 train f1: 0.36693121693121694 	 eval f1: 0.287395101369693 	 test f1: 0.2649860094079161
DEBUG:root:Epoch: 4 	 Loss: 1.5703380107879639 	 train acc: 0.6 	 eval acc: 0.453125test acc: 0.4281767955801105 	 train f1: 0.4947089947089947 	 eval f1: 0.3750178476494266 	 test f1: 0.36418582375478925
DEBUG:root:Epoch: 5 	 Loss: 1.5837006568908691 	 train acc: 0.6666666666666666 	 eval acc: 0.4140625test acc: 0.3425414364640884 	 train f1: 0.5740740740740741 	 eval f1: 0.35385893246187367 	 test f1: 0.29072767698736995
DEBUG:root:Epoch: 6 	 Loss: 1.5661123991012573 	 train acc: 0.6666666666666666 	 eval acc: 0.3828125test acc: 0.3259668508287293 	 train f1: 0.5740740740740741 	 eval f1: 0.33055936260804414 	 test f1: 0.2542609089610818
DEBUG:root:Epoch: 7 	 Loss: 1.4147429466247559 	 train acc: 0.6666666666666666 	 eval acc: 0.453125test acc: 0.31767955801104975 	 train f1: 0.5648148148148148 	 eval f1: 0.37778842748416785 	 test f1: 0.2513546447581289
DEBUG:root:Epoch: 8 	 Loss: 1.5218535661697388 	 train acc: 0.6666666666666666 	 eval acc: 0.4375test acc: 0.36464088397790057 	 train f1: 0.5648148148148148 	 eval f1: 0.3676062256190698 	 test f1: 0.32222619261250546
DEBUG:root:Epoch: 9 	 Loss: 1.5278065204620361 	 train acc: 0.6666666666666666 	 eval acc: 0.4296875test acc: 0.38950276243093923 	 train f1: 0.5648148148148148 	 eval f1: 0.36641414141414147 	 test f1: 0.34481897704493897
DEBUG:root:Epoch: 10 	 Loss: 1.3443217277526855 	 train acc: 0.6666666666666666 	 eval acc: 0.46875test acc: 0.4005524861878453 	 train f1: 0.5648148148148148 	 eval f1: 0.4061338017859757 	 test f1: 0.352080781571594
DEBUG:root:Epoch: 11 	 Loss: 1.4723317623138428 	 train acc: 0.6666666666666666 	 eval acc: 0.5test acc: 0.4005524861878453 	 train f1: 0.5648148148148148 	 eval f1: 0.42314534948806054 	 test f1: 0.3514531709906155
