INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7713221311569214 	 train acc: 0.26666666666666666 	 eval acc: 0.34375test acc: 0.26243093922651933 	 train f1: 0.20000000000000004 	 eval f1: 0.2057390920640462 	 test f1: 0.1687313934504946
DEBUG:root:Epoch: 1 	 Loss: 1.6370724439620972 	 train acc: 0.4666666666666667 	 eval acc: 0.3359375test acc: 0.3259668508287293 	 train f1: 0.38333333333333336 	 eval f1: 0.26354809551596703 	 test f1: 0.23062107254191863
DEBUG:root:Epoch: 2 	 Loss: 1.5080868005752563 	 train acc: 0.4666666666666667 	 eval acc: 0.4609375test acc: 0.40607734806629836 	 train f1: 0.35185185185185186 	 eval f1: 0.3621439443357252 	 test f1: 0.3396789485024779
DEBUG:root:Epoch: 3 	 Loss: 1.4711610078811646 	 train acc: 0.4 	 eval acc: 0.4609375test acc: 0.43370165745856354 	 train f1: 0.3074074074074074 	 eval f1: 0.38745697074010327 	 test f1: 0.3572694731296362
DEBUG:root:Epoch: 4 	 Loss: 1.4752159118652344 	 train acc: 0.6 	 eval acc: 0.484375test acc: 0.4585635359116022 	 train f1: 0.4801587301587302 	 eval f1: 0.4124248760537079 	 test f1: 0.382209202535498
DEBUG:root:Epoch: 5 	 Loss: 1.5219131708145142 	 train acc: 0.6666666666666666 	 eval acc: 0.5390625test acc: 0.5193370165745856 	 train f1: 0.5595238095238095 	 eval f1: 0.44709796376463046 	 test f1: 0.4291651742653097
DEBUG:root:Epoch: 6 	 Loss: 1.4256304502487183 	 train acc: 0.6666666666666666 	 eval acc: 0.5703125test acc: 0.5386740331491713 	 train f1: 0.5595238095238095 	 eval f1: 0.48439121494149967 	 test f1: 0.4458313334175403
DEBUG:root:Epoch: 7 	 Loss: 1.2412793636322021 	 train acc: 0.6666666666666666 	 eval acc: 0.59375test acc: 0.5469613259668509 	 train f1: 0.5595238095238095 	 eval f1: 0.4832280736457766 	 test f1: 0.46493928976231685
DEBUG:root:Epoch: 8 	 Loss: 1.3742469549179077 	 train acc: 0.6666666666666666 	 eval acc: 0.5390625test acc: 0.5331491712707183 	 train f1: 0.5595238095238095 	 eval f1: 0.46098057849892154 	 test f1: 0.45297040827401047
DEBUG:root:Epoch: 9 	 Loss: 1.4313405752182007 	 train acc: 0.7333333333333333 	 eval acc: 0.515625test acc: 0.5359116022099447 	 train f1: 0.6380952380952382 	 eval f1: 0.45114700718149 	 test f1: 0.4554142171458761
DEBUG:root:Epoch: 10 	 Loss: 1.195614218711853 	 train acc: 0.7333333333333333 	 eval acc: 0.546875test acc: 0.5331491712707183 	 train f1: 0.6380952380952382 	 eval f1: 0.4901309021973345 	 test f1: 0.44979246457870103
DEBUG:root:Epoch: 11 	 Loss: 1.3580348491668701 	 train acc: 0.8 	 eval acc: 0.5703125test acc: 0.5828729281767956 	 train f1: 0.6984126984126985 	 eval f1: 0.5231922823160184 	 test f1: 0.5192488892626742
DEBUG:root:Epoch: 12 	 Loss: 1.282817006111145 	 train acc: 0.9333333333333333 	 eval acc: 0.671875test acc: 0.6740331491712708 	 train f1: 0.8095238095238096 	 eval f1: 0.6153751179321597 	 test f1: 0.6026370926495671
DEBUG:root:Epoch: 13 	 Loss: 1.2920310497283936 	 train acc: 0.9333333333333333 	 eval acc: 0.6015625test acc: 0.6740331491712708 	 train f1: 0.8095238095238096 	 eval f1: 0.5685889007078031 	 test f1: 0.5998688109643165
DEBUG:root:Epoch: 14 	 Loss: 1.2465249300003052 	 train acc: 0.9333333333333333 	 eval acc: 0.625test acc: 0.6602209944751382 	 train f1: 0.8095238095238096 	 eval f1: 0.5687825127984703 	 test f1: 0.5862284862284862
DEBUG:root:Epoch: 15 	 Loss: 1.2928730249404907 	 train acc: 0.9333333333333333 	 eval acc: 0.6796875test acc: 0.643646408839779 	 train f1: 0.8095238095238096 	 eval f1: 0.6105924008271154 	 test f1: 0.5726136346826003
DEBUG:root:Epoch: 16 	 Loss: 1.2995562553405762 	 train acc: 0.9333333333333333 	 eval acc: 0.6171875test acc: 0.6353591160220995 	 train f1: 0.8095238095238096 	 eval f1: 0.5721496394768751 	 test f1: 0.5662228863275661
DEBUG:root:Epoch: 17 	 Loss: 1.1504137516021729 	 train acc: 0.9333333333333333 	 eval acc: 0.640625test acc: 0.6353591160220995 	 train f1: 0.8095238095238096 	 eval f1: 0.5916060579133355 	 test f1: 0.5660734083068136
DEBUG:root:Epoch: 18 	 Loss: 1.2189948558807373 	 train acc: 1.0 	 eval acc: 0.6328125test acc: 0.6353591160220995 	 train f1: 1.0 	 eval f1: 0.5829346351167982 	 test f1: 0.5667761623571189
DEBUG:root:Epoch: 19 	 Loss: 1.2080786228179932 	 train acc: 1.0 	 eval acc: 0.59375test acc: 0.638121546961326 	 train f1: 1.0 	 eval f1: 0.5432398600465826 	 test f1: 0.5689817689976904
DEBUG:root:Epoch: 20 	 Loss: 1.038942575454712 	 train acc: 1.0 	 eval acc: 0.6171875test acc: 0.6353591160220995 	 train f1: 1.0 	 eval f1: 0.5652138477428896 	 test f1: 0.5703324619795506
DEBUG:root:Epoch: 21 	 Loss: 1.1591190099716187 	 train acc: 1.0 	 eval acc: 0.5703125test acc: 0.6270718232044199 	 train f1: 1.0 	 eval f1: 0.5346324640967498 	 test f1: 0.5621946073601422
DEBUG:root:Epoch: 22 	 Loss: 1.1448042392730713 	 train acc: 1.0 	 eval acc: 0.6015625test acc: 0.638121546961326 	 train f1: 1.0 	 eval f1: 0.5541292041292042 	 test f1: 0.5881568682777158
DEBUG:root:Epoch: 23 	 Loss: 1.0842474699020386 	 train acc: 1.0 	 eval acc: 0.625test acc: 0.649171270718232 	 train f1: 1.0 	 eval f1: 0.5901824893124994 	 test f1: 0.6077366331521675
DEBUG:root:Epoch: 24 	 Loss: 1.0892715454101562 	 train acc: 1.0 	 eval acc: 0.625test acc: 0.6657458563535912 	 train f1: 1.0 	 eval f1: 0.5731824211685609 	 test f1: 0.6277535793066193
DEBUG:root:Epoch: 25 	 Loss: 1.1248939037322998 	 train acc: 1.0 	 eval acc: 0.5859375test acc: 0.6629834254143646 	 train f1: 1.0 	 eval f1: 0.5518262077914107 	 test f1: 0.6285919540672107
DEBUG:root:Epoch: 26 	 Loss: 1.091718077659607 	 train acc: 1.0 	 eval acc: 0.5859375test acc: 0.6602209944751382 	 train f1: 1.0 	 eval f1: 0.5689789285248184 	 test f1: 0.6284898692599762
DEBUG:root:Epoch: 27 	 Loss: 1.1574970483779907 	 train acc: 1.0 	 eval acc: 0.6015625test acc: 0.6602209944751382 	 train f1: 1.0 	 eval f1: 0.6187218357502344 	 test f1: 0.6294184712432039
DEBUG:root:Epoch: 28 	 Loss: 0.9924089908599854 	 train acc: 0.9333333333333333 	 eval acc: 0.5859375test acc: 0.6602209944751382 	 train f1: 0.8148148148148149 	 eval f1: 0.5519595660569291 	 test f1: 0.6299134374773364
DEBUG:root:Epoch: 29 	 Loss: 1.0764681100845337 	 train acc: 0.9333333333333333 	 eval acc: 0.5859375test acc: 0.6408839779005525 	 train f1: 0.8148148148148149 	 eval f1: 0.535711606724265 	 test f1: 0.6051225238264915
DEBUG:root:Epoch: 30 	 Loss: 1.0430493354797363 	 train acc: 0.9333333333333333 	 eval acc: 0.5625test acc: 0.6325966850828729 	 train f1: 0.8148148148148149 	 eval f1: 0.533912009473155 	 test f1: 0.5928288834506593
DEBUG:root:Epoch: 31 	 Loss: 0.9823949337005615 	 train acc: 0.9333333333333333 	 eval acc: 0.5390625test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5207918237776802 	 test f1: 0.5605919110390144
DEBUG:root:Epoch: 32 	 Loss: 1.0673047304153442 	 train acc: 0.9333333333333333 	 eval acc: 0.6015625test acc: 0.6104972375690608 	 train f1: 0.8148148148148149 	 eval f1: 0.5529439532099106 	 test f1: 0.552639843032786
DEBUG:root:Epoch: 33 	 Loss: 1.0695933103561401 	 train acc: 0.9333333333333333 	 eval acc: 0.546875test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5202161146347192 	 test f1: 0.5573248363474546
DEBUG:root:Epoch: 34 	 Loss: 0.9862673878669739 	 train acc: 0.9333333333333333 	 eval acc: 0.5546875test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5222885881777811 	 test f1: 0.557904968406607
DEBUG:root:Epoch: 35 	 Loss: 1.027184009552002 	 train acc: 0.9333333333333333 	 eval acc: 0.59375test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5380719491478986 	 test f1: 0.5573248363474546
DEBUG:root:Epoch: 36 	 Loss: 1.0327669382095337 	 train acc: 0.9333333333333333 	 eval acc: 0.578125test acc: 0.6160220994475138 	 train f1: 0.8148148148148149 	 eval f1: 0.5677856144658312 	 test f1: 0.5627657130039275
DEBUG:root:Epoch: 37 	 Loss: 1.1343939304351807 	 train acc: 0.9333333333333333 	 eval acc: 0.65625test acc: 0.6187845303867403 	 train f1: 0.8148148148148149 	 eval f1: 0.5967941240905111 	 test f1: 0.5681041440432931
DEBUG:root:Epoch: 38 	 Loss: 1.1823285818099976 	 train acc: 0.9333333333333333 	 eval acc: 0.5703125test acc: 0.6160220994475138 	 train f1: 0.8148148148148149 	 eval f1: 0.5667139479905438 	 test f1: 0.5650158268578784
DEBUG:root:Epoch: 39 	 Loss: 1.0017229318618774 	 train acc: 0.9333333333333333 	 eval acc: 0.5859375test acc: 0.6104972375690608 	 train f1: 0.8148148148148149 	 eval f1: 0.5560954473403174 	 test f1: 0.5587820793435526
DEBUG:root:Epoch: 40 	 Loss: 0.9488617181777954 	 train acc: 0.9333333333333333 	 eval acc: 0.546875test acc: 0.6077348066298343 	 train f1: 0.8148148148148149 	 eval f1: 0.5313536528071412 	 test f1: 0.5566366372328949
DEBUG:root:Epoch: 41 	 Loss: 0.9789380431175232 	 train acc: 1.0 	 eval acc: 0.59375test acc: 0.6215469613259669 	 train f1: 1.0 	 eval f1: 0.5965863642919185 	 test f1: 0.5765353127422093
DEBUG:root:Epoch: 42 	 Loss: 0.9263889193534851 	 train acc: 1.0 	 eval acc: 0.59375test acc: 0.6464088397790055 	 train f1: 1.0 	 eval f1: 0.5870923255752117 	 test f1: 0.6163269278670424
DEBUG:root:Epoch: 43 	 Loss: 0.984599769115448 	 train acc: 0.9333333333333333 	 eval acc: 0.5859375test acc: 0.6243093922651933 	 train f1: 0.8095238095238096 	 eval f1: 0.5508597682510725 	 test f1: 0.5769643470153395
DEBUG:root:Epoch: 44 	 Loss: 0.9152504205703735 	 train acc: 1.0 	 eval acc: 0.5703125test acc: 0.638121546961326 	 train f1: 1.0 	 eval f1: 0.5483580746738641 	 test f1: 0.6004325273795833
DEBUG:root:Epoch: 45 	 Loss: 0.8585397601127625 	 train acc: 1.0 	 eval acc: 0.5546875test acc: 0.649171270718232 	 train f1: 1.0 	 eval f1: 0.534552907811211 	 test f1: 0.6178520412675342
DEBUG:root:Epoch: 46 	 Loss: 0.9099830985069275 	 train acc: 1.0 	 eval acc: 0.59375test acc: 0.6160220994475138 	 train f1: 1.0 	 eval f1: 0.5893677220712105 	 test f1: 0.567787207822419
DEBUG:root:Epoch: 47 	 Loss: 1.028907060623169 	 train acc: 0.9333333333333333 	 eval acc: 0.5859375test acc: 0.6077348066298343 	 train f1: 0.8148148148148149 	 eval f1: 0.5714376464376464 	 test f1: 0.5573008391471067
DEBUG:root:Epoch: 48 	 Loss: 1.027774691581726 	 train acc: 0.9333333333333333 	 eval acc: 0.5546875test acc: 0.6077348066298343 	 train f1: 0.8148148148148149 	 eval f1: 0.5657902554961378 	 test f1: 0.5573008391471067
DEBUG:root:Epoch: 49 	 Loss: 0.823091447353363 	 train acc: 0.9333333333333333 	 eval acc: 0.578125test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5548929325515967 	 test f1: 0.5674698043094916
DEBUG:root:Epoch: 50 	 Loss: 0.9342696070671082 	 train acc: 0.9333333333333333 	 eval acc: 0.578125test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.540769006751035 	 test f1: 0.5674698043094916
DEBUG:root:Epoch: 51 	 Loss: 0.7970341444015503 	 train acc: 0.9333333333333333 	 eval acc: 0.546875test acc: 0.6132596685082873 	 train f1: 0.8148148148148149 	 eval f1: 0.5186295005807201 	 test f1: 0.5674698043094916
DEBUG:root:Epoch: 52 	 Loss: 0.8092795014381409 	 train acc: 0.9333333333333333 	 eval acc: 0.6171875test acc: 0.6077348066298343 	 train f1: 0.8148148148148149 	 eval f1: 0.5602963866121761 	 test f1: 0.5613984448651089
DEBUG:root:Epoch: 53 	 Loss: 0.7969042658805847 	 train acc: 0.9333333333333333 	 eval acc: 0.53125test acc: 0.6104972375690608 	 train f1: 0.8148148148148149 	 eval f1: 0.5381228498007693 	 test f1: 0.5664663025544501
