INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.6999201774597168 	 train acc: 0.3888888888888889 	 eval acc: 0.34375test acc: 0.33261802575107297 	 train f1: 0.25757575757575757 	 eval f1: 0.258946608946609 	 test f1: 0.23756598405804508
DEBUG:root:Epoch: 1 	 Loss: 1.6972899436950684 	 train acc: 0.3888888888888889 	 eval acc: 0.33203125test acc: 0.2575107296137339 	 train f1: 0.2880952380952381 	 eval f1: 0.2076041687692173 	 test f1: 0.1761795688889054
DEBUG:root:Epoch: 2 	 Loss: 1.6617484092712402 	 train acc: 0.3888888888888889 	 eval acc: 0.28125test acc: 0.2317596566523605 	 train f1: 0.2880952380952381 	 eval f1: 0.18517680843164444 	 test f1: 0.16772941998316793
DEBUG:root:Epoch: 3 	 Loss: 1.589287519454956 	 train acc: 0.3888888888888889 	 eval acc: 0.3359375test acc: 0.2918454935622318 	 train f1: 0.2880952380952381 	 eval f1: 0.2502527505203687 	 test f1: 0.2389473593042661
DEBUG:root:Epoch: 4 	 Loss: 1.636878490447998 	 train acc: 0.4444444444444444 	 eval acc: 0.30078125test acc: 0.296137339055794 	 train f1: 0.3333333333333333 	 eval f1: 0.24961816515629773 	 test f1: 0.26839623115224626
DEBUG:root:Epoch: 5 	 Loss: 1.665771245956421 	 train acc: 0.3888888888888889 	 eval acc: 0.31640625test acc: 0.30042918454935624 	 train f1: 0.3002645502645503 	 eval f1: 0.2601969578261844 	 test f1: 0.2685387923964397
DEBUG:root:Epoch: 6 	 Loss: 1.6046175956726074 	 train acc: 0.2777777777777778 	 eval acc: 0.3671875test acc: 0.3497854077253219 	 train f1: 0.2537037037037037 	 eval f1: 0.3116095219908779 	 test f1: 0.32293814237493834
DEBUG:root:Epoch: 7 	 Loss: 1.5899665355682373 	 train acc: 0.3333333333333333 	 eval acc: 0.3828125test acc: 0.3969957081545064 	 train f1: 0.2976190476190476 	 eval f1: 0.3426842810939163 	 test f1: 0.3587155369456436
DEBUG:root:Epoch: 8 	 Loss: 1.5126088857650757 	 train acc: 0.4444444444444444 	 eval acc: 0.453125test acc: 0.34763948497854075 	 train f1: 0.3409090909090909 	 eval f1: 0.3735111393285913 	 test f1: 0.3082844974735379
DEBUG:root:Epoch: 9 	 Loss: 1.419814109802246 	 train acc: 0.4444444444444444 	 eval acc: 0.44921875test acc: 0.3540772532188841 	 train f1: 0.3409090909090909 	 eval f1: 0.3754894201320242 	 test f1: 0.3125850935419066
DEBUG:root:Epoch: 10 	 Loss: 1.4439620971679688 	 train acc: 0.5 	 eval acc: 0.43359375test acc: 0.44420600858369097 	 train f1: 0.42777777777777776 	 eval f1: 0.38743466385540165 	 test f1: 0.391723552344744
DEBUG:root:Epoch: 11 	 Loss: 1.5024583339691162 	 train acc: 0.5555555555555556 	 eval acc: 0.46484375test acc: 0.4184549356223176 	 train f1: 0.4669312169312169 	 eval f1: 0.39540929003294595 	 test f1: 0.37053649071538014
DEBUG:root:Epoch: 12 	 Loss: 1.5005669593811035 	 train acc: 0.4444444444444444 	 eval acc: 0.4765625test acc: 0.3369098712446352 	 train f1: 0.35978835978835977 	 eval f1: 0.38676523569995047 	 test f1: 0.2676946091783085
DEBUG:root:Epoch: 13 	 Loss: 1.4699243307113647 	 train acc: 0.3888888888888889 	 eval acc: 0.41015625test acc: 0.30257510729613735 	 train f1: 0.2962962962962963 	 eval f1: 0.31624811994937574 	 test f1: 0.2139671789524474
DEBUG:root:Epoch: 14 	 Loss: 1.4250152111053467 	 train acc: 0.4444444444444444 	 eval acc: 0.35546875test acc: 0.5021459227467812 	 train f1: 0.3642857142857143 	 eval f1: 0.2669162116471846 	 test f1: 0.4450191657792808
DEBUG:root:Epoch: 15 	 Loss: 1.3977437019348145 	 train acc: 0.5 	 eval acc: 0.3359375test acc: 0.5214592274678111 	 train f1: 0.4380952380952381 	 eval f1: 0.27003989051945027 	 test f1: 0.4915465348499279
DEBUG:root:Epoch: 16 	 Loss: 1.4007019996643066 	 train acc: 0.5 	 eval acc: 0.38671875test acc: 0.5 	 train f1: 0.41422466422466425 	 eval f1: 0.31073249249503837 	 test f1: 0.45233591691085356
DEBUG:root:Epoch: 17 	 Loss: 1.374799132347107 	 train acc: 0.6111111111111112 	 eval acc: 0.41796875test acc: 0.4721030042918455 	 train f1: 0.553968253968254 	 eval f1: 0.34143983736300215 	 test f1: 0.4268529843078926
DEBUG:root:Epoch: 18 	 Loss: 1.4639670848846436 	 train acc: 0.6666666666666666 	 eval acc: 0.40234375test acc: 0.388412017167382 	 train f1: 0.6206349206349207 	 eval f1: 0.34058943050699547 	 test f1: 0.3357886305843955
DEBUG:root:Epoch: 19 	 Loss: 1.352163553237915 	 train acc: 0.7222222222222222 	 eval acc: 0.515625test acc: 0.4356223175965665 	 train f1: 0.6527777777777778 	 eval f1: 0.4518253693665988 	 test f1: 0.4096690913257757
DEBUG:root:Epoch: 20 	 Loss: 1.3338028192520142 	 train acc: 0.7777777777777778 	 eval acc: 0.49609375test acc: 0.6072961373390557 	 train f1: 0.7206349206349206 	 eval f1: 0.4818500686697065 	 test f1: 0.5923850053602466
DEBUG:root:Epoch: 21 	 Loss: 1.4142025709152222 	 train acc: 0.7777777777777778 	 eval acc: 0.5test acc: 0.6180257510729614 	 train f1: 0.7206349206349206 	 eval f1: 0.4820861678004535 	 test f1: 0.6013969674502145
DEBUG:root:Epoch: 22 	 Loss: 1.2606749534606934 	 train acc: 0.7777777777777778 	 eval acc: 0.5234375test acc: 0.5901287553648069 	 train f1: 0.7206349206349206 	 eval f1: 0.5171178944719964 	 test f1: 0.5773888821623953
DEBUG:root:Epoch: 23 	 Loss: 1.3371481895446777 	 train acc: 0.6666666666666666 	 eval acc: 0.53125test acc: 0.4721030042918455 	 train f1: 0.6063492063492063 	 eval f1: 0.5298113916941779 	 test f1: 0.4632092728019133
DEBUG:root:Epoch: 24 	 Loss: 1.259832739830017 	 train acc: 0.6666666666666666 	 eval acc: 0.53125test acc: 0.463519313304721 	 train f1: 0.625 	 eval f1: 0.5064762674629967 	 test f1: 0.4645035755746317
DEBUG:root:Epoch: 25 	 Loss: 1.2382283210754395 	 train acc: 0.7777777777777778 	 eval acc: 0.6171875test acc: 0.49141630901287553 	 train f1: 0.75 	 eval f1: 0.5888729328114174 	 test f1: 0.48896039483281206
DEBUG:root:Epoch: 26 	 Loss: 1.3037174940109253 	 train acc: 0.8333333333333334 	 eval acc: 0.609375test acc: 0.5987124463519313 	 train f1: 0.8285714285714286 	 eval f1: 0.6083082098195262 	 test f1: 0.6269430090008634
DEBUG:root:Epoch: 27 	 Loss: 1.3252979516983032 	 train acc: 0.8888888888888888 	 eval acc: 0.640625test acc: 0.6781115879828327 	 train f1: 0.8888888888888888 	 eval f1: 0.645127741593586 	 test f1: 0.7074760825901558
DEBUG:root:Epoch: 28 	 Loss: 1.343520998954773 	 train acc: 0.9444444444444444 	 eval acc: 0.71875test acc: 0.7188841201716738 	 train f1: 0.942857142857143 	 eval f1: 0.7114761926705085 	 test f1: 0.7413979910317
DEBUG:root:Epoch: 29 	 Loss: 1.2836511135101318 	 train acc: 0.8888888888888888 	 eval acc: 0.75test acc: 0.721030042918455 	 train f1: 0.8857142857142857 	 eval f1: 0.7484844510862835 	 test f1: 0.7335424679911738
DEBUG:root:Epoch: 30 	 Loss: 1.211963176727295 	 train acc: 0.9444444444444444 	 eval acc: 0.76171875test acc: 0.721030042918455 	 train f1: 0.9428571428571427 	 eval f1: 0.7626468156337373 	 test f1: 0.7303104886535344
DEBUG:root:Epoch: 31 	 Loss: 1.2115315198898315 	 train acc: 0.8333333333333334 	 eval acc: 0.71484375test acc: 0.6995708154506438 	 train f1: 0.8178571428571427 	 eval f1: 0.6966913549099076 	 test f1: 0.711983680591772
DEBUG:root:Epoch: 32 	 Loss: 1.2160342931747437 	 train acc: 0.8333333333333334 	 eval acc: 0.6875test acc: 0.6394849785407726 	 train f1: 0.8178571428571427 	 eval f1: 0.6676953751217881 	 test f1: 0.6473373006802926
DEBUG:root:Epoch: 33 	 Loss: 1.2004938125610352 	 train acc: 0.7777777777777778 	 eval acc: 0.64453125test acc: 0.6051502145922747 	 train f1: 0.75 	 eval f1: 0.6068191273521754 	 test f1: 0.5974815340126848
