INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8855890035629272 	 train acc: 0.13333333333333333 	 eval acc: 0.1875test acc: 0.17679558011049723 	 train f1: 0.0392156862745098 	 eval f1: 0.052980132450331126 	 test f1: 0.05019607843137255
DEBUG:root:Epoch: 1 	 Loss: 1.776678204536438 	 train acc: 0.13333333333333333 	 eval acc: 0.1796875test acc: 0.17679558011049723 	 train f1: 0.0392156862745098 	 eval f1: 0.05077262693156733 	 test f1: 0.05019607843137255
DEBUG:root:Epoch: 2 	 Loss: 1.7142404317855835 	 train acc: 0.13333333333333333 	 eval acc: 0.203125test acc: 0.17679558011049723 	 train f1: 0.0392156862745098 	 eval f1: 0.05627705627705628 	 test f1: 0.05019607843137255
DEBUG:root:Epoch: 3 	 Loss: 1.7146077156066895 	 train acc: 0.4 	 eval acc: 0.3125test acc: 0.292817679558011 	 train f1: 0.1851851851851852 	 eval f1: 0.1561011698340038 	 test f1: 0.14662651714430752
DEBUG:root:Epoch: 4 	 Loss: 1.661744236946106 	 train acc: 0.4 	 eval acc: 0.21875test acc: 0.23756906077348067 	 train f1: 0.1858974358974359 	 eval f1: 0.12169312169312169 	 test f1: 0.1156426588273722
DEBUG:root:Epoch: 5 	 Loss: 1.6644045114517212 	 train acc: 0.4 	 eval acc: 0.234375test acc: 0.20718232044198895 	 train f1: 0.1858974358974359 	 eval f1: 0.12624798711755233 	 test f1: 0.0956021735453937
DEBUG:root:Epoch: 6 	 Loss: 1.6389328241348267 	 train acc: 0.4666666666666667 	 eval acc: 0.2421875test acc: 0.31767955801104975 	 train f1: 0.2644688644688645 	 eval f1: 0.18525641025641024 	 test f1: 0.2239130083272698
DEBUG:root:Epoch: 7 	 Loss: 1.5777068138122559 	 train acc: 0.5333333333333333 	 eval acc: 0.328125test acc: 0.3370165745856354 	 train f1: 0.32142857142857145 	 eval f1: 0.268308631211857 	 test f1: 0.22658299234078272
DEBUG:root:Epoch: 8 	 Loss: 1.6032453775405884 	 train acc: 0.6 	 eval acc: 0.3515625test acc: 0.3453038674033149 	 train f1: 0.3803418803418803 	 eval f1: 0.2844712885154062 	 test f1: 0.23465211431760732
DEBUG:root:Epoch: 9 	 Loss: 1.6342130899429321 	 train acc: 0.6 	 eval acc: 0.3671875test acc: 0.34806629834254144 	 train f1: 0.3803418803418803 	 eval f1: 0.30735620413039766 	 test f1: 0.24066175335420095
DEBUG:root:Epoch: 10 	 Loss: 1.5516180992126465 	 train acc: 0.4666666666666667 	 eval acc: 0.34375test acc: 0.35911602209944754 	 train f1: 0.3703703703703704 	 eval f1: 0.3419932736325249 	 test f1: 0.2979751186162065
DEBUG:root:Epoch: 11 	 Loss: 1.544219970703125 	 train acc: 0.5333333333333333 	 eval acc: 0.2890625test acc: 0.3425414364640884 	 train f1: 0.4537037037037037 	 eval f1: 0.299227441617068 	 test f1: 0.33330192245150836
DEBUG:root:Epoch: 12 	 Loss: 1.6272386312484741 	 train acc: 0.7333333333333333 	 eval acc: 0.3828125test acc: 0.39779005524861877 	 train f1: 0.5648148148148148 	 eval f1: 0.3379707438530968 	 test f1: 0.3504531454299064
DEBUG:root:Epoch: 13 	 Loss: 1.4780175685882568 	 train acc: 0.6666666666666666 	 eval acc: 0.3671875test acc: 0.39226519337016574 	 train f1: 0.4358974358974359 	 eval f1: 0.31742970468607384 	 test f1: 0.3141784151044569
DEBUG:root:Epoch: 14 	 Loss: 1.5152878761291504 	 train acc: 0.6666666666666666 	 eval acc: 0.4140625test acc: 0.39226519337016574 	 train f1: 0.4358974358974359 	 eval f1: 0.36351495726495725 	 test f1: 0.3008472115748823
DEBUG:root:Epoch: 15 	 Loss: 1.5346465110778809 	 train acc: 0.6666666666666666 	 eval acc: 0.3984375test acc: 0.38950276243093923 	 train f1: 0.4358974358974359 	 eval f1: 0.29853450492784406 	 test f1: 0.29164975691057826
DEBUG:root:Epoch: 16 	 Loss: 1.4549654722213745 	 train acc: 0.6666666666666666 	 eval acc: 0.359375test acc: 0.3812154696132597 	 train f1: 0.4358974358974359 	 eval f1: 0.28770603623990887 	 test f1: 0.2827146661071603
