INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.9762169122695923 	 train acc: 0.0 	 eval acc: 0.19401041666666666test acc: 0.19321394910461828 	 train f1: 0.0 	 eval f1: 0.09292304859827642 	 test f1: 0.07574995810289928
DEBUG:root:Epoch: 1 	 Loss: 1.8653748035430908 	 train acc: 0.14285714285714285 	 eval acc: 0.25390625test acc: 0.2403393025447691 	 train f1: 0.09523809523809525 	 eval f1: 0.17819725857136157 	 test f1: 0.134964536162356
DEBUG:root:Epoch: 2 	 Loss: 1.7904222011566162 	 train acc: 0.21428571428571427 	 eval acc: 0.2565104166666667test acc: 0.22620169651272384 	 train f1: 0.125 	 eval f1: 0.19269345463189058 	 test f1: 0.17059356999013534
DEBUG:root:Epoch: 3 	 Loss: 1.7334034442901611 	 train acc: 0.2857142857142857 	 eval acc: 0.23828125test acc: 0.13854853911404336 	 train f1: 0.14814814814814817 	 eval f1: 0.17679703062137045 	 test f1: 0.09074044199551927
DEBUG:root:Epoch: 4 	 Loss: 1.7189301252365112 	 train acc: 0.35714285714285715 	 eval acc: 0.17057291666666666test acc: 0.09519321394910461 	 train f1: 0.25925925925925924 	 eval f1: 0.12034802049065645 	 test f1: 0.047756248651303686
DEBUG:root:Epoch: 5 	 Loss: 1.677592158317566 	 train acc: 0.42857142857142855 	 eval acc: 0.15625test acc: 0.14985862393967955 	 train f1: 0.3 	 eval f1: 0.11753163316869719 	 test f1: 0.12110535756591191
DEBUG:root:Epoch: 6 	 Loss: 1.6486762762069702 	 train acc: 0.8571428571428571 	 eval acc: 0.3229166666666667test acc: 0.44015080113100846 	 train f1: 0.5599999999999999 	 eval f1: 0.28096735202150663 	 test f1: 0.35791600330972434
DEBUG:root:Epoch: 7 	 Loss: 1.541723608970642 	 train acc: 0.8571428571428571 	 eval acc: 0.3268229166666667test acc: 0.472196041470311 	 train f1: 0.5599999999999999 	 eval f1: 0.26630258144839125 	 test f1: 0.3726296477682555
DEBUG:root:Epoch: 8 	 Loss: 1.556830644607544 	 train acc: 0.8571428571428571 	 eval acc: 0.3385416666666667test acc: 0.4655984919886899 	 train f1: 0.5599999999999999 	 eval f1: 0.26585006847153664 	 test f1: 0.3638718797525528
DEBUG:root:Epoch: 9 	 Loss: 1.5330374240875244 	 train acc: 0.8571428571428571 	 eval acc: 0.3333333333333333test acc: 0.43920829406220546 	 train f1: 0.5599999999999999 	 eval f1: 0.2500968279918897 	 test f1: 0.34076318429144464
DEBUG:root:Epoch: 10 	 Loss: 1.401119351387024 	 train acc: 0.8571428571428571 	 eval acc: 0.3268229166666667test acc: 0.40150801131008484 	 train f1: 0.5599999999999999 	 eval f1: 0.23901198848459906 	 test f1: 0.30606612681554374
DEBUG:root:Epoch: 11 	 Loss: 1.4785420894622803 	 train acc: 0.8571428571428571 	 eval acc: 0.3255208333333333test acc: 0.39585296889726673 	 train f1: 0.5599999999999999 	 eval f1: 0.23501189249513896 	 test f1: 0.30026480608210954
DEBUG:root:Epoch: 12 	 Loss: 1.4190593957901 	 train acc: 0.8571428571428571 	 eval acc: 0.3138020833333333test acc: 0.4071630537229029 	 train f1: 0.5599999999999999 	 eval f1: 0.2268250346830926 	 test f1: 0.31060271411882656
DEBUG:root:Epoch: 13 	 Loss: 1.5693913698196411 	 train acc: 0.8571428571428571 	 eval acc: 0.32421875test acc: 0.40904806786050896 	 train f1: 0.48148148148148145 	 eval f1: 0.23279306307040284 	 test f1: 0.3124450682842413
DEBUG:root:Epoch: 14 	 Loss: 1.3819243907928467 	 train acc: 0.7142857142857143 	 eval acc: 0.3138020833333333test acc: 0.4052780395852969 	 train f1: 0.2878787878787879 	 eval f1: 0.21442662025422235 	 test f1: 0.3089882078761463
DEBUG:root:Epoch: 15 	 Loss: 1.375962495803833 	 train acc: 0.7142857142857143 	 eval acc: 0.3125test acc: 0.3883129123468426 	 train f1: 0.2878787878787879 	 eval f1: 0.2098598746842529 	 test f1: 0.29274651167714755
DEBUG:root:Epoch: 16 	 Loss: 1.3652660846710205 	 train acc: 0.7142857142857143 	 eval acc: 0.3268229166666667test acc: 0.34967012252591895 	 train f1: 0.2878787878787879 	 eval f1: 0.21788498937074405 	 test f1: 0.25040811997949813
DEBUG:root:Epoch: 17 	 Loss: 1.3094727993011475 	 train acc: 0.7857142857142857 	 eval acc: 0.33984375test acc: 0.31856738925541944 	 train f1: 0.41111111111111115 	 eval f1: 0.22852072008804658 	 test f1: 0.20919799705634443
DEBUG:root:Epoch: 18 	 Loss: 1.3930984735488892 	 train acc: 0.8571428571428571 	 eval acc: 0.3450520833333333test acc: 0.3176248821866164 	 train f1: 0.48148148148148145 	 eval f1: 0.24138737414039765 	 test f1: 0.20766116979267943
DEBUG:root:Epoch: 19 	 Loss: 1.304141640663147 	 train acc: 0.9285714285714286 	 eval acc: 0.34375test acc: 0.3176248821866164 	 train f1: 0.6666666666666666 	 eval f1: 0.24187647614328703 	 test f1: 0.20877513167343079
DEBUG:root:Epoch: 20 	 Loss: 1.227716326713562 	 train acc: 0.9285714285714286 	 eval acc: 0.33984375test acc: 0.3176248821866164 	 train f1: 0.6666666666666666 	 eval f1: 0.23855128605855927 	 test f1: 0.20886264927500905
DEBUG:root:Epoch: 21 	 Loss: 1.3505533933639526 	 train acc: 0.9285714285714286 	 eval acc: 0.33984375test acc: 0.3166823751178134 	 train f1: 0.6666666666666666 	 eval f1: 0.239301784046505 	 test f1: 0.2079076269271518
DEBUG:root:Epoch: 22 	 Loss: 1.2343164682388306 	 train acc: 0.9285714285714286 	 eval acc: 0.3424479166666667test acc: 0.3091423185673893 	 train f1: 0.6666666666666666 	 eval f1: 0.24536099031897354 	 test f1: 0.1963481849189822
DEBUG:root:Epoch: 23 	 Loss: 1.2854681015014648 	 train acc: 0.9285714285714286 	 eval acc: 0.3385416666666667test acc: 0.3081998114985862 	 train f1: 0.6666666666666666 	 eval f1: 0.2425565792065871 	 test f1: 0.19514051389162201
DEBUG:root:Epoch: 24 	 Loss: 1.1531966924667358 	 train acc: 0.9285714285714286 	 eval acc: 0.3372395833333333test acc: 0.3166823751178134 	 train f1: 0.6666666666666666 	 eval f1: 0.24221872727345395 	 test f1: 0.20858390555114337
DEBUG:root:Epoch: 25 	 Loss: 1.2667497396469116 	 train acc: 0.7857142857142857 	 eval acc: 0.3359375test acc: 0.3176248821866164 	 train f1: 0.4666666666666666 	 eval f1: 0.23413489179475402 	 test f1: 0.21083328480971023
DEBUG:root:Epoch: 26 	 Loss: 1.224341630935669 	 train acc: 0.7142857142857143 	 eval acc: 0.3359375test acc: 0.31385485391140433 	 train f1: 0.2878787878787879 	 eval f1: 0.23235210486800995 	 test f1: 0.20530138030022071
DEBUG:root:Epoch: 27 	 Loss: 1.2928228378295898 	 train acc: 0.7857142857142857 	 eval acc: 0.3333333333333333test acc: 0.30254476908576816 	 train f1: 0.41111111111111115 	 eval f1: 0.2360505876160525 	 test f1: 0.18723154185832683
DEBUG:root:Epoch: 28 	 Loss: 1.294484257698059 	 train acc: 0.8571428571428571 	 eval acc: 0.3333333333333333test acc: 0.2865221489161169 	 train f1: 0.48148148148148145 	 eval f1: 0.23224247378207663 	 test f1: 0.1585963954385007
DEBUG:root:Epoch: 29 	 Loss: 1.1298534870147705 	 train acc: 0.8571428571428571 	 eval acc: 0.34375test acc: 0.2865221489161169 	 train f1: 0.48148148148148145 	 eval f1: 0.246172277472844 	 test f1: 0.15866940077466393
DEBUG:root:Epoch: 30 	 Loss: 1.2182458639144897 	 train acc: 0.8571428571428571 	 eval acc: 0.3450520833333333test acc: 0.2874646559849199 	 train f1: 0.48148148148148145 	 eval f1: 0.24758724672057045 	 test f1: 0.1602558603613008
DEBUG:root:Epoch: 31 	 Loss: 1.2230892181396484 	 train acc: 0.9285714285714286 	 eval acc: 0.34375test acc: 0.28934967012252594 	 train f1: 0.6666666666666666 	 eval f1: 0.24782314837004069 	 test f1: 0.16336872284064716
DEBUG:root:Epoch: 32 	 Loss: 1.2528921365737915 	 train acc: 0.9285714285714286 	 eval acc: 0.3489583333333333test acc: 0.29029217719132894 	 train f1: 0.6666666666666666 	 eval f1: 0.25684430105336303 	 test f1: 0.1650060308803942
