INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.9765112400054932 	 train acc: 0.2903225806451613 	 eval acc: 0.2109375test acc: 0.15691736304549675 	 train f1: 0.15610859728506787 	 eval f1: 0.12860074485064985 	 test f1: 0.10072965856098386
DEBUG:root:Epoch: 1 	 Loss: 1.8464288711547852 	 train acc: 0.25806451612903225 	 eval acc: 0.25390625test acc: 0.2200557103064067 	 train f1: 0.12193362193362194 	 eval f1: 0.11975512227719036 	 test f1: 0.113180487687715
DEBUG:root:Epoch: 2 	 Loss: 1.7215425968170166 	 train acc: 0.25806451612903225 	 eval acc: 0.21875test acc: 0.24233983286908078 	 train f1: 0.12193362193362194 	 eval f1: 0.09767925974219081 	 test f1: 0.10854547682504671
DEBUG:root:Epoch: 3 	 Loss: 1.6109305620193481 	 train acc: 0.2903225806451613 	 eval acc: 0.25test acc: 0.24326833797585887 	 train f1: 0.13260869565217392 	 eval f1: 0.11047138850089146 	 test f1: 0.10649492424694322
DEBUG:root:Epoch: 4 	 Loss: 1.6531139612197876 	 train acc: 0.2903225806451613 	 eval acc: 0.26171875test acc: 0.2404828226555246 	 train f1: 0.13260869565217392 	 eval f1: 0.1078042328042328 	 test f1: 0.106171938984439
DEBUG:root:Epoch: 5 	 Loss: 1.6460316181182861 	 train acc: 0.2903225806451613 	 eval acc: 0.25390625test acc: 0.23862581244196843 	 train f1: 0.13260869565217392 	 eval f1: 0.11168243521184697 	 test f1: 0.10769768186537547
DEBUG:root:Epoch: 6 	 Loss: 1.5637940168380737 	 train acc: 0.6451612903225806 	 eval acc: 0.515625test acc: 0.47725162488393685 	 train f1: 0.32363433667781494 	 eval f1: 0.25510840129918755 	 test f1: 0.2224184738167664
DEBUG:root:Epoch: 7 	 Loss: 1.5377495288848877 	 train acc: 0.6129032258064516 	 eval acc: 0.5078125test acc: 0.4809656453110492 	 train f1: 0.2517444981213097 	 eval f1: 0.2354953559667413 	 test f1: 0.2210265358467538
DEBUG:root:Epoch: 8 	 Loss: 1.5180267095565796 	 train acc: 0.6129032258064516 	 eval acc: 0.5234375test acc: 0.4856081708449396 	 train f1: 0.2517444981213097 	 eval f1: 0.22959277685645843 	 test f1: 0.2217663366834013
DEBUG:root:Epoch: 9 	 Loss: 1.6079155206680298 	 train acc: 0.6129032258064516 	 eval acc: 0.47265625test acc: 0.4883936861652739 	 train f1: 0.2517444981213097 	 eval f1: 0.21378679217092486 	 test f1: 0.21890003729990262
DEBUG:root:Epoch: 10 	 Loss: 1.4599921703338623 	 train acc: 0.6129032258064516 	 eval acc: 0.51171875test acc: 0.489322191272052 	 train f1: 0.2517444981213097 	 eval f1: 0.25073054282071455 	 test f1: 0.2191722964208254
DEBUG:root:Epoch: 11 	 Loss: 1.428590178489685 	 train acc: 0.6451612903225806 	 eval acc: 0.53515625test acc: 0.4921077065923863 	 train f1: 0.3681257014590347 	 eval f1: 0.31688526173760484 	 test f1: 0.23345564993055812
DEBUG:root:Epoch: 12 	 Loss: 1.5379029512405396 	 train acc: 0.6774193548387096 	 eval acc: 0.55078125test acc: 0.4958217270194986 	 train f1: 0.4294532627865961 	 eval f1: 0.3356939356939357 	 test f1: 0.26318320093524344
DEBUG:root:Epoch: 13 	 Loss: 1.4615437984466553 	 train acc: 0.6774193548387096 	 eval acc: 0.56640625test acc: 0.510677808727948 	 train f1: 0.4294532627865961 	 eval f1: 0.3402564643428431 	 test f1: 0.3035242718723828
DEBUG:root:Epoch: 14 	 Loss: 1.4032832384109497 	 train acc: 0.6774193548387096 	 eval acc: 0.58203125test acc: 0.5153203342618384 	 train f1: 0.4294532627865961 	 eval f1: 0.3536393536393536 	 test f1: 0.31248773381460454
DEBUG:root:Epoch: 15 	 Loss: 1.4705216884613037 	 train acc: 0.6774193548387096 	 eval acc: 0.5859375test acc: 0.5097493036211699 	 train f1: 0.4294532627865961 	 eval f1: 0.3464658447353319 	 test f1: 0.2998425224093097
DEBUG:root:Epoch: 16 	 Loss: 1.5804238319396973 	 train acc: 0.6774193548387096 	 eval acc: 0.54296875test acc: 0.5041782729805014 	 train f1: 0.4294532627865961 	 eval f1: 0.33628724989357167 	 test f1: 0.28448073827559145
DEBUG:root:Epoch: 17 	 Loss: 1.3390110731124878 	 train acc: 0.6774193548387096 	 eval acc: 0.53515625test acc: 0.5013927576601671 	 train f1: 0.4294532627865961 	 eval f1: 0.33828597966529 	 test f1: 0.27678267400536943
