INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.9369828701019287 	 train acc: 0.16129032258064516 	 eval acc: 0.1015625test acc: 0.11792014856081709 	 train f1: 0.07744107744107744 	 eval f1: 0.04705288946534083 	 test f1: 0.06515997814340356
DEBUG:root:Epoch: 1 	 Loss: 1.8044551610946655 	 train acc: 0.3548387096774194 	 eval acc: 0.2265625test acc: 0.18570102135561745 	 train f1: 0.18814814814814818 	 eval f1: 0.1243478752899904 	 test f1: 0.10738334001871908
DEBUG:root:Epoch: 2 	 Loss: 1.7199921607971191 	 train acc: 0.2903225806451613 	 eval acc: 0.23046875test acc: 0.1968430826369545 	 train f1: 0.13260869565217392 	 eval f1: 0.11228354978354978 	 test f1: 0.1022503048442523
DEBUG:root:Epoch: 3 	 Loss: 1.5764689445495605 	 train acc: 0.6451612903225806 	 eval acc: 0.4921875test acc: 0.4428969359331476 	 train f1: 0.32363433667781494 	 eval f1: 0.26088502295398847 	 test f1: 0.24282075742661077
DEBUG:root:Epoch: 4 	 Loss: 1.6412612199783325 	 train acc: 0.6774193548387096 	 eval acc: 0.4921875test acc: 0.4085422469823584 	 train f1: 0.3733488733488733 	 eval f1: 0.26497796569255166 	 test f1: 0.23060452692149117
DEBUG:root:Epoch: 5 	 Loss: 1.6254332065582275 	 train acc: 0.6774193548387096 	 eval acc: 0.48828125test acc: 0.40947075208913647 	 train f1: 0.3733488733488733 	 eval f1: 0.26964304726970484 	 test f1: 0.23208470328626452
DEBUG:root:Epoch: 6 	 Loss: 1.5593794584274292 	 train acc: 0.6774193548387096 	 eval acc: 0.4921875test acc: 0.4215413184772516 	 train f1: 0.3632478632478633 	 eval f1: 0.25892392484684573 	 test f1: 0.2392203631800447
DEBUG:root:Epoch: 7 	 Loss: 1.5092235803604126 	 train acc: 0.6774193548387096 	 eval acc: 0.515625test acc: 0.4382544103992572 	 train f1: 0.3576923076923077 	 eval f1: 0.27845908589704677 	 test f1: 0.24732748087771358
DEBUG:root:Epoch: 8 	 Loss: 1.4839755296707153 	 train acc: 0.6774193548387096 	 eval acc: 0.546875test acc: 0.45496750232126276 	 train f1: 0.3576923076923077 	 eval f1: 0.3001834784092849 	 test f1: 0.25514298996308
DEBUG:root:Epoch: 9 	 Loss: 1.534120798110962 	 train acc: 0.6774193548387096 	 eval acc: 0.5test acc: 0.4586815227483751 	 train f1: 0.3576923076923077 	 eval f1: 0.28932703851985786 	 test f1: 0.2621259391687407
DEBUG:root:Epoch: 10 	 Loss: 1.4222060441970825 	 train acc: 0.7419354838709677 	 eval acc: 0.515625test acc: 0.4456824512534819 	 train f1: 0.42250712250712247 	 eval f1: 0.2851196230255581 	 test f1: 0.2575222804034669
DEBUG:root:Epoch: 11 	 Loss: 1.3827699422836304 	 train acc: 0.7419354838709677 	 eval acc: 0.5390625test acc: 0.436397400185701 	 train f1: 0.42250712250712247 	 eval f1: 0.31190345295466243 	 test f1: 0.25542970371262935
DEBUG:root:Epoch: 12 	 Loss: 1.442142128944397 	 train acc: 0.7419354838709677 	 eval acc: 0.53515625test acc: 0.41968430826369546 	 train f1: 0.42250712250712247 	 eval f1: 0.3379591623205202 	 test f1: 0.24717189728329167
DEBUG:root:Epoch: 13 	 Loss: 1.428274393081665 	 train acc: 0.7419354838709677 	 eval acc: 0.54296875test acc: 0.4168987929433612 	 train f1: 0.42250712250712247 	 eval f1: 0.361623136859806 	 test f1: 0.2490347437299234
DEBUG:root:Epoch: 14 	 Loss: 1.3341726064682007 	 train acc: 0.7741935483870968 	 eval acc: 0.57421875test acc: 0.4206128133704735 	 train f1: 0.5423328305681246 	 eval f1: 0.40993490883046313 	 test f1: 0.25796689510541887
DEBUG:root:Epoch: 15 	 Loss: 1.3412450551986694 	 train acc: 0.7741935483870968 	 eval acc: 0.59375test acc: 0.42618384401114207 	 train f1: 0.5423328305681246 	 eval f1: 0.41453214761485446 	 test f1: 0.27858920441561635
DEBUG:root:Epoch: 16 	 Loss: 1.4661478996276855 	 train acc: 0.7741935483870968 	 eval acc: 0.54296875test acc: 0.42525533890436396 	 train f1: 0.5423328305681246 	 eval f1: 0.3923152821841049 	 test f1: 0.28263214889287985
DEBUG:root:Epoch: 17 	 Loss: 1.283381462097168 	 train acc: 0.7741935483870968 	 eval acc: 0.5546875test acc: 0.4298978644382544 	 train f1: 0.5423328305681246 	 eval f1: 0.40831305353865793 	 test f1: 0.2954461799508196
DEBUG:root:Epoch: 18 	 Loss: 1.3201199769973755 	 train acc: 0.7741935483870968 	 eval acc: 0.55859375test acc: 0.43268337975858867 	 train f1: 0.5423328305681246 	 eval f1: 0.4167650067650068 	 test f1: 0.30978645800126453
DEBUG:root:Epoch: 19 	 Loss: 1.41421639919281 	 train acc: 0.7741935483870968 	 eval acc: 0.546875test acc: 0.43546889507892295 	 train f1: 0.5423328305681246 	 eval f1: 0.4035548652602677 	 test f1: 0.3238574428583316
DEBUG:root:Epoch: 20 	 Loss: 1.236453890800476 	 train acc: 0.8064516129032258 	 eval acc: 0.59765625test acc: 0.4401114206128134 	 train f1: 0.6076923076923076 	 eval f1: 0.44068132303426427 	 test f1: 0.33898090864792724
DEBUG:root:Epoch: 21 	 Loss: 1.3078685998916626 	 train acc: 0.8064516129032258 	 eval acc: 0.58984375test acc: 0.44846796657381616 	 train f1: 0.6076923076923076 	 eval f1: 0.4581766525684537 	 test f1: 0.35325868504163077
