INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.934679627418518 	 train acc: 0.12903225806451613 	 eval acc: 0.1015625test acc: 0.10027855153203342 	 train f1: 0.0392156862745098 	 eval f1: 0.030732860520094562 	 test f1: 0.030379746835443037
DEBUG:root:Epoch: 1 	 Loss: 1.8486255407333374 	 train acc: 0.16129032258064516 	 eval acc: 0.1484375test acc: 0.1745589600742804 	 train f1: 0.07196969696969698 	 eval f1: 0.0726101595666813 	 test f1: 0.10438826226206925
DEBUG:root:Epoch: 2 	 Loss: 1.811076045036316 	 train acc: 0.3225806451612903 	 eval acc: 0.20703125test acc: 0.24605385329619314 	 train f1: 0.15295815295815296 	 eval f1: 0.10184809556006312 	 test f1: 0.11078381930435847
DEBUG:root:Epoch: 3 	 Loss: 1.7095468044281006 	 train acc: 0.2903225806451613 	 eval acc: 0.24609375test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10768916294756925 	 test f1: 0.1102911029110291
DEBUG:root:Epoch: 4 	 Loss: 1.7627383470535278 	 train acc: 0.2903225806451613 	 eval acc: 0.25test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10389412175126461 	 test f1: 0.10948310948310948
DEBUG:root:Epoch: 5 	 Loss: 1.7548550367355347 	 train acc: 0.2903225806451613 	 eval acc: 0.2421875test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10244730863531053 	 test f1: 0.10803212851405623
DEBUG:root:Epoch: 6 	 Loss: 1.6437525749206543 	 train acc: 0.2903225806451613 	 eval acc: 0.2421875test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10195630763721014 	 test f1: 0.10790212595266746
DEBUG:root:Epoch: 7 	 Loss: 1.620011329650879 	 train acc: 0.2903225806451613 	 eval acc: 0.234375test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.1030544668198405 	 test f1: 0.10790212595266746
DEBUG:root:Epoch: 8 	 Loss: 1.580607533454895 	 train acc: 0.2903225806451613 	 eval acc: 0.2421875test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10587824873539158 	 test f1: 0.10790212595266746
DEBUG:root:Epoch: 9 	 Loss: 1.6730449199676514 	 train acc: 0.2903225806451613 	 eval acc: 0.2265625test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.10211720400477632 	 test f1: 0.10790212595266746
DEBUG:root:Epoch: 10 	 Loss: 1.5532376766204834 	 train acc: 0.2903225806451613 	 eval acc: 0.22265625test acc: 0.24976787372330547 	 train f1: 0.13260869565217392 	 eval f1: 0.09995346131471784 	 test f1: 0.10790212595266746
DEBUG:root:Epoch: 11 	 Loss: 1.5104554891586304 	 train acc: 0.6451612903225806 	 eval acc: 0.50390625test acc: 0.49025069637883006 	 train f1: 0.32363433667781494 	 eval f1: 0.2424561599924577 	 test f1: 0.21973286861242566
DEBUG:root:Epoch: 12 	 Loss: 1.5871055126190186 	 train acc: 0.6451612903225806 	 eval acc: 0.484375test acc: 0.49025069637883006 	 train f1: 0.32363433667781494 	 eval f1: 0.23071070533476545 	 test f1: 0.21944390028513946
DEBUG:root:Epoch: 13 	 Loss: 1.5380386114120483 	 train acc: 0.7096774193548387 	 eval acc: 0.50390625test acc: 0.489322191272052 	 train f1: 0.39935897435897433 	 eval f1: 0.23533401964774514 	 test f1: 0.21930212817243985
DEBUG:root:Epoch: 14 	 Loss: 1.4475528001785278 	 train acc: 0.7741935483870968 	 eval acc: 0.53125test acc: 0.489322191272052 	 train f1: 0.5909003277424331 	 eval f1: 0.2704538996099099 	 test f1: 0.21930212817243985
DEBUG:root:Epoch: 15 	 Loss: 1.493015170097351 	 train acc: 0.7741935483870968 	 eval acc: 0.53515625test acc: 0.4911792014856082 	 train f1: 0.5909003277424331 	 eval f1: 0.27512244553284915 	 test f1: 0.2232776065502319
DEBUG:root:Epoch: 16 	 Loss: 1.5708509683609009 	 train acc: 0.7741935483870968 	 eval acc: 0.5078125test acc: 0.49025069637883006 	 train f1: 0.5909003277424331 	 eval f1: 0.27639958367512546 	 test f1: 0.21944390028513946
