INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8842328786849976 	 train acc: 0.3225806451612903 	 eval acc: 0.22265625test acc: 0.24698235840297122 	 train f1: 0.16014492753623188 	 eval f1: 0.11363166953528399 	 test f1: 0.1206413245327197
DEBUG:root:Epoch: 1 	 Loss: 1.820873498916626 	 train acc: 0.3225806451612903 	 eval acc: 0.265625test acc: 0.25069637883008355 	 train f1: 0.16014492753623188 	 eval f1: 0.12491373360938579 	 test f1: 0.11761981149089255
DEBUG:root:Epoch: 2 	 Loss: 1.7520380020141602 	 train acc: 0.3548387096774194 	 eval acc: 0.2421875test acc: 0.25719591457753016 	 train f1: 0.17243867243867247 	 eval f1: 0.11536200425089314 	 test f1: 0.11938509326613737
DEBUG:root:Epoch: 3 	 Loss: 1.6586257219314575 	 train acc: 0.3548387096774194 	 eval acc: 0.27734375test acc: 0.25812441968430827 	 train f1: 0.17243867243867247 	 eval f1: 0.12881519675574876 	 test f1: 0.11947319922959797
DEBUG:root:Epoch: 4 	 Loss: 1.6690571308135986 	 train acc: 0.3548387096774194 	 eval acc: 0.30078125test acc: 0.25998142989786444 	 train f1: 0.17243867243867247 	 eval f1: 0.13880914407230197 	 test f1: 0.12122064389440511
DEBUG:root:Epoch: 5 	 Loss: 1.6408847570419312 	 train acc: 0.4838709677419355 	 eval acc: 0.48046875test acc: 0.46146703806870937 	 train f1: 0.3285087719298246 	 eval f1: 0.28798811181921846 	 test f1: 0.24118950773418515
DEBUG:root:Epoch: 6 	 Loss: 1.5767852067947388 	 train acc: 0.5161290322580645 	 eval acc: 0.45703125test acc: 0.4828226555246054 	 train f1: 0.35867446393762187 	 eval f1: 0.2767026912215684 	 test f1: 0.25538327043975656
DEBUG:root:Epoch: 7 	 Loss: 1.4912266731262207 	 train acc: 0.7741935483870968 	 eval acc: 0.55859375test acc: 0.5134633240482822 	 train f1: 0.5484330484330484 	 eval f1: 0.32126563092080335 	 test f1: 0.2757148467455662
DEBUG:root:Epoch: 8 	 Loss: 1.4905333518981934 	 train acc: 0.7741935483870968 	 eval acc: 0.578125test acc: 0.5199628597957289 	 train f1: 0.5484330484330484 	 eval f1: 0.32399132399132397 	 test f1: 0.2867012695383115
DEBUG:root:Epoch: 9 	 Loss: 1.5310105085372925 	 train acc: 0.7741935483870968 	 eval acc: 0.53125test acc: 0.531104921077066 	 train f1: 0.5484330484330484 	 eval f1: 0.31350393264650495 	 test f1: 0.30329845614897205
DEBUG:root:Epoch: 10 	 Loss: 1.4264274835586548 	 train acc: 0.7741935483870968 	 eval acc: 0.5390625test acc: 0.5366759517177344 	 train f1: 0.5484330484330484 	 eval f1: 0.3067248111365758 	 test f1: 0.3118864036160827
