INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7018686532974243 	 train acc: 0.2857142857142857 	 eval acc: 0.171875test acc: 0.208955223880597 	 train f1: 0.16623376623376623 	 eval f1: 0.11293090234811638 	 test f1: 0.1428657349519634
DEBUG:root:Epoch: 1 	 Loss: 1.6622810363769531 	 train acc: 0.2857142857142857 	 eval acc: 0.140625test acc: 0.16417910447761194 	 train f1: 0.16999999999999998 	 eval f1: 0.10260283324799453 	 test f1: 0.10254461836560795
DEBUG:root:Epoch: 2 	 Loss: 1.635756254196167 	 train acc: 0.6428571428571429 	 eval acc: 0.2109375test acc: 0.22174840085287847 	 train f1: 0.49333333333333335 	 eval f1: 0.17460927960927963 	 test f1: 0.15579934124676825
DEBUG:root:Epoch: 3 	 Loss: 1.4508975744247437 	 train acc: 0.7142857142857143 	 eval acc: 0.2734375test acc: 0.2857142857142857 	 train f1: 0.5966666666666667 	 eval f1: 0.18307328605200945 	 test f1: 0.1958625011190708
DEBUG:root:Epoch: 4 	 Loss: 1.507703423500061 	 train acc: 0.7142857142857143 	 eval acc: 0.328125test acc: 0.3006396588486141 	 train f1: 0.5966666666666667 	 eval f1: 0.18199184624344786 	 test f1: 0.19449191653217812
DEBUG:root:Epoch: 5 	 Loss: 1.5125682353973389 	 train acc: 0.6428571428571429 	 eval acc: 0.3125test acc: 0.3006396588486141 	 train f1: 0.38384615384615384 	 eval f1: 0.180028129395218 	 test f1: 0.1913639070875521
DEBUG:root:Epoch: 6 	 Loss: 1.482997179031372 	 train acc: 0.6428571428571429 	 eval acc: 0.328125test acc: 0.29637526652452023 	 train f1: 0.38384615384615384 	 eval f1: 0.18381125226860254 	 test f1: 0.18915052499123292
DEBUG:root:Epoch: 7 	 Loss: 1.4735183715820312 	 train acc: 0.7142857142857143 	 eval acc: 0.2890625test acc: 0.26865671641791045 	 train f1: 0.4214285714285714 	 eval f1: 0.17814985148989174 	 test f1: 0.15625533003581782
DEBUG:root:Epoch: 8 	 Loss: 1.342807412147522 	 train acc: 0.6428571428571429 	 eval acc: 0.3359375test acc: 0.26865671641791045 	 train f1: 0.36571428571428577 	 eval f1: 0.208643371138513 	 test f1: 0.1392015585761848
DEBUG:root:Epoch: 9 	 Loss: 1.4222419261932373 	 train acc: 0.7142857142857143 	 eval acc: 0.375test acc: 0.2857142857142857 	 train f1: 0.4214285714285714 	 eval f1: 0.2184865540963102 	 test f1: 0.14285869918929245
DEBUG:root:Epoch: 10 	 Loss: 1.3507508039474487 	 train acc: 0.7142857142857143 	 eval acc: 0.3671875test acc: 0.3326226012793177 	 train f1: 0.4214285714285714 	 eval f1: 0.19429708222811676 	 test f1: 0.17573076195878237
