INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8028770685195923 	 train acc: 0.21428571428571427 	 eval acc: 0.1171875test acc: 0.17270788912579957 	 train f1: 0.075 	 eval f1: 0.046153846153846156 	 test f1: 0.07816975262401846
DEBUG:root:Epoch: 1 	 Loss: 1.6933857202529907 	 train acc: 0.42857142857142855 	 eval acc: 0.46875test acc: 0.47974413646055436 	 train f1: 0.24761904761904763 	 eval f1: 0.2505134788189987 	 test f1: 0.2594707906498438
DEBUG:root:Epoch: 2 	 Loss: 1.6994059085845947 	 train acc: 0.5714285714285714 	 eval acc: 0.4765625test acc: 0.5181236673773987 	 train f1: 0.2833333333333333 	 eval f1: 0.2623032311516155 	 test f1: 0.28657988165680476
DEBUG:root:Epoch: 3 	 Loss: 1.555101990699768 	 train acc: 0.6428571428571429 	 eval acc: 0.4140625test acc: 0.4840085287846482 	 train f1: 0.30476190476190473 	 eval f1: 0.21041135784492174 	 test f1: 0.24961970691360244
DEBUG:root:Epoch: 4 	 Loss: 1.5517503023147583 	 train acc: 0.6428571428571429 	 eval acc: 0.3203125test acc: 0.373134328358209 	 train f1: 0.30476190476190473 	 eval f1: 0.1706981740064447 	 test f1: 0.19606716176945432
DEBUG:root:Epoch: 5 	 Loss: 1.5583668947219849 	 train acc: 0.5714285714285714 	 eval acc: 0.296875test acc: 0.4072494669509595 	 train f1: 0.2866666666666667 	 eval f1: 0.19890560875512994 	 test f1: 0.26498337103371583
DEBUG:root:Epoch: 6 	 Loss: 1.49744713306427 	 train acc: 0.7857142857142857 	 eval acc: 0.4765625test acc: 0.5202558635394456 	 train f1: 0.5166666666666666 	 eval f1: 0.39438704177323103 	 test f1: 0.40299870876269084
DEBUG:root:Epoch: 7 	 Loss: 1.4516525268554688 	 train acc: 0.7857142857142857 	 eval acc: 0.4296875test acc: 0.4925373134328358 	 train f1: 0.4946153846153846 	 eval f1: 0.31409827286115943 	 test f1: 0.3524664877723242
DEBUG:root:Epoch: 8 	 Loss: 1.391900897026062 	 train acc: 0.7857142857142857 	 eval acc: 0.46875test acc: 0.535181236673774 	 train f1: 0.5028571428571429 	 eval f1: 0.28814281428142813 	 test f1: 0.36121104396255477
DEBUG:root:Epoch: 9 	 Loss: 1.4146946668624878 	 train acc: 0.7857142857142857 	 eval acc: 0.59375test acc: 0.5650319829424307 	 train f1: 0.52 	 eval f1: 0.343028024606972 	 test f1: 0.3637929184646914
DEBUG:root:Epoch: 10 	 Loss: 1.3485620021820068 	 train acc: 0.8571428571428571 	 eval acc: 0.578125test acc: 0.5671641791044776 	 train f1: 0.5714285714285714 	 eval f1: 0.3735013712942406 	 test f1: 0.3737673017725537
DEBUG:root:Epoch: 11 	 Loss: 1.4025720357894897 	 train acc: 0.8571428571428571 	 eval acc: 0.578125test acc: 0.5714285714285714 	 train f1: 0.5714285714285714 	 eval f1: 0.366890756302521 	 test f1: 0.3826884489362684
DEBUG:root:Epoch: 12 	 Loss: 1.3181453943252563 	 train acc: 0.8571428571428571 	 eval acc: 0.5859375test acc: 0.579957356076759 	 train f1: 0.5560439560439561 	 eval f1: 0.4147458324758181 	 test f1: 0.3964386762489744
DEBUG:root:Epoch: 13 	 Loss: 1.3194215297698975 	 train acc: 0.8571428571428571 	 eval acc: 0.6015625test acc: 0.5948827292110874 	 train f1: 0.5560439560439561 	 eval f1: 0.42771908520542395 	 test f1: 0.41583638241894694
DEBUG:root:Epoch: 14 	 Loss: 1.2306194305419922 	 train acc: 0.8571428571428571 	 eval acc: 0.5859375test acc: 0.5948827292110874 	 train f1: 0.5560439560439561 	 eval f1: 0.41785798689440334 	 test f1: 0.42128886458868
DEBUG:root:Epoch: 15 	 Loss: 1.2493103742599487 	 train acc: 0.8571428571428571 	 eval acc: 0.5859375test acc: 0.6076759061833689 	 train f1: 0.5560439560439561 	 eval f1: 0.42321976401179945 	 test f1: 0.43111670439652094
DEBUG:root:Epoch: 16 	 Loss: 1.2781047821044922 	 train acc: 0.8571428571428571 	 eval acc: 0.6015625test acc: 0.6226012793176973 	 train f1: 0.5560439560439561 	 eval f1: 0.43012201591511934 	 test f1: 0.4432281159246232
DEBUG:root:Epoch: 17 	 Loss: 1.2309545278549194 	 train acc: 0.8571428571428571 	 eval acc: 0.6015625test acc: 0.6119402985074627 	 train f1: 0.5560439560439561 	 eval f1: 0.4086709310589908 	 test f1: 0.43297033018552006
DEBUG:root:Epoch: 18 	 Loss: 1.3125722408294678 	 train acc: 0.8571428571428571 	 eval acc: 0.609375test acc: 0.5991471215351812 	 train f1: 0.5560439560439561 	 eval f1: 0.4238351254480287 	 test f1: 0.4193293678820518
DEBUG:root:Epoch: 19 	 Loss: 1.2925794124603271 	 train acc: 0.8571428571428571 	 eval acc: 0.609375test acc: 0.5991471215351812 	 train f1: 0.5560439560439561 	 eval f1: 0.4344476085413513 	 test f1: 0.4203508370950231
DEBUG:root:Epoch: 20 	 Loss: 1.1732808351516724 	 train acc: 0.8571428571428571 	 eval acc: 0.6171875test acc: 0.605543710021322 	 train f1: 0.5560439560439561 	 eval f1: 0.423943661971831 	 test f1: 0.4257972066513422
