INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.7845975160598755 	 train acc: 0.21428571428571427 	 eval acc: 0.1171875test acc: 0.14712153518123666 	 train f1: 0.07058823529411765 	 eval f1: 0.04195804195804196 	 test f1: 0.051301115241635685
DEBUG:root:Epoch: 1 	 Loss: 1.7340755462646484 	 train acc: 0.2857142857142857 	 eval acc: 0.0859375test acc: 0.11940298507462686 	 train f1: 0.19047619047619047 	 eval f1: 0.07353629976580797 	 test f1: 0.07292988116786023
DEBUG:root:Epoch: 2 	 Loss: 1.7038323879241943 	 train acc: 0.2857142857142857 	 eval acc: 0.203125test acc: 0.15778251599147122 	 train f1: 0.16969696969696968 	 eval f1: 0.1028016643550624 	 test f1: 0.09936615768811571
DEBUG:root:Epoch: 3 	 Loss: 1.5680444240570068 	 train acc: 0.5 	 eval acc: 0.1953125test acc: 0.16844349680170576 	 train f1: 0.31666666666666665 	 eval f1: 0.15271979759645793 	 test f1: 0.13136458653997746
DEBUG:root:Epoch: 4 	 Loss: 1.5795495510101318 	 train acc: 0.5714285714285714 	 eval acc: 0.234375test acc: 0.2281449893390192 	 train f1: 0.37333333333333335 	 eval f1: 0.17058491327148043 	 test f1: 0.14792205894631377
DEBUG:root:Epoch: 5 	 Loss: 1.5855369567871094 	 train acc: 0.6428571428571429 	 eval acc: 0.25test acc: 0.29637526652452023 	 train f1: 0.3866666666666667 	 eval f1: 0.17186880244088482 	 test f1: 0.17807687755831156
DEBUG:root:Epoch: 6 	 Loss: 1.552688479423523 	 train acc: 0.6428571428571429 	 eval acc: 0.3203125test acc: 0.2857142857142857 	 train f1: 0.38 	 eval f1: 0.20902304446608247 	 test f1: 0.20691011708480614
DEBUG:root:Epoch: 7 	 Loss: 1.5456150770187378 	 train acc: 0.6428571428571429 	 eval acc: 0.328125test acc: 0.3304904051172708 	 train f1: 0.38 	 eval f1: 0.1818224353725582 	 test f1: 0.20977045068401895
DEBUG:root:Epoch: 8 	 Loss: 1.490770697593689 	 train acc: 0.5714285714285714 	 eval acc: 0.359375test acc: 0.34328358208955223 	 train f1: 0.2866666666666667 	 eval f1: 0.18973684210526315 	 test f1: 0.19748306985781156
DEBUG:root:Epoch: 9 	 Loss: 1.5144844055175781 	 train acc: 0.7857142857142857 	 eval acc: 0.375test acc: 0.35607675906183367 	 train f1: 0.6346153846153846 	 eval f1: 0.19967359373299964 	 test f1: 0.21463206396530693
DEBUG:root:Epoch: 10 	 Loss: 1.411712646484375 	 train acc: 0.7857142857142857 	 eval acc: 0.421875test acc: 0.36673773987206826 	 train f1: 0.6346153846153846 	 eval f1: 0.21877394636015324 	 test f1: 0.21613536432160804
DEBUG:root:Epoch: 11 	 Loss: 1.3919029235839844 	 train acc: 0.7857142857142857 	 eval acc: 0.375test acc: 0.34968017057569295 	 train f1: 0.6346153846153846 	 eval f1: 0.22485725059254472 	 test f1: 0.21062942724144912
DEBUG:root:Epoch: 12 	 Loss: 1.3643101453781128 	 train acc: 0.7857142857142857 	 eval acc: 0.40625test acc: 0.3837953091684435 	 train f1: 0.6346153846153846 	 eval f1: 0.246257568319424 	 test f1: 0.2152230971128609
DEBUG:root:Epoch: 13 	 Loss: 1.3669703006744385 	 train acc: 0.7142857142857143 	 eval acc: 0.4609375test acc: 0.417910447761194 	 train f1: 0.4314285714285714 	 eval f1: 0.24151732377538826 	 test f1: 0.22384200156346395
DEBUG:root:Epoch: 14 	 Loss: 1.2790563106536865 	 train acc: 0.7857142857142857 	 eval acc: 0.46875test acc: 0.43070362473347545 	 train f1: 0.6428571428571429 	 eval f1: 0.2500580720092915 	 test f1: 0.2308061746043173
DEBUG:root:Epoch: 15 	 Loss: 1.2931009531021118 	 train acc: 0.7857142857142857 	 eval acc: 0.4296875test acc: 0.43710021321961623 	 train f1: 0.6428571428571429 	 eval f1: 0.2288636682079305 	 test f1: 0.23773728153698698
DEBUG:root:Epoch: 16 	 Loss: 1.3105056285858154 	 train acc: 0.8571428571428571 	 eval acc: 0.484375test acc: 0.4520255863539446 	 train f1: 0.7314285714285715 	 eval f1: 0.3015956338790985 	 test f1: 0.25261483143207164
DEBUG:root:Epoch: 17 	 Loss: 1.3154741525650024 	 train acc: 0.9285714285714286 	 eval acc: 0.4765625test acc: 0.4605543710021322 	 train f1: 0.7846153846153846 	 eval f1: 0.2811773765722597 	 test f1: 0.26185111989459814
DEBUG:root:Epoch: 18 	 Loss: 1.3146053552627563 	 train acc: 0.9285714285714286 	 eval acc: 0.515625test acc: 0.4584221748400853 	 train f1: 0.7846153846153846 	 eval f1: 0.3114693513444629 	 test f1: 0.2584326923076923
DEBUG:root:Epoch: 19 	 Loss: 1.300881028175354 	 train acc: 0.9285714285714286 	 eval acc: 0.5test acc: 0.464818763326226 	 train f1: 0.7846153846153846 	 eval f1: 0.3205551387846962 	 test f1: 0.26935360623781673
DEBUG:root:Epoch: 20 	 Loss: 1.1765058040618896 	 train acc: 0.9285714285714286 	 eval acc: 0.5test acc: 0.47974413646055436 	 train f1: 0.7846153846153846 	 eval f1: 0.3359834368530021 	 test f1: 0.28450526978134344
DEBUG:root:Epoch: 21 	 Loss: 1.236220359802246 	 train acc: 0.8571428571428571 	 eval acc: 0.4375test acc: 0.43710021321961623 	 train f1: 0.716043956043956 	 eval f1: 0.24084967320261436 	 test f1: 0.2454068214076981
DEBUG:root:Epoch: 22 	 Loss: 1.2089797258377075 	 train acc: 0.8571428571428571 	 eval acc: 0.4453125test acc: 0.4562899786780384 	 train f1: 0.716043956043956 	 eval f1: 0.24164102564102566 	 test f1: 0.24747830166549373
DEBUG:root:Epoch: 23 	 Loss: 1.2406028509140015 	 train acc: 0.8571428571428571 	 eval acc: 0.53125test acc: 0.4904051172707889 	 train f1: 0.5714285714285714 	 eval f1: 0.32116378673755724 	 test f1: 0.2890438820119011
DEBUG:root:Epoch: 24 	 Loss: 1.2449692487716675 	 train acc: 0.8571428571428571 	 eval acc: 0.5234375test acc: 0.48187633262260127 	 train f1: 0.5714285714285714 	 eval f1: 0.31325341325341327 	 test f1: 0.29747052175109734
DEBUG:root:Epoch: 25 	 Loss: 1.1788052320480347 	 train acc: 0.8571428571428571 	 eval acc: 0.515625test acc: 0.47334754797441364 	 train f1: 0.5714285714285714 	 eval f1: 0.32503487881639137 	 test f1: 0.28025661597333495
DEBUG:root:Epoch: 26 	 Loss: 1.0780110359191895 	 train acc: 0.8571428571428571 	 eval acc: 0.53125test acc: 0.4989339019189765 	 train f1: 0.5714285714285714 	 eval f1: 0.36083002645502643 	 test f1: 0.30727821368037045
DEBUG:root:Epoch: 27 	 Loss: 1.149384617805481 	 train acc: 0.8571428571428571 	 eval acc: 0.484375test acc: 0.4989339019189765 	 train f1: 0.5714285714285714 	 eval f1: 0.27774731457800506 	 test f1: 0.30207335727021256
DEBUG:root:Epoch: 28 	 Loss: 1.1147955656051636 	 train acc: 0.8571428571428571 	 eval acc: 0.4375test acc: 0.48187633262260127 	 train f1: 0.5714285714285714 	 eval f1: 0.25582042648709313 	 test f1: 0.2951447714009262
DEBUG:root:Epoch: 29 	 Loss: 0.9669038653373718 	 train acc: 0.8571428571428571 	 eval acc: 0.5234375test acc: 0.5053304904051172 	 train f1: 0.5714285714285714 	 eval f1: 0.3428099173553719 	 test f1: 0.3200478515321094
DEBUG:root:Epoch: 30 	 Loss: 1.043249249458313 	 train acc: 0.8571428571428571 	 eval acc: 0.5546875test acc: 0.5074626865671642 	 train f1: 0.5714285714285714 	 eval f1: 0.36863213554513063 	 test f1: 0.3209949298654179
DEBUG:root:Epoch: 31 	 Loss: 1.044671654701233 	 train acc: 0.9285714285714286 	 eval acc: 0.5625test acc: 0.535181236673774 	 train f1: 0.7846153846153846 	 eval f1: 0.3821982409082403 	 test f1: 0.35653736512025674
DEBUG:root:Epoch: 32 	 Loss: 1.0708012580871582 	 train acc: 0.9285714285714286 	 eval acc: 0.546875test acc: 0.5309168443496801 	 train f1: 0.7846153846153846 	 eval f1: 0.3458102089756766 	 test f1: 0.3578038407653765
DEBUG:root:Epoch: 33 	 Loss: 1.1052677631378174 	 train acc: 0.9285714285714286 	 eval acc: 0.5625test acc: 0.5266524520255863 	 train f1: 0.7846153846153846 	 eval f1: 0.36779166914490774 	 test f1: 0.3507481950035142
