INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8184187412261963 	 train acc: 0.2857142857142857 	 eval acc: 0.125test acc: 0.14925373134328357 	 train f1: 0.18571428571428572 	 eval f1: 0.07166666666666666 	 test f1: 0.0778189247861065
DEBUG:root:Epoch: 1 	 Loss: 1.7460927963256836 	 train acc: 0.35714285714285715 	 eval acc: 0.15625test acc: 0.17270788912579957 	 train f1: 0.23290043290043289 	 eval f1: 0.10517543859649123 	 test f1: 0.10607527504342791
DEBUG:root:Epoch: 2 	 Loss: 1.7159039974212646 	 train acc: 0.5 	 eval acc: 0.2421875test acc: 0.2537313432835821 	 train f1: 0.34047619047619043 	 eval f1: 0.1808823529411765 	 test f1: 0.1937116838317106
DEBUG:root:Epoch: 3 	 Loss: 1.5540120601654053 	 train acc: 0.7857142857142857 	 eval acc: 0.34375test acc: 0.37100213219616207 	 train f1: 0.6132467532467533 	 eval f1: 0.30612035082156 	 test f1: 0.30329946894631477
DEBUG:root:Epoch: 4 	 Loss: 1.5084600448608398 	 train acc: 0.8571428571428571 	 eval acc: 0.46875test acc: 0.4861407249466951 	 train f1: 0.5560439560439561 	 eval f1: 0.36678738959373686 	 test f1: 0.4028170553629014
DEBUG:root:Epoch: 5 	 Loss: 1.5121800899505615 	 train acc: 0.8571428571428571 	 eval acc: 0.5390625test acc: 0.5543710021321961 	 train f1: 0.5560439560439561 	 eval f1: 0.40092233009708744 	 test f1: 0.4198408486886822
DEBUG:root:Epoch: 6 	 Loss: 1.4242428541183472 	 train acc: 0.8571428571428571 	 eval acc: 0.5703125test acc: 0.5906183368869936 	 train f1: 0.5560439560439561 	 eval f1: 0.42896825396825394 	 test f1: 0.4435128517939191
DEBUG:root:Epoch: 7 	 Loss: 1.4243263006210327 	 train acc: 0.8571428571428571 	 eval acc: 0.5859375test acc: 0.603411513859275 	 train f1: 0.5560439560439561 	 eval f1: 0.4405679513184584 	 test f1: 0.4564920439747241
DEBUG:root:Epoch: 8 	 Loss: 1.4180668592453003 	 train acc: 0.9285714285714286 	 eval acc: 0.625test acc: 0.6268656716417911 	 train f1: 0.7846153846153846 	 eval f1: 0.4767578201849301 	 test f1: 0.4641089263550885
DEBUG:root:Epoch: 9 	 Loss: 1.385606050491333 	 train acc: 0.9285714285714286 	 eval acc: 0.6953125test acc: 0.6289978678038379 	 train f1: 0.7846153846153846 	 eval f1: 0.4793799212598426 	 test f1: 0.46933690173422515
DEBUG:root:Epoch: 10 	 Loss: 1.3291025161743164 	 train acc: 0.9285714285714286 	 eval acc: 0.65625test acc: 0.6226012793176973 	 train f1: 0.7846153846153846 	 eval f1: 0.4576703043122928 	 test f1: 0.46191636862586316
DEBUG:root:Epoch: 11 	 Loss: 1.39236319065094 	 train acc: 0.9285714285714286 	 eval acc: 0.6640625test acc: 0.6140724946695096 	 train f1: 0.7846153846153846 	 eval f1: 0.4627216671910115 	 test f1: 0.45361791649357774
DEBUG:root:Epoch: 12 	 Loss: 1.3158543109893799 	 train acc: 0.9285714285714286 	 eval acc: 0.671875test acc: 0.6098081023454158 	 train f1: 0.7846153846153846 	 eval f1: 0.4686163086163087 	 test f1: 0.4488737829227801
DEBUG:root:Epoch: 13 	 Loss: 1.282383918762207 	 train acc: 0.9285714285714286 	 eval acc: 0.6640625test acc: 0.603411513859275 	 train f1: 0.7846153846153846 	 eval f1: 0.43119472077218557 	 test f1: 0.44255670984968526
DEBUG:root:Epoch: 14 	 Loss: 1.2353628873825073 	 train acc: 0.9285714285714286 	 eval acc: 0.671875test acc: 0.6012793176972282 	 train f1: 0.7846153846153846 	 eval f1: 0.4510289710289711 	 test f1: 0.44012150319866084
DEBUG:root:Epoch: 15 	 Loss: 1.214825987815857 	 train acc: 0.9285714285714286 	 eval acc: 0.6484375test acc: 0.5991471215351812 	 train f1: 0.7846153846153846 	 eval f1: 0.4810074561851489 	 test f1: 0.4376632902145974
DEBUG:root:Epoch: 16 	 Loss: 1.2642018795013428 	 train acc: 0.9285714285714286 	 eval acc: 0.640625test acc: 0.5991471215351812 	 train f1: 0.7846153846153846 	 eval f1: 0.470002155695077 	 test f1: 0.4376632902145974
DEBUG:root:Epoch: 17 	 Loss: 1.2283865213394165 	 train acc: 0.9285714285714286 	 eval acc: 0.6328125test acc: 0.5948827292110874 	 train f1: 0.7846153846153846 	 eval f1: 0.43539682539682545 	 test f1: 0.4250718614718614
DEBUG:root:Epoch: 18 	 Loss: 1.300322413444519 	 train acc: 0.9285714285714286 	 eval acc: 0.6484375test acc: 0.5842217484008528 	 train f1: 0.7846153846153846 	 eval f1: 0.46339784946236556 	 test f1: 0.40807179368922714
DEBUG:root:Epoch: 19 	 Loss: 1.2711632251739502 	 train acc: 0.9285714285714286 	 eval acc: 0.65625test acc: 0.5863539445628998 	 train f1: 0.7846153846153846 	 eval f1: 0.4613178467723923 	 test f1: 0.41140512702256044
DEBUG:root:Epoch: 20 	 Loss: 1.1585872173309326 	 train acc: 0.8571428571428571 	 eval acc: 0.6640625test acc: 0.5906183368869936 	 train f1: 0.5714285714285714 	 eval f1: 0.4746666666666667 	 test f1: 0.4182205320753506
DEBUG:root:Epoch: 21 	 Loss: 1.1973521709442139 	 train acc: 0.8571428571428571 	 eval acc: 0.6640625test acc: 0.5906183368869936 	 train f1: 0.5714285714285714 	 eval f1: 0.4648623640990053 	 test f1: 0.4182205320753506
DEBUG:root:Epoch: 22 	 Loss: 1.1151658296585083 	 train acc: 0.8571428571428571 	 eval acc: 0.65625test acc: 0.5884861407249466 	 train f1: 0.5714285714285714 	 eval f1: 0.45629629629629626 	 test f1: 0.4176711261457024
DEBUG:root:Epoch: 23 	 Loss: 1.164348840713501 	 train acc: 0.8571428571428571 	 eval acc: 0.671875test acc: 0.5842217484008528 	 train f1: 0.5714285714285714 	 eval f1: 0.48077657935285056 	 test f1: 0.4135078608616717
DEBUG:root:Epoch: 24 	 Loss: 1.2167121171951294 	 train acc: 0.8571428571428571 	 eval acc: 0.65625test acc: 0.582089552238806 	 train f1: 0.5714285714285714 	 eval f1: 0.4612554112554113 	 test f1: 0.4108631345265044
DEBUG:root:Epoch: 25 	 Loss: 1.1796101331710815 	 train acc: 0.8571428571428571 	 eval acc: 0.65625test acc: 0.582089552238806 	 train f1: 0.5714285714285714 	 eval f1: 0.44027688538213094 	 test f1: 0.41189366059199256
DEBUG:root:Epoch: 26 	 Loss: 1.0215585231781006 	 train acc: 0.8571428571428571 	 eval acc: 0.625test acc: 0.5778251599147122 	 train f1: 0.5714285714285714 	 eval f1: 0.4346880412454183 	 test f1: 0.4064825694001587
DEBUG:root:Epoch: 27 	 Loss: 1.1419216394424438 	 train acc: 0.8571428571428571 	 eval acc: 0.609375test acc: 0.5756929637526652 	 train f1: 0.5714285714285714 	 eval f1: 0.3866595039842421 	 test f1: 0.4037211332857555
DEBUG:root:Epoch: 28 	 Loss: 1.0905799865722656 	 train acc: 0.8571428571428571 	 eval acc: 0.625test acc: 0.5714285714285714 	 train f1: 0.5714285714285714 	 eval f1: 0.4157776979278956 	 test f1: 0.39808048114730055
DEBUG:root:Epoch: 29 	 Loss: 0.9391855597496033 	 train acc: 0.8571428571428571 	 eval acc: 0.65625test acc: 0.5714285714285714 	 train f1: 0.5714285714285714 	 eval f1: 0.43285214348206474 	 test f1: 0.3967651471216861
DEBUG:root:Epoch: 30 	 Loss: 1.0417882204055786 	 train acc: 0.8571428571428571 	 eval acc: 0.6484375test acc: 0.5692963752665245 	 train f1: 0.5714285714285714 	 eval f1: 0.4263537973156106 	 test f1: 0.3938938529185615
DEBUG:root:Epoch: 31 	 Loss: 1.0597425699234009 	 train acc: 0.8571428571428571 	 eval acc: 0.6328125test acc: 0.5692963752665245 	 train f1: 0.5714285714285714 	 eval f1: 0.4203293303040139 	 test f1: 0.3938938529185615
DEBUG:root:Epoch: 32 	 Loss: 1.02755868434906 	 train acc: 0.8571428571428571 	 eval acc: 0.671875test acc: 0.5692963752665245 	 train f1: 0.5714285714285714 	 eval f1: 0.4658847907169498 	 test f1: 0.3938938529185615
