Wall time,Step,Value
1635045468.877172,0,0.5859375
1635045701.6346908,100,3.90625
1635045939.5656512,200,9.375
1635046174.8554986,300,11.5234375
1635046410.9127698,400,16.6015625
1635046643.5875936,500,25.9765625
1635046880.6940331,600,35.3515625
1635047115.046057,700,40.8203125
1635047353.44478,800,39.84375
1635047586.9467251,900,43.5546875
1635047822.7258852,1000,41.015625
1635048057.600236,1100,46.484375
1635048296.2456875,1200,46.875
1635048529.2382154,1300,45.3125
1635048767.5721366,1400,50.78125
1635049002.629077,1500,48.4375
1635049234.7616842,1600,58.0078125
1635049470.3614526,1700,57.2265625
1635049700.149129,1800,50.78125
1635049935.1956067,1900,51.7578125
1635050166.2654638,2000,57.421875
1635050401.4090214,2100,60.15625
1635050633.3560443,2200,58.984375
1635050870.6786602,2300,54.8828125
1635051099.3077004,2400,55.859375
1635051332.5069668,2500,65.625
1635051564.3464131,2600,63.0859375
1635051796.0249045,2700,63.28125
1635052030.8508773,2800,57.421875
1635052260.0647202,2900,66.2109375
1635052492.9696424,3000,57.6171875
1635052723.5842931,3100,63.8671875
1635052957.8122952,3200,68.359375
1635053190.1468678,3300,66.9921875
1635053426.971745,3400,62.3046875
1635053658.8497343,3500,65.8203125
1635053897.8820708,3600,66.9921875
1635054130.9625342,3700,69.921875
1635054365.0500474,3800,68.9453125
1635054598.2677007,3900,64.2578125
1635054833.6484032,4000,63.671875
1635055070.8405042,4100,69.140625
1635055304.1846128,4200,64.84375
1635055543.4388268,4300,64.0625
1635055776.6843903,4400,69.921875
1635056016.508578,4500,66.015625
1635056249.071848,4600,65.8203125
1635056484.896882,4700,70.8984375
1635056716.6328988,4800,64.0625
1635056949.7925286,4900,69.53125
1635057180.69469,5000,69.53125
1635057416.985057,5100,68.75
1635057650.8000498,5200,69.3359375
1635057886.3990977,5300,73.828125
1635058121.635247,5400,66.6015625
1635058350.8077166,5500,69.921875
1635058585.9455984,5600,67.7734375
1635058817.7435868,5700,71.2890625
1635059052.6608243,5800,73.2421875
1635059284.8721967,5900,68.75
1635059521.8161976,6000,72.65625
1635059755.4843173,6100,70.5078125
1635059993.5763638,6200,71.2890625
1635060229.1511648,6300,69.921875
1635060468.8855019,6400,72.8515625
1635060707.000133,6500,71.484375
1635060948.3025203,6600,76.171875
1635061187.488076,6700,74.609375
1635061421.5244536,6800,67.96875
1635061658.427927,6900,69.921875
1635061889.2222822,7000,76.5625
1635062121.909711,7100,70.703125
1635062353.1294749,7200,69.3359375
1635062589.3165324,7300,73.4375
1635062822.1990347,7400,73.046875
1635063058.781993,7500,70.703125
1635063290.627064,7600,74.0234375
1635063526.8650851,7700,77.34375
1635063757.0617206,7800,75.390625
1635063993.5630774,7900,74.0234375
1635064229.6510751,8000,69.921875
1635064464.8415926,8100,73.2421875
1635064704.137874,8200,73.4375
1635064938.4904454,8300,74.609375
1635065176.736091,8400,74.21875
1635065410.06573,8500,74.609375
1635065648.0636902,8600,72.65625
1635065881.3550398,8700,75.390625
1635066119.3648443,8800,75.0
1635066353.4340267,8900,72.8515625
1635066588.755331,9000,73.4375
1635066820.735665,9100,69.921875
1635067057.509489,9200,79.6875
